"price","change","match_qtty","side","time","total_vol"
62200,100,26600,"bu","09:15:04",26600
62300,200,700,"bu","09:15:19",27300
62300,200,900,"sd","09:15:19",28200
62300,200,2300,"bu","09:15:24",30500
62400,300,900,"sd","09:15:29",31400
62400,300,100,"sd","09:15:37",31500
62400,300,200,"sd","09:15:43",31700
62600,500,1100,"sd","09:15:47",32800
62600,500,500,"sd","09:15:48",33300
62600,500,2400,"bu","09:15:52",35700
62600,500,900,"sd","09:16:00",36600
62600,500,3300,"bu","09:16:01",39900
62600,500,1000,"sd","09:16:10",40900
62800,700,9200,"bu","09:16:12",50100
62700,600,900,"bu","09:16:15",51000
62800,700,200,"sd","09:16:20",51200
62600,500,900,"bu","09:16:22",52100
62700,600,1100,"bu","09:16:27",53200
62700,600,500,"sd","09:16:34",53700
62700,600,100,"bu","09:16:36",53800
62700,600,900,"bu","09:16:37",54700
62700,600,100,"bu","09:16:37",54800
62700,600,1100,"sd","09:16:57",55900
62800,700,5000,"bu","09:17:01",60900
62800,700,3000,"sd","09:17:07",63900
62800,700,2000,"bu","09:17:07",62900
62700,600,3200,"bu","09:17:09",66100
62700,600,900,"bu","09:17:10",67000
62700,600,200,"bu","09:17:17",67200
62700,600,100,"sd","09:17:23",67300
62700,600,2100,"bu","09:17:32",69400
62800,700,300,"sd","09:17:34",69700
62700,600,2000,"bu","09:17:35",71700
62800,700,100,"bu","09:17:36",71800
62700,600,1600,"bu","09:17:37",73400
62700,600,2600,"sd","09:17:42",76000
62700,600,600,"sd","09:17:47",77000
62700,600,800,"bu","09:17:51",77800
62600,500,1100,"sd","09:17:53",78900
62700,600,200,"bu","09:17:55",79100
62700,600,1100,"bu","09:18:00",80200
62700,600,700,"bu","09:18:04",80900
62700,600,500,"sd","09:18:08",81400
62700,600,900,"sd","09:18:11",82300
62700,600,3300,"sd","09:18:22",85600
62700,600,200,"sd","09:18:41",85800
62600,500,1100,"bu","09:18:44",86900
62600,500,1300,"bu","09:18:55",88200
62600,500,1100,"sd","09:19:02",89300
62600,500,3300,"sd","09:19:02",92600
62600,500,500,"sd","09:19:06",93100
62600,500,200,"bu","09:19:11",93300
62600,500,500,"sd","09:19:12",93800
62600,500,100,"sd","09:19:28",93900
62600,500,1200,"sd","09:19:30",95100
62800,700,10000,"sd","09:19:34",105100
62700,600,1000,"bu","09:19:57",106100
62700,600,600,"bu","09:20:04",106700
62700,600,1400,"sd","09:20:05",108100
62700,600,300,"bu","09:20:12",108400
62700,600,1000,"sd","09:20:17",109400
62700,600,500,"sd","09:20:23",109900
62700,600,1000,"sd","09:20:26",110900
62700,600,900,"sd","09:20:28",111800
62700,600,1000,"bu","09:20:29",112800
62700,600,200,"sd","09:20:32",113000
62700,600,1000,"sd","09:20:35",114000
62700,600,900,"bu","09:21:10",114900
62700,600,900,"bu","09:21:20",115800
62800,700,15000,"bu","09:21:28",130800
62800,700,600,"bu","09:21:35",131400
62800,700,500,"bu","09:21:45",133000
62800,700,300,"sd","09:21:46",133300
62800,700,1900,"bu","09:21:47",135200
62800,700,200,"sd","09:21:52",135400
62800,700,900,"bu","09:21:53",136300
62900,800,10000,"sd","09:22:09",146300
62900,800,4000,"bu","09:22:12",150300
62900,800,8000,"sd","09:22:13",158300
62900,800,2500,"bu","09:22:14",160800
62900,800,100,"sd","09:22:18",160900
63000,900,1000,"sd","09:22:22",161900
62900,800,900,"sd","09:22:23",162800
63000,900,39000,"bu","09:22:23",201800
63100,1000,5200,"sd","09:22:35",207000
63100,1000,900,"bu","09:22:37",207900
63200,1100,500,"sd","09:22:39",208400
63200,1100,500,"sd","09:22:43",208900
63300,1200,800,"sd","09:22:50",209700
63300,1200,2000,"sd","09:22:51",211700
63300,1200,600,"sd","09:22:54",212300
63400,1300,700,"sd","09:22:56",213200
63400,1300,1400,"bu","09:22:58",214600
63500,1400,3000,"sd","09:22:59",217600
63400,1300,2500,"bu","09:22:59",220100
63500,1400,1000,"sd","09:23:05",221100
63400,1300,300,"sd","09:23:10",221400
63500,1400,6900,"bu","09:23:11",228300
63500,1400,5000,"sd","09:23:13",233300
63400,1300,2100,"bu","09:23:15",235400
63500,1400,100,"bu","09:23:17",235500
63400,1300,3000,"sd","09:23:19",238500
63400,1300,3800,"sd","09:23:22",242300
63400,1300,300,"sd","09:23:23",242600
63400,1300,1200,"sd","09:23:25",243800
63400,1300,500,"sd","09:23:29",244300
63300,1200,2600,"sd","09:23:32",246900
63400,1300,400,"sd","09:23:36",247300
63500,1400,500,"sd","09:23:38",247800
63400,1300,400,"sd","09:23:48",248200
63400,1300,200,"sd","09:23:48",248400
63500,1400,2000,"sd","09:23:49",250400
63500,1400,6000,"sd","09:23:57",256400
63500,1400,200,"sd","09:24:01",256600
63500,1400,300,"sd","09:24:04",256900
63500,1400,1100,"bu","09:24:10",258000
63500,1400,200,"sd","09:24:11",258200
63500,1400,13300,"sd","09:24:17",271500
63500,1400,3300,"bu","09:24:19",274800
63500,1400,100,"bu","09:24:19",274900
63500,1400,3100,"bu","09:24:22",278000
63600,1500,15000,"bu","09:24:24",293000
63600,1500,400,"bu","09:24:25",293400
63500,1400,5300,"bu","09:24:26",298700
63600,1500,100,"bu","09:24:27",298800
63700,1600,3500,"sd","09:24:33",302300
63700,1600,900,"sd","09:24:41",305300
63500,1400,3000,"bu","09:24:47",308300
63700,1600,200,"sd","09:24:53",308500
63500,1400,900,"sd","09:25:12",309400
63800,1700,37000,"sd","09:25:18",346400
63800,1700,900,"bu","09:25:21",347300
63900,1800,6900,"sd","09:25:23",354200
63800,1700,2100,"sd","09:25:29",356300
63800,1700,100,"bu","09:25:37",359900
63800,1700,900,"bu","09:25:43",360800
63800,1700,5000,"bu","09:25:47",365800
63900,1800,6700,"bu","09:25:48",372500
63900,1800,2300,"bu","09:25:48",374800
63900,1800,200,"bu","09:25:50",375000
63900,1800,900,"bu","09:25:54",375900
64000,1900,2000,"sd","09:25:59",377900
63900,1800,200,"sd","09:26:03",378100
63900,1800,900,"bu","09:26:05",379000
64000,1900,6000,"bu","09:26:07",385000
64000,1900,11000,"bu","09:26:11",396000
64000,1900,1700,"bu","09:26:20",408000
64000,1900,1300,"sd","09:26:21",409300
64000,1900,1000,"sd","09:26:22",415600
64000,1900,2000,"sd","09:26:30",417600
64000,1900,5000,"sd","09:26:32",422600
64000,1900,200,"bu","09:26:37",422800
64099.99999999999,2000,300,"sd","09:26:42",423100
64000,1900,500,"bu","09:26:47",423600
64000,1900,14800,"bu","09:26:49",438400
64000,1900,6000,"sd","09:26:53",444400
64000,1900,600,"sd","09:26:54",445000
64000,1900,1300,"sd","09:26:55",446300
64099.99999999999,2000,100,"bu","09:26:57",446400
64099.99999999999,2000,400,"sd","09:26:57",446800
64099.99999999999,2000,7200,"sd","09:27:00",454000
64000,1900,2900,"sd","09:27:01",460300
63900,1800,1800,"bu","09:27:02",462100
64000,1900,200,"sd","09:27:03",462400
63900,1800,100,"sd","09:27:04",462500
64000,1900,2000,"sd","09:27:05",464500
64000,1900,1000,"sd","09:27:07",465500
63900,1800,900,"sd","09:27:10",466400
64000,1900,500,"bu","09:27:12",466900
63900,1800,100,"bu","09:27:14",467000
64000,1900,700,"sd","09:27:14",467700
63900,1800,1000,"bu","09:27:19",468700
63900,1800,5000,"sd","09:27:20",473700
63900,1800,700,"sd","09:27:21",474400
63900,1800,1000,"sd","09:27:30",475400
63900,1800,1000,"sd","09:27:32",476400
63800,1700,1700,"bu","09:27:34",478900
63800,1700,9800,"bu","09:27:35",488700
63700,1600,200,"bu","09:27:41",488900
63900,1800,20900,"sd","09:27:43",509800
63900,1800,15700,"bu","09:27:56",525500
64000,1900,500,"bu","09:27:57",526000
64000,1900,1500,"sd","09:28:04",527500
63900,1800,900,"bu","09:28:06",528400
63900,1800,300,"sd","09:28:08",528700
63900,1800,900,"sd","09:28:14",529600
63900,1800,1800,"bu","09:28:18",531400
63900,1800,11400,"sd","09:28:26",542800
63900,1800,600,"bu","09:28:26",535600
63900,1800,7400,"sd","09:28:27",543000
63900,1800,1100,"bu","09:28:29",544100
63700,1600,1200,"sd","09:28:37",545300
63900,1800,9200,"bu","09:28:38",554500
63900,1800,100,"bu","09:28:55",555000
63900,1800,400,"bu","09:29:05",555400
63700,1600,100,"bu","09:29:21",555500
63500,1400,500,"bu","09:29:35",556000
63500,1400,100,"bu","09:29:54",556100
63500,1400,500,"bu","09:29:58",556600
63600,1500,1700,"sd","09:30:02",558300
63600,1500,2200,"sd","09:30:08",560500
63600,1500,300,"sd","09:30:09",560800
63600,1500,100,"sd","09:30:10",560900
63600,1500,800,"bu","09:30:14",561700
63500,1400,100,"sd","09:30:17",561800
63600,1500,400,"sd","09:30:25",562200
63600,1500,200,"sd","09:30:36",562400
63600,1500,4100,"sd","09:30:43",566500
63500,1400,1000,"sd","09:30:47",567500
63600,1500,100,"sd","09:30:50",567600
63500,1400,4700,"sd","09:31:08",572300
63500,1400,100,"sd","09:31:15",575400
63500,1400,600,"bu","09:31:18",576000
63500,1400,3000,"bu","09:31:18",579000
63600,1500,2500,"bu","09:31:20",581500
63500,1400,3100,"bu","09:31:21",584600
63500,1400,100,"sd","09:31:25",584700
63600,1500,9000,"bu","09:31:29",593700
63600,1500,500,"bu","09:31:31",594200
63600,1500,100,"bu","09:31:36",594300
63600,1500,3500,"bu","09:31:47",597800
63600,1500,1100,"bu","09:31:55",598900
63700,1600,600,"sd","09:31:57",599500
63700,1600,500,"sd","09:31:58",600000
63700,1600,100,"sd","09:32:02",600100
63700,1600,800,"bu","09:32:17",600900
63700,1600,1000,"sd","09:32:24",601900
63600,1500,600,"sd","09:32:33",602500
63600,1500,900,"sd","09:32:34",603400
63600,1500,1600,"sd","09:32:34",605000
63600,1500,3100,"bu","09:32:36",608100
63600,1500,500,"bu","09:32:38",608600
63600,1500,100,"bu","09:32:40",608700
63700,1600,10000,"sd","09:32:41",618700
63600,1500,200,"bu","09:32:47",618900
63600,1500,100,"sd","09:32:50",619000
63700,1600,500,"sd","09:32:53",619500
63600,1500,100,"bu","09:32:55",619600
63600,1500,700,"sd","09:32:59",620300
63600,1500,2400,"sd","09:32:59",622700
63600,1500,2700,"bu","09:33:03",625400
63600,1500,100,"bu","09:33:11",625500
63600,1500,1100,"bu","09:33:31",626600
63500,1400,900,"sd","09:33:42",627500
63500,1400,2200,"sd","09:33:46",629700
63500,1400,1100,"bu","09:33:47",630800
63500,1400,300,"sd","09:33:48",631100
63600,1500,100,"bu","09:33:52",631200
63500,1400,900,"bu","09:33:53",632100
63600,1500,1000,"sd","09:33:56",633100
63600,1500,5000,"sd","09:33:58",638100
63600,1500,1000,"bu","09:34:01",639100
63600,1500,200,"sd","09:34:03",639300
63600,1500,900,"bu","09:34:04",640200
63600,1500,2900,"bu","09:34:13",643100
63600,1500,100,"bu","09:34:16",643200
63500,1400,900,"bu","09:34:18",644100
63600,1500,1500,"sd","09:34:20",645600
63600,1500,500,"bu","09:34:25",646100
63500,1400,900,"bu","09:34:29",647000
63600,1500,500,"sd","09:34:42",647500
63600,1500,100,"sd","09:34:45",647600
63600,1500,1000,"sd","09:34:47",648600
63600,1500,1400,"bu","09:34:58",650000
63600,1500,500,"bu","09:35:04",650500
63600,1500,200,"sd","09:35:08",650700
63600,1500,900,"bu","09:35:22",651600
63600,1500,500,"sd","09:35:28",652100
63600,1500,400,"sd","09:35:32",652500
63600,1500,500,"bu","09:35:36",653000
63600,1500,800,"bu","09:35:38",653800
63600,1500,1600,"bu","09:35:41",655400
63500,1400,4500,"bu","09:35:44",659900
63600,1500,2000,"sd","09:36:00",661900
63600,1500,200,"bu","09:36:17",662100
63600,1500,2700,"bu","09:36:24",664800
63600,1500,400,"bu","09:36:41",665200
63600,1500,1000,"bu","09:36:52",666200
63700,1600,1500,"sd","09:36:58",667700
63700,1600,200,"bu","09:37:05",667900
63600,1500,100,"sd","09:37:09",668000
63600,1500,500,"sd","09:37:25",668500
63600,1500,100,"bu","09:37:52",668600
63600,1500,200,"sd","09:37:56",668800
63600,1500,3300,"bu","09:37:57",672100
63600,1500,2800,"sd","09:38:01",674900
63600,1500,2200,"sd","09:38:04",677100
63600,1500,6600,"bu","09:38:05",683700
63600,1500,2200,"bu","09:38:10",688100
63600,1500,1000,"sd","09:38:11",689100
63600,1500,3100,"sd","09:38:15",692200
63600,1500,2300,"bu","09:38:17",694500
63600,1500,800,"sd","09:38:17",695300
63600,1500,600,"sd","09:38:20",695900
63600,1500,100,"sd","09:38:21",696000
63600,1500,200,"sd","09:38:34",696200
63500,1400,100,"sd","09:38:37",696300
63600,1500,5000,"sd","09:38:40",701300
63600,1500,700,"sd","09:38:42",702000
63500,1400,3300,"bu","09:38:44",705300
63500,1400,100,"sd","09:38:47",705400
63600,1500,2200,"bu","09:39:06",707600
63600,1500,500,"bu","09:39:20",708100
63500,1400,1500,"sd","09:39:53",709600
63500,1400,100,"sd","09:39:53",709700
63500,1400,2000,"bu","09:39:56",711700
63500,1400,1000,"bu","09:39:57",712700
63600,1500,200,"sd","09:39:58",712900
63600,1500,100,"bu","09:40:01",713000
63500,1400,1700,"sd","09:40:09",714700
63500,1400,1100,"bu","09:40:29",715800
63600,1500,200,"sd","09:40:31",716000
63600,1500,100,"bu","09:40:41",716100
63500,1400,6200,"sd","09:40:51",722300
63500,1400,6200,"sd","09:40:54",728500
63500,1400,3000,"bu","09:41:02",731500
63500,1400,1000,"sd","09:41:04",732500
63500,1400,100,"sd","09:41:34",732600
63500,1400,1200,"sd","09:41:37",733800
63500,1400,700,"bu","09:41:39",734500
63500,1400,100,"sd","09:41:41",734600
63500,1400,4000,"bu","09:42:09",738600
63500,1400,100,"bu","09:42:14",738700
63500,1400,1000,"bu","09:42:15",739700
63500,1400,1200,"bu","09:42:23",740900
63500,1400,1000,"bu","09:42:26",741900
63500,1400,4400,"bu","09:42:29",746300
63500,1400,5000,"sd","09:42:32",751300
63500,1400,200,"bu","09:42:35",751500
63500,1400,600,"bu","09:42:36",752100
63500,1400,1000,"bu","09:42:40",755100
63500,1400,3700,"bu","09:42:43",758800
63500,1400,500,"sd","09:42:55",759300
63400,1300,2200,"bu","09:43:22",761500
63400,1300,2200,"bu","09:43:23",763700
63400,1300,100,"bu","09:43:31",763800
63500,1400,1000,"sd","09:43:33",764800
63400,1300,12900,"bu","09:43:53",777700
63400,1300,3300,"bu","09:43:54",781000
63400,1300,100,"sd","09:44:02",781100
63400,1300,700,"bu","09:44:12",781800
63300,1200,800,"bu","09:44:37",782600
63400,1300,200,"sd","09:44:51",782800
63300,1200,6000,"sd","09:45:09",788800
63300,1200,4000,"bu","09:45:13",792800
63300,1200,2000,"sd","09:45:18",794800
63300,1200,1100,"bu","09:45:23",795900
63300,1200,2000,"bu","09:45:26",797900
63300,1200,3000,"bu","09:45:30",800900
63300,1200,1200,"bu","09:45:30",802100
63300,1200,2200,"bu","09:45:40",804300
63300,1200,100,"sd","09:45:42",804400
63300,1200,2200,"sd","09:45:47",806600
63400,1300,300,"sd","09:45:48",806900
63300,1200,4800,"bu","09:45:49",811700
63300,1200,3200,"sd","09:45:50",814900
63200,1100,4100,"bu","09:45:54",819000
63200,1100,1000,"bu","09:45:55",820000
63300,1200,1300,"bu","09:45:56",821300
63200,1100,500,"sd","09:46:09",821800
63200,1100,1100,"sd","09:46:13",822900
63200,1100,100,"sd","09:46:15",823000
63200,1100,500,"sd","09:46:24",823500
63200,1100,1100,"sd","09:46:27",824600
63200,1100,1000,"sd","09:46:35",825600
63200,1100,3000,"sd","09:46:37",828600
63200,1100,300,"bu","09:46:38",828900
63200,1100,100,"bu","09:46:43",829000
63200,1100,200,"bu","09:46:45",829200
63200,1100,1100,"sd","09:46:49",830300
63200,1100,2500,"sd","09:47:21",832800
63200,1100,800,"bu","09:47:48",833600
63200,1100,100,"bu","09:47:51",833700
63100,1000,1100,"sd","09:48:10",834800
63100,1000,100,"bu","09:48:16",834900
63100,1000,1000,"sd","09:48:17",835900
63100,1000,500,"bu","09:48:18",836400
63100,1000,5100,"bu","09:48:27",841500
63100,1000,400,"bu","09:48:28",841900
63100,1000,500,"bu","09:48:29",842400
63100,1000,1000,"sd","09:48:33",843400
63100,1000,2000,"bu","09:48:34",845400
63100,1000,1100,"bu","09:48:37",846500
63100,1000,3100,"bu","09:48:42",849600
63100,1000,2800,"sd","09:48:49",852400
63100,1000,2000,"sd","09:48:59",854400
63100,1000,100,"sd","09:49:01",854500
