"price","change","match_qtty","side","time","total_vol"
22800,50,248500,"bu","09:15:10",248500
22800,50,1000,"sd","09:15:11",249500
22750,0,2100,"sd","09:15:14",251600
22750,0,800,"sd","09:15:17",252400
22800,50,100,"sd","09:15:20",252500
22800,50,10000,"sd","09:15:28",262500
22800,50,300,"sd","09:15:32",262800
22800,50,2100,"sd","09:15:36",264900
22800,50,100,"sd","09:15:39",265000
22800,50,4500,"bu","09:15:43",269500
22800,50,5000,"bu","09:15:45",274500
22800,50,1000,"bu","09:15:48",275500
22750,0,1400,"bu","09:15:50",276900
22750,0,4600,"sd","09:15:50",281500
22800,50,11100,"sd","09:15:51",301500
22750,0,500,"sd","09:15:53",302000
22800,50,1200,"bu","09:15:54",303200
22800,50,10000,"bu","09:15:56",313200
22800,50,8000,"sd","09:16:03",321200
22800,50,30000,"bu","09:16:06",351200
22800,50,100,"sd","09:16:09",351300
22800,50,42000,"bu","09:16:10",393300
22800,50,500,"sd","09:16:13",393800
22800,50,4100,"sd","09:16:14",397900
22800,50,1800,"sd","09:16:20",399700
22800,50,4200,"bu","09:16:23",403900
22800,50,5000,"sd","09:16:23",408900
22800,50,200,"sd","09:16:25",409100
22800,50,900,"sd","09:16:26",410000
22800,50,19000,"bu","09:16:31",429000
22800,50,1000,"sd","09:16:35",430000
22800,50,400,"bu","09:16:36",430400
22800,50,2000,"sd","09:16:38",432400
22800,50,1900,"bu","09:16:49",434300
22800,50,10000,"sd","09:16:55",444300
22800,50,2000,"sd","09:16:57",446300
22800,50,1400,"sd","09:16:58",447700
22800,50,500,"sd","09:16:59",448200
22800,50,200,"bu","09:17:03",448400
22800,50,7900,"bu","09:17:05",456300
22800,50,1200,"sd","09:17:05",457500
22800,50,15500,"bu","09:17:08",473000
22800,50,2000,"sd","09:17:22",475000
22800,50,6000,"bu","09:17:23",481000
22800,50,300,"sd","09:17:24",481300
22800,50,200,"sd","09:17:26",481500
22800,50,100,"sd","09:17:27",481600
22800,50,3600,"bu","09:17:28",485200
22800,50,100,"sd","09:17:29",485300
22800,50,1800,"bu","09:17:31",487100
22800,50,8200,"bu","09:17:32",495300
22800,50,900,"sd","09:17:33",496200
22800,50,400,"sd","09:17:43",496600
22800,50,2000,"sd","09:17:46",498600
22800,50,400,"sd","09:17:46",499000
22800,50,1800,"bu","09:17:47",500800
22800,50,200,"bu","09:17:50",501000
22800,50,5000,"sd","09:17:54",506000
22800,50,2000,"bu","09:17:59",508000
22800,50,5000,"sd","09:18:00",513000
22800,50,2100,"bu","09:18:03",515100
22800,50,2500,"sd","09:18:06",517600
22800,50,200,"bu","09:18:07",517800
22850,100,3000,"bu","09:18:09",520800
22850,100,10000,"bu","09:18:10",530800
22800,50,100000,"sd","09:18:11",630800
22850,100,5000,"sd","09:18:13",635800
22850,100,800,"bu","09:18:29",636600
22800,50,100,"sd","09:18:31",636700
22800,50,300,"bu","09:18:36",637000
22800,50,10000,"bu","09:18:46",647000
22800,50,5000,"sd","09:18:54",652000
22800,50,51000,"sd","09:18:56",703000
22850,100,2100,"bu","09:18:56",705100
22800,50,5000,"bu","09:18:57",710100
22800,50,500,"sd","09:18:58",710600
22800,50,5000,"sd","09:19:00",715600
22800,50,9800,"sd","09:19:01",725400
22800,50,5000,"sd","09:19:06",730400
22800,50,1400,"bu","09:19:08",731800
22800,50,100,"sd","09:19:10",731900
22800,50,26800,"bu","09:19:17",758700
22800,50,1000,"sd","09:19:25",769700
22800,50,4000,"bu","09:19:28",773700
22800,50,500,"sd","09:19:32",774200
22800,50,1000,"sd","09:19:35",775200
22800,50,5000,"sd","09:19:36",780200
22800,50,3000,"sd","09:19:38",783200
22800,50,300,"sd","09:19:40",783500
22800,50,97000,"sd","09:19:41",880500
22800,50,7000,"sd","09:19:43",888000
22800,50,8500,"bu","09:19:47",898000
22800,50,2400,"bu","09:19:48",900400
22800,50,15600,"sd","09:19:53",916000
22800,50,100,"sd","09:19:55",917500
22800,50,500,"bu","09:19:56",998900
22800,50,200,"sd","09:20:05",999600
22800,50,7000,"bu","09:20:16",1006600
22850,100,23000,"bu","09:20:16",1029600
22800,50,500,"bu","09:20:19",1030100
22800,50,5000,"sd","09:20:25",1035100
22800,50,1700,"bu","09:20:28",1036800
22800,50,100,"sd","09:20:36",1036900
22800,50,1000,"sd","09:20:37",1037900
22800,50,50000,"bu","09:20:39",1087900
22800,50,1000,"bu","09:20:42",1088900
22800,50,25000,"sd","09:20:43",1113900
22800,50,200,"bu","09:20:49",1114100
22800,50,100,"sd","09:20:51",1114200
22800,50,5200,"sd","09:20:52",1119400
22800,50,500,"sd","09:20:59",1119900
22800,50,1000,"bu","09:21:01",1120900
22800,50,23800,"bu","09:21:01",1144700
22750,0,1000,"bu","09:21:18",1145700
22800,50,5000,"sd","09:21:21",1150700
22800,50,2000,"sd","09:21:23",1152700
22800,50,76500,"sd","09:21:25",1229200
22800,50,1500,"bu","09:21:26",1230700
22800,50,3000,"sd","09:21:30",1233700
22800,50,500,"bu","09:21:32",1234200
22800,50,17200,"bu","09:21:35",1251400
22800,50,7500,"bu","09:21:40",1258900
22800,50,39000,"bu","09:21:41",1297900
22800,50,3000,"sd","09:21:45",1300900
22800,50,12300,"sd","09:21:45",1313200
22800,50,2000,"sd","09:21:46",1315200
22800,50,3900,"bu","09:21:47",1319100
22800,50,1500,"bu","09:21:49",1320600
22800,50,300,"sd","09:21:49",1320900
22800,50,100,"bu","09:21:51",1321000
22800,50,2500,"sd","09:21:56",1323500
22800,50,500,"bu","09:21:56",1324000
22800,50,1700,"bu","09:21:57",1326900
22800,50,100,"sd","09:21:59",1327000
22800,50,5000,"bu","09:22:01",1332000
22800,50,17000,"sd","09:22:05",1349000
22800,50,10000,"sd","09:22:09",1359000
22800,50,1000,"sd","09:22:10",1360000
22800,50,4000,"sd","09:22:15",1364000
22800,50,10000,"bu","09:22:16",1374000
22850,100,10000,"bu","09:22:20",1384000
22800,50,2000,"bu","09:22:23",1386000
22800,50,1500,"bu","09:22:24",1387500
22850,100,500,"bu","09:22:29",1388000
22850,100,63100,"sd","09:22:35",1451100
22850,100,45300,"sd","09:22:36",1496400
22850,100,1000,"sd","09:22:39",1497400
22850,100,2000,"sd","09:22:41",1499400
22850,100,200,"sd","09:22:42",1499600
22850,100,2000,"bu","09:22:47",1501600
22850,100,300,"bu","09:23:00",1501900
22850,100,1400,"bu","09:23:06",1503300
22850,100,5000,"sd","09:23:08",1508300
22900,150,200,"sd","09:23:11",1508500
22850,100,80400,"sd","09:23:15",1588900
22850,100,300,"sd","09:23:16",1589200
22850,100,500,"sd","09:23:22",1589700
22850,100,19400,"sd","09:23:31",1609100
22850,100,3000,"bu","09:23:40",1612100
22850,100,100,"sd","09:23:45",1612200
22850,100,200,"sd","09:23:46",1612400
22900,150,300,"sd","09:23:49",1612700
22850,100,1000,"sd","09:23:49",1613700
22850,100,10000,"bu","09:23:50",1623700
22850,100,11000,"bu","09:23:55",1634700
22850,100,1000,"bu","09:23:56",1635700
22900,150,100,"sd","09:24:03",1635800
22850,100,5000,"bu","09:24:04",1640800
22850,100,600,"sd","09:24:05",1641400
22850,100,300,"bu","09:24:25",1641700
22850,100,16000,"bu","09:24:26",1657700
