"price","change","match_qtty","side","time","total_vol"
11600,100,3000,"bu","09:00:11",3000
11600,100,6000,"bu","09:03:29",9000
11700,200,2000,"sd","09:04:22",11000
11600,100,5000,"bu","09:04:56",16000
11600,100,39000,"sd","09:06:25",55000
11600,100,1000,"sd","09:07:47",56000
11700,200,5000,"sd","09:09:12",61000
11800,300,44000,"sd","09:09:32",105000
11800,300,50000,"sd","09:12:33",155000
11800,300,10000,"sd","09:15:19",165000
11800,300,10000,"sd","09:16:03",175000
11800,300,20000,"sd","09:16:44",195000
11800,300,1000,"bu","09:32:08",196000
11800,300,33000,"bu","09:34:40",229000
11800,300,1000,"bu","09:35:00",230000
11600,100,14000,"sd","09:41:23",244000
11600,100,2000,"bu","09:44:04",246000
11600,100,3000,"bu","09:45:19",249000
11500,0,10000,"sd","09:47:37",259000
11500,0,51000,"sd","09:48:33",310000
11500,0,120000,"bu","09:49:08",430000
11500,0,10000,"bu","09:51:19",440000
11500,0,36000,"sd","09:51:20",476000
11400,-100,2000,"bu","09:56:41",478000
11400,-100,53000,"bu","09:56:51",531000
11400,-100,10000,"sd","09:57:15",541000
11300,-200,20000,"sd","09:57:22",561000
11400,-100,1000,"sd","09:57:36",562000
11200,-300,49000,"bu","09:57:57",611000
11200,-300,5000,"bu","09:58:08",616000
11200,-300,15000,"sd","09:58:13",631000
11200,-300,15000,"bu","09:58:23",646000
11200,-300,5000,"bu","09:58:30",651000
11200,-300,1000,"sd","09:58:33",652000
11200,-300,2000,"bu","10:00:04",654000
11300,-200,16000,"sd","10:01:37",670000
11300,-200,1000,"sd","10:01:58",671000
11300,-200,10000,"bu","10:03:45",681000
11300,-200,4000,"bu","10:03:49",685000
11300,-200,8000,"bu","10:04:20",693000
11300,-200,7000,"bu","10:04:53",700000
11300,-200,1000,"sd","10:04:54",701000
11300,-200,2000,"sd","10:05:04",703000
11300,-200,1000,"sd","10:05:05",704000
11400,-100,10000,"bu","10:06:56",714000
11400,-100,3000,"bu","10:07:46",717000
11400,-100,10000,"bu","10:08:32",727000
11400,-100,3000,"sd","10:09:09",730000
11400,-100,2000,"sd","10:09:19",732000
11400,-100,2000,"sd","10:10:06",734000
11400,-100,10000,"bu","10:10:25",744000
11400,-100,2000,"sd","10:10:31",746000
11300,-200,10000,"sd","10:11:29",756000
11400,-100,4000,"bu","10:13:35",760000
11400,-100,1000,"sd","10:14:14",761000
11400,-100,10000,"bu","10:15:16",771000
11400,-100,4000,"bu","10:15:21",775000
11500,0,3000,"sd","10:19:00",778000
11500,0,16000,"sd","10:19:51",794000
11500,0,5000,"sd","10:20:25",799000
11500,0,9000,"bu","10:24:06",808000
11400,-100,17000,"sd","10:27:06",825000
11500,0,11000,"bu","10:36:42",836000
11500,0,5000,"sd","10:38:41",841000
11600,100,2000,"sd","10:39:46",843000
11600,100,1000,"sd","10:44:01",844000
11600,100,20000,"sd","10:53:57",864000
11600,100,1000,"sd","11:00:06",865000
11500,0,9000,"bu","11:01:07",874000
11500,0,10000,"bu","11:07:53",884000
11400,-100,30000,"bu","11:18:29",914000
11500,0,10000,"sd","11:18:36",924000
11400,-100,2000,"bu","11:28:22",926000
11400,-100,14000,"sd","13:00:01",940000
11400,-100,1000,"bu","13:00:04",941000
11500,0,5000,"sd","13:29:36",946000
11500,0,1000,"sd","13:36:38",947000
11500,0,2000,"bu","13:39:53",949000
11500,0,12000,"sd","13:43:00",961000
11500,0,68000,"sd","13:44:47",1029000
11500,0,5000,"sd","13:46:48",1034000
11400,-100,76000,"sd","13:47:02",1110000
11500,0,1000,"bu","13:51:27",1111000
11500,0,10000,"sd","13:53:14",1121000
11400,-100,2000,"sd","13:54:34",1123000
11400,-100,45000,"sd","13:55:31",1168000
11400,-100,1000,"sd","13:55:33",1169000
11400,-100,45000,"bu","13:56:00",1214000
11400,-100,5000,"bu","13:56:11",1219000
11400,-100,50000,"bu","13:59:08",1269000
11400,-100,13000,"bu","14:02:08",1282000
11500,0,3000,"bu","14:04:51",1285000
11500,0,3000,"sd","14:05:06",1288000
11400,-100,18000,"bu","14:08:11",1306000
11400,-100,10000,"sd","14:09:11",1316000
11400,-100,30000,"bu","14:09:45",1346000
11500,0,4000,"bu","14:12:07",1350000
11500,0,2000,"sd","14:18:43",1352000
11400,-100,50000,"sd","14:18:46",1402000
11400,-100,149000,"bu","14:19:06",1551000
11400,-100,12000,"bu","14:21:50",1563000
11400,-100,3000,"sd","14:22:39",1566000
11300,-200,100000,"bu","14:23:15",1666000
11300,-200,10000,"sd","14:24:07",1676000
11300,-200,1000,"sd","14:24:13",1677000
11300,-200,77000,"sd","14:26:50",1754000
11300,-200,20000,"sd","14:26:57",1774000
11300,-200,68000,"sd","14:27:00",1842000
11400,-100,1000,"bu","14:28:26",1843000
11400,-100,4000,"bu","14:28:29",1847000
11400,-100,19000,"bu","14:31:57",1866000
11300,-200,22000,"bu","14:32:48",1888000
11300,-200,10000,"bu","14:32:57",1898000
11200,-300,97000,"bu","14:33:15",1995000
11200,-300,2000,"bu","14:33:34",1997000
11200,-300,2000,"bu","14:34:15",1999000
11300,-200,5000,"sd","14:44:03",2004000
11300,-200,10000,"bu","14:45:19",2014000
11300,-200,1000,"bu","14:47:35",2015000
