"price","change","match_qtty","side","time","total_vol"
18550,50,1100,"sd","09:15:10",1100
18550,50,500,"sd","09:20:34",1600
18550,50,2200,"bu","09:21:20",3800
18600,100,2200,"sd","09:22:56",6000
18650,150,900,"bu","09:25:01",6900
18650,150,1700,"sd","09:27:11",8600
18650,150,800,"sd","09:28:10",9400
18650,150,3500,"bu","09:32:31",12900
18600,100,100,"sd","09:32:32",13000
18650,150,1900,"bu","09:32:45",14900
18650,150,2700,"sd","09:33:02",17600
18650,150,4100,"bu","09:33:31",21700
18700,200,600,"sd","09:34:04",22300
18700,200,5000,"bu","09:34:11",27300
18700,200,100,"bu","09:34:29",27400
18700,200,1400,"bu","09:35:04",28800
18650,150,3300,"bu","09:35:58",32100
18700,200,500,"sd","09:36:00",32600
18750,250,5200,"bu","09:36:09",37800
18800,300,9400,"bu","09:36:22",47200
18850,350,100,"bu","09:36:49",47300
18850,350,4300,"bu","09:36:51",51600
18900,400,2100,"bu","09:37:00",53700
18900,400,100,"sd","09:37:06",53800
18900,400,900,"sd","09:37:09",54700
18900,400,200,"sd","09:37:12",54900
18850,350,100,"bu","09:39:14",55000
18800,300,6000,"sd","09:40:56",61000
18800,300,2900,"bu","09:41:09",63900
18800,300,2200,"sd","09:41:27",66100
18800,300,1300,"sd","09:43:50",67400
18800,300,3700,"sd","09:44:46",71100
18850,350,2200,"bu","09:46:51",73300
18850,350,500,"sd","09:48:13",73800
18850,350,100,"bu","09:48:33",73900
18850,350,300,"bu","09:49:29",74200
18900,400,5000,"sd","09:49:32",79200
18900,400,600,"sd","09:50:24",79800
18900,400,400,"bu","09:52:07",80200
18900,400,1000,"sd","09:53:07",81200
18900,400,4800,"sd","09:54:18",86000
18900,400,2200,"sd","09:56:36",88200
18900,400,3000,"sd","09:57:15",91200
18900,400,2500,"bu","09:57:28",93700
18850,350,200,"sd","09:59:18",93900
18850,350,3000,"bu","10:01:39",96900
18850,350,3700,"bu","10:05:35",100600
18850,350,500,"sd","10:15:42",101100
18900,400,10000,"bu","10:27:34",111100
18900,400,800,"sd","10:31:33",111900
18950,450,2600,"bu","10:31:49",114500
18950,450,3300,"bu","10:31:57",117800
18950,450,1400,"bu","10:32:04",119200
19000,500,1300,"sd","10:32:11",120500
19000,500,2500,"sd","10:32:21",123000
19000,500,4800,"bu","10:32:27",127800
19000,500,3600,"bu","10:32:40",131400
19000,500,5000,"bu","10:32:41",136400
19000,500,800,"bu","10:32:49",137200
19050,550,1000,"sd","10:35:13",138200
19050,550,800,"sd","10:39:00",139000
19050,550,100,"sd","10:39:48",139100
19100,600,5200,"bu","10:43:10",144300
19050,550,1000,"bu","10:48:01",145300
19050,550,2000,"bu","10:59:59",147300
19050,550,300,"bu","11:00:07",147600
19050,550,900,"sd","11:03:34",148500
19050,550,4100,"sd","11:06:27",152600
19050,550,700,"bu","11:06:46",153300
19100,600,1200,"sd","11:07:01",154500
19050,550,300,"bu","11:07:56",154800
19050,550,400,"bu","11:13:18",155200
19050,550,3000,"bu","11:14:03",158200
19050,550,1600,"sd","11:14:18",159800
19050,550,100,"sd","11:14:47",159900
19050,550,1400,"bu","11:16:30",161300
19100,600,3000,"sd","11:18:59",164300
19100,600,200,"sd","11:19:23",164500
19100,600,4100,"sd","11:21:08",168600
19100,600,3000,"bu","11:21:44",171600
19150,650,1800,"sd","11:21:59",173400
19150,650,2000,"bu","11:22:13",175400
19150,650,1300,"sd","11:22:48",176700
19150,650,100,"sd","11:23:14",176800
19150,650,2900,"sd","11:24:29",179700
19150,650,2000,"sd","11:25:06",181700
19150,650,500,"sd","11:25:24",182200
19150,650,1800,"sd","11:25:54",184000
19200,700,100,"bu","11:27:31",184100
19200,700,3700,"sd","11:28:15",187800
19250,750,10000,"sd","11:28:39",197800
19200,700,800,"bu","13:00:23",198600
19200,700,200,"bu","13:00:48",198800
19150,650,400,"sd","13:01:02",199200
19150,650,2000,"sd","13:01:28",201200
19150,650,300,"bu","13:01:39",201500
19150,650,500,"sd","13:02:04",202000
19250,750,4100,"sd","13:02:48",206100
19150,650,100,"sd","13:03:53",206200
19150,650,1000,"bu","13:04:43",207200
19150,650,100,"sd","13:04:58",207300
19150,650,3700,"sd","13:05:12",211000
19100,600,400,"bu","13:09:12",211400
19100,600,1000,"sd","13:09:41",212400
19100,600,300,"bu","13:10:28",212700
19100,600,1500,"bu","13:10:33",214200
19050,550,3000,"bu","13:10:54",217200
19050,550,3000,"bu","13:11:11",220200
