"price","change","match_qtty","side","time","total_vol"
16400,0,1000,"bu","09:00:18",1000
16400,0,1000,"sd","09:00:22",2000
16000,-400,1000,"sd","09:09:43",3000
16000,-400,2000,"sd","09:10:51",5000
16300,-100,10000,"sd","09:14:21",15000
16300,-100,50000,"sd","09:15:19",65000
16300,-100,14000,"sd","09:16:15",79000
16300,-100,14000,"bu","09:17:31",93000
16300,-100,3000,"bu","09:18:03",96000
16300,-100,20000,"bu","09:18:50",116000
16200,-200,3000,"bu","09:18:51",119000
16200,-200,6000,"sd","09:19:17",125000
16200,-200,1000,"bu","09:19:40",126000
16100.000000000002,-300,4000,"sd","09:20:08",130000
16100.000000000002,-300,1000,"bu","09:21:36",131000
16100.000000000002,-300,8000,"sd","09:21:41",139000
16100.000000000002,-300,20000,"bu","09:21:44",159000
16100.000000000002,-300,1000,"bu","09:23:12",160000
16100.000000000002,-300,5000,"sd","09:23:20",165000
16100.000000000002,-300,2000,"sd","09:23:21",167000
16100.000000000002,-300,50000,"bu","09:24:51",217000
16100.000000000002,-300,1000,"bu","09:32:50",218000
16100.000000000002,-300,5000,"sd","09:33:45",223000
16100.000000000002,-300,5000,"bu","09:34:35",228000
16100.000000000002,-300,5000,"bu","09:36:04",233000
16100.000000000002,-300,30000,"bu","09:36:25",263000
16100.000000000002,-300,24000,"bu","09:36:26",287000
16100.000000000002,-300,10000,"sd","09:38:46",297000
16100.000000000002,-300,26000,"sd","09:39:27",323000
16100.000000000002,-300,5000,"bu","09:39:35",328000
16100.000000000002,-300,1000,"bu","09:40:28",329000
16000,-400,100000,"sd","09:42:09",429000
16000,-400,10000,"sd","09:42:15",439000
16000,-400,10000,"sd","09:42:55",449000
16000,-400,5000,"bu","09:43:02",454000
16000,-400,5000,"sd","09:43:53",459000
15900,-500,80000,"sd","09:44:34",539000
15900,-500,19000,"bu","09:44:53",558000
15900,-500,3000,"bu","09:45:51",561000
15900,-500,10000,"sd","09:46:15",571000
15900,-500,10000,"bu","09:46:21",581000
15900,-500,10000,"bu","09:46:45",591000
15900,-500,10000,"sd","09:47:06",601000
15900,-500,5000,"sd","09:47:11",606000
15900,-500,5000,"bu","09:47:16",611000
15900,-500,30000,"sd","09:47:43",641000
15900,-500,2000,"sd","09:48:43",643000
15900,-500,20000,"bu","09:49:18",663000
15900,-500,18000,"sd","09:49:26",681000
15900,-500,20000,"bu","09:49:58",701000
15900,-500,1000,"sd","09:50:19",702000
15900,-500,1000,"sd","09:50:32",703000
15900,-500,5000,"sd","09:50:58",708000
15800,-600,1000,"sd","09:51:08",709000
15900,-500,50000,"sd","09:51:44",759000
15900,-500,2000,"bu","09:52:28",761000
15900,-500,1000,"sd","09:53:11",762000
15900,-500,17000,"bu","09:53:53",779000
15900,-500,1000,"bu","09:54:05",780000
15900,-500,10000,"bu","09:55:47",790000
15900,-500,27000,"sd","09:56:06",817000
15900,-500,3000,"sd","09:57:49",820000
15900,-500,3000,"sd","09:58:28",823000
15900,-500,60000,"bu","09:58:36",883000
15900,-500,40000,"bu","09:58:47",923000
15900,-500,10000,"sd","09:59:00",933000
15800,-600,20000,"sd","09:59:02",953000
15900,-500,2000,"sd","09:59:31",955000
15900,-500,10000,"sd","10:00:16",965000
15900,-500,10000,"sd","10:00:24",975000
15900,-500,2000,"sd","10:00:28",977000
15900,-500,2000,"bu","10:00:34",979000
15800,-600,50000,"sd","10:01:00",1029000
15900,-500,1000,"sd","10:01:07",1030000
16000,-400,1000,"bu","10:03:10",1031000
16000,-400,2000,"sd","10:04:42",1033000
16000,-400,5000,"sd","10:05:25",1038000
16000,-400,3000,"sd","10:05:51",1041000
16000,-400,1000,"bu","10:06:29",1042000
16000,-400,5000,"sd","10:07:13",1047000
16000,-400,50000,"bu","10:08:02",1097000
16000,-400,12000,"bu","10:08:35",1109000
16000,-400,5000,"sd","10:09:34",1114000
16000,-400,4000,"sd","10:09:54",1118000
16000,-400,5000,"sd","10:10:03",1123000
16000,-400,5000,"bu","10:10:06",1128000
16000,-400,4000,"bu","10:10:51",1132000
16000,-400,1000,"sd","10:11:52",1133000
16000,-400,9000,"sd","10:12:20",1142000
16000,-400,1000,"bu","10:12:25",1143000
16000,-400,6000,"sd","10:13:01",1149000
16000,-400,1000,"bu","10:14:25",1150000
16000,-400,37000,"sd","10:17:04",1187000
16000,-400,16000,"sd","10:17:22",1203000
16000,-400,34000,"sd","10:18:40",1237000
16000,-400,1000,"bu","10:19:10",1238000
15900,-500,10000,"bu","10:21:54",1248000
15900,-500,1000,"sd","10:27:22",1249000
15900,-500,20000,"sd","10:29:39",1269000
15900,-500,3000,"sd","10:34:28",1272000
15900,-500,30000,"bu","10:37:50",1302000
16000,-400,2000,"sd","10:38:28",1304000
16000,-400,2000,"bu","10:39:37",1306000
16000,-400,1000,"sd","10:40:39",1307000
