"price","change","match_qtty","side","time","total_vol"
16400,0,70700,"sd","09:15:02",70700
16400,0,1000,"sd","09:15:54",71700
16400,0,500,"bu","09:15:56",72200
16400,0,100,"bu","09:16:03",72300
16400,0,1500,"sd","09:16:50",73800
16350.000000000002,-50,200,"bu","09:16:53",74000
16400,0,20800,"sd","09:18:11",94800
16400,0,29200,"bu","09:18:17",124000
16450,50,500,"bu","09:18:47",124500
16500,100,20800,"bu","09:18:54",145300
16450,50,10000,"sd","09:18:58",155300
16500,100,25000,"bu","09:19:10",180300
16500,100,15900,"bu","09:19:21",196200
16500,100,100,"bu","09:19:40",196300
16550,150,30000,"sd","09:20:07",226300
16550,150,20000,"bu","09:20:13",246300
16550,150,200,"sd","09:20:17",246500
16550,150,2000,"sd","09:20:33",248500
16550,150,100,"bu","09:21:14",248600
16600,200,10000,"bu","09:21:24",258600
16600,200,24000,"sd","09:21:37",282600
16600,200,29600,"bu","09:22:05",312200
16600,200,900,"bu","09:22:23",313100
16650,250,200,"sd","09:22:28",313300
16650,250,2200,"sd","09:22:37",315500
16650,250,10000,"sd","09:22:53",325500
16650,250,7600,"sd","09:23:10",333100
16600,200,19500,"sd","09:23:17",352600
16550,150,20200,"sd","09:24:00",372800
16500,100,30000,"sd","09:24:28",402800
16500,100,3200,"bu","09:24:32",406000
16450,50,5100,"bu","09:24:57",411100
16500,100,100,"bu","09:25:17",411200
16450,50,5300,"bu","09:25:22",416500
16450,50,900,"sd","09:25:28",417400
16450,50,2000,"bu","09:25:39",419400
16450,50,400,"sd","09:25:53",419800
16450,50,100,"bu","09:26:25",419900
16450,50,300,"sd","09:26:57",420200
16450,50,100,"bu","09:27:48",420300
16450,50,21700,"sd","09:28:09",442000
16400,0,3000,"sd","09:30:03",445000
16400,0,72600,"bu","09:30:22",517600
16400,0,1000,"sd","09:31:05",518600
16400,0,5000,"sd","09:31:28",523600
16400,0,200,"bu","09:31:38",523800
16400,0,900,"sd","09:31:48",524700
16400,0,1000,"bu","09:32:03",525700
16400,0,13000,"bu","09:34:17",538700
16400,0,19000,"sd","09:34:29",557700
16400,0,100,"bu","09:34:55",557800
16400,0,500,"sd","09:35:42",558300
16400,0,200,"sd","09:35:45",558500
16400,0,2000,"sd","09:35:53",560500
16400,0,500,"bu","09:36:23",561000
16400,0,17300,"sd","09:36:26",578300
16400,0,2100,"sd","09:36:48",580400
16400,0,500,"sd","09:36:59",580900
16400,0,600,"bu","09:37:52",581500
16400,0,30000,"bu","09:38:15",611500
16350.000000000002,-50,1500,"bu","09:38:19",613000
16450,50,80800,"sd","09:39:50",693800
16450,50,1000,"bu","09:40:06",694800
16500,100,30000,"sd","09:40:30",724800
16500,100,130000,"bu","09:40:42",854800
16450,50,2400,"sd","09:41:24",857200
16450,50,300,"sd","09:42:20",857500
16450,50,100,"sd","09:42:51",857600
16450,50,3100,"bu","09:43:13",860700
16450,50,1800,"sd","09:43:57",862500
16450,50,1000,"sd","09:44:15",863500
16450,50,200,"sd","09:44:24",863700
16450,50,1000,"sd","09:44:43",864700
16450,50,5000,"sd","09:44:49",869700
16450,50,1000,"sd","09:45:10",870700
16450,50,2300,"sd","09:45:19",873000
16450,50,500,"bu","09:45:20",873500
16400,0,32000,"sd","09:46:38",905500
16400,0,18000,"sd","09:46:57",923500
16400,0,2000,"bu","09:47:10",925500
16400,0,18000,"bu","09:47:31",943500
16400,0,2000,"bu","09:48:29",945500
16450,50,100,"sd","09:49:05",945600
16400,0,10000,"sd","09:49:46",955600
16400,0,100,"sd","09:50:21",955700
16400,0,2500,"sd","09:50:44",958200
16400,0,1000,"sd","09:51:10",959200
