"price","change","match_qtty","side","time","total_vol"
5200,0,10000,"sd","09:00:08",10000
5200,0,160000,"sd","09:00:20",170000
5300,100,50000,"bu","09:07:57",220000
5300,100,200000,"bu","09:08:08",420000
5300,100,200000,"bu","09:08:25",620000
5300,100,50000,"sd","09:08:32",670000
5300,100,50000,"bu","09:08:35",720000
5300,100,200000,"bu","09:08:43",920000
5300,100,50000,"bu","09:08:48",970000
5300,100,100000,"sd","09:09:11",1070000
5300,100,100000,"sd","09:09:16",1170000
5300,100,256000,"bu","09:09:19",1426000
5300,100,1000,"bu","09:09:41",1427000
5300,100,50000,"sd","09:09:54",1477000
5300,100,1000,"bu","09:09:55",1478000
5300,100,10000,"bu","09:10:58",1488000
5300,100,200000,"bu","09:11:43",1688000
5300,100,20000,"bu","09:12:32",1708000
5300,100,10000,"sd","09:12:35",1718000
5300,100,20000,"sd","09:12:41",1738000
5300,100,10000,"bu","09:12:44",1748000
5300,100,30000,"sd","09:12:46",1778000
5300,100,2000,"bu","09:12:47",1780000
5300,100,85000,"sd","09:13:01",1865000
5300,100,30000,"sd","09:13:03",1895000
5300,100,205000,"sd","09:13:06",2100000
5300,100,2000,"sd","09:13:10",2102000
5300,100,8000,"sd","09:13:11",2110000
5300,100,92000,"sd","09:13:17",2202000
5300,100,30000,"sd","09:13:23",2232000
5300,100,40000,"bu","09:14:23",2272000
5300,100,110000,"sd","09:15:29",2382000
5300,100,3000,"sd","09:15:32",2385000
5300,100,30000,"bu","09:15:35",2415000
5300,100,195000,"bu","09:15:40",2610000
5300,100,8000,"sd","09:15:45",2618000
5300,100,10000,"sd","09:15:58",2628000
5300,100,1000,"bu","09:20:11",2629000
5300,100,37000,"bu","09:21:20",2666000
5300,100,15000,"sd","09:21:54",2681000
5300,100,2000,"sd","09:26:12",2683000
5300,100,20000,"sd","09:27:08",2703000
5300,100,500000,"bu","09:31:37",3203000
5200,0,1430000,"sd","09:33:39",4633000
5200,0,20000,"sd","09:34:05",4653000
5200,0,495000,"sd","09:35:22",5148000
5200,0,5000,"bu","09:35:39",5153000
5200,0,110000,"bu","09:37:15",5263000
5200,0,20000,"bu","09:38:13",5283000
5200,0,1000,"bu","09:40:23",5284000
5200,0,200000,"bu","09:41:37",5484000
5200,0,30000,"sd","09:41:51",5514000
5300,100,1000,"sd","09:42:00",5515000
5200,0,30000,"bu","09:42:10",5545000
5300,100,1000,"bu","09:42:33",5546000
5200,0,120000,"bu","09:44:04",5666000
5200,0,50000,"sd","09:44:42",5716000
5200,0,80000,"sd","09:44:52",5796000
5300,100,1000,"sd","09:46:35",5797000
5300,100,2000,"sd","09:47:34",5799000
5200,0,30000,"bu","09:51:46",5829000
5200,0,1000,"bu","09:54:00",5830000
5200,0,20000,"sd","10:01:14",5850000
5200,0,2000,"bu","10:02:38",5852000
5200,0,5000,"sd","10:05:26",5857000
5200,0,20000,"bu","10:07:10",5877000
5200,0,1000,"sd","10:08:04",5878000
5200,0,13000,"bu","10:08:10",5891000
5200,0,1000,"bu","10:08:19",5892000
5200,0,10000,"sd","10:14:56",5902000
