"price","change","match_qtty","side","time","total_vol"
18250,0,17300,"sd","09:15:01",17300
18250,0,200,"bu","09:16:22",17500
18250,0,5100,"sd","09:16:29",22600
18300,50,200,"sd","09:16:30",22800
18300,50,500,"bu","09:16:39",23300
18300,50,5000,"sd","09:16:43",28300
18300,50,100,"bu","09:16:44",28400
18300,50,1000,"sd","09:16:48",29400
18300,50,800,"sd","09:16:51",30200
18350,100,1000,"sd","09:17:14",31200
18300,50,100,"bu","09:17:16",31300
18300,50,11200,"sd","09:17:56",42500
18300,50,400,"sd","09:17:58",42900
18300,50,3600,"sd","09:17:59",46500
18300,50,1100,"bu","09:18:27",47600
18300,50,8300,"bu","09:18:33",55900
18300,50,2500,"bu","09:18:53",58400
18250,0,1000,"sd","09:19:14",59400
18300,50,2500,"sd","09:19:17",61900
18250,0,100,"bu","09:19:22",62000
18250,0,5000,"sd","09:19:49",67000
18300,50,1500,"sd","09:19:51",68500
18300,50,200,"bu","09:20:23",68700
18300,50,100,"sd","09:20:26",68800
18300,50,14000,"sd","09:20:28",82800
18300,50,1500,"bu","09:20:40",84300
18300,50,500,"bu","09:20:48",84800
18300,50,1000,"bu","09:20:52",85800
18300,50,900,"sd","09:20:56",86700
18300,50,1000,"sd","09:20:57",87700
18300,50,5600,"sd","09:20:58",93300
18300,50,1000,"sd","09:21:06",94300
18300,50,500,"sd","09:21:07",94800
18300,50,2000,"sd","09:21:11",96800
18300,50,22000,"bu","09:22:34",118800
18300,50,200,"sd","09:23:01",119000
18300,50,6000,"sd","09:23:29",125000
18300,50,8000,"sd","09:23:36",133000
18300,50,2700,"sd","09:23:37",135700
18300,50,1700,"bu","09:23:50",137700
18300,50,2000,"sd","09:23:56",139700
18300,50,3000,"sd","09:24:15",142700
18300,50,300,"bu","09:24:19",143000
18300,50,2700,"bu","09:24:20",145700
18350,100,1000,"sd","09:24:30",146700
18300,50,100,"bu","09:24:57",146800
18350,100,500,"sd","09:25:33",147300
18350,100,3000,"bu","09:25:46",150300
18350,100,500,"sd","09:25:48",150800
18300,50,38900,"sd","09:27:42",189700
18300,50,20100,"sd","09:27:51",209800
18300,50,6000,"sd","09:28:02",215800
18300,50,17600,"sd","09:28:04",233400
18300,50,2500,"bu","09:28:05",235900
18300,50,1000,"bu","09:28:13",236900
18300,50,7900,"sd","09:28:17",244800
18300,50,3100,"bu","09:28:23",247900
18250,0,2000,"bu","09:29:01",249900
18250,0,1000,"bu","09:29:18",250900
18300,50,100,"bu","09:29:23",251000
18250,0,1200,"sd","09:29:51",252200
18250,0,10000,"bu","09:30:04",262200
18250,0,1000,"sd","09:30:12",263200
18250,0,2700,"sd","09:30:20",265900
18250,0,500,"bu","09:30:21",266400
18250,0,3500,"bu","09:32:02",269900
18300,50,100,"bu","09:32:08",270000
18250,0,200,"bu","09:32:22",270200
18250,0,5000,"bu","09:32:28",275200
18300,50,30000,"bu","09:32:42",305200
18300,50,12500,"bu","09:32:57",317700
18300,50,700,"sd","09:33:02",318400
18300,50,5000,"sd","09:33:12",323400
18300,50,10000,"bu","09:33:50",333400
18300,50,2900,"bu","09:34:09",336300
18300,50,200,"bu","09:34:11",336500
18300,50,100,"bu","09:34:13",336600
18300,50,10000,"sd","09:34:35",346600
18300,50,2000,"bu","09:35:22",348600
18300,50,600,"sd","09:35:47",349200
18300,50,500,"bu","09:36:44",349700
18300,50,100,"bu","09:37:17",349800
18350,100,300,"bu","09:37:59",350100
18300,50,10000,"bu","09:38:15",360100
18350,100,1000,"sd","09:38:26",361100
18350,100,1800,"sd","09:39:36",362900
18300,50,1200,"sd","09:39:37",364100
18300,50,4000,"bu","09:39:52",368100
18300,50,11000,"bu","09:40:22",379100
18350,100,800,"bu","09:40:35",379900
18350,100,200,"bu","09:43:30",380100
18350,100,10000,"bu","09:43:37",390100
18300,50,10100,"bu","09:44:09",400200
18350,100,500,"bu","09:44:58",401200
18300,50,200,"sd","09:45:06",401400
18300,50,65000,"bu","09:45:10",466400
18300,50,400,"sd","09:45:15",466800
18300,50,100,"sd","09:45:36",466900
18250,0,2000,"sd","09:46:11",468900
18250,0,2000,"sd","09:47:34",470900
18300,50,100,"bu","09:47:49",471000
18250,0,14000,"bu","09:47:54",485000
18300,50,1300,"sd","09:47:57",486300
18300,50,4000,"bu","09:51:03",490300
18300,50,2500,"sd","09:51:51",492800
18300,50,9300,"sd","09:51:54",502100
18350,100,100,"bu","09:52:16",502200
18300,50,2000,"sd","09:52:33",504200
18300,50,4500,"sd","09:53:26",508700
18300,50,1000,"sd","09:55:17",509700
18350,100,2900,"sd","09:55:18",512600
18350,100,500,"sd","09:55:53",513100
18350,100,10000,"bu","09:55:58",523100
18350,100,200,"bu","09:56:11",523300
18300,50,500,"sd","09:56:32",523800
18300,50,200,"sd","09:56:43",524000
18300,50,15000,"bu","09:57:01",539000
18300,50,6600,"bu","09:57:08",545600
18300,50,300,"sd","09:57:15",545900
18300,50,10900,"sd","09:57:18",556800
18300,50,2000,"bu","09:57:36",558800
18300,50,500,"sd","09:57:50",559300
18300,50,2100,"sd","09:58:13",561400
18300,50,100,"bu","09:58:16",561500
18300,50,1200,"sd","09:58:38",562700
18300,50,8000,"bu","09:58:51",570700
18300,50,2000,"sd","09:59:08",572700
18300,50,900,"bu","09:59:11",573600
18250,0,100,"bu","09:59:16",573700
18250,0,3100,"sd","10:01:33",576800
18300,50,3400,"bu","10:01:37",580200
18250,0,1000,"sd","10:02:18",581200
18300,50,100,"bu","10:02:38",581300
18300,50,10000,"sd","10:02:55",591300
18300,50,12000,"sd","10:03:17",603300
18300,50,10000,"bu","10:03:29",613300
18300,50,1000,"bu","10:03:38",614300
