"price","change","match_qtty","side","time","total_vol"
20000,0,1200,"sd","09:15:03",1200
20000,0,1900,"sd","09:15:20",3100
20000,0,100,"bu","09:15:26",3200
20000,0,2500,"sd","09:15:48",5700
20050,50,1200,"bu","09:16:07",6900
19950,-50,1500,"sd","09:16:42",8400
19950,-50,700,"sd","09:16:45",9100
20000,0,3000,"sd","09:16:56",12100
20000,0,1000,"bu","09:17:34",13100
20000,0,1700,"bu","09:17:46",14800
20000,0,300,"bu","09:17:47",15100
20000,0,500,"sd","09:18:47",15600
20000,0,1500,"sd","09:19:00",17100
20050,50,1300,"bu","09:20:58",18400
20050,50,1000,"sd","09:21:51",19400
20000,0,1400,"sd","09:22:32",20800
20000,0,700,"bu","09:22:58",21500
20100,100,2000,"sd","09:23:29",23500
20100,100,300,"bu","09:23:54",23800
20100,100,1200,"sd","09:24:18",25000
20150,150,100,"sd","09:24:18",25100
20050,50,500,"sd","09:26:42",25600
20050,50,1700,"bu","09:27:06",27300
20050,50,1100,"sd","09:27:24",28400
20050,50,1200,"sd","09:28:39",29600
20100,100,2500,"bu","09:28:51",32100
20100,100,2200,"bu","09:29:15",34300
20000,0,1000,"sd","09:30:16",35300
20000,0,400,"bu","09:30:44",35700
19950,-50,1500,"sd","09:31:46",37200
19950,-50,1500,"bu","09:32:31",38700
19950,-50,1100,"sd","09:32:37",39800
20000,0,1000,"bu","09:33:11",40800
20000,0,1400,"bu","09:33:27",42200
20050,50,2000,"bu","09:34:35",44200
20050,50,1800,"sd","09:34:58",46000
20100,100,1900,"bu","09:35:18",50000
20050,50,1200,"sd","09:35:39",51200
20050,50,1100,"sd","09:35:51",52300
20000,0,1400,"bu","09:35:52",53700
20000,0,2000,"sd","09:36:33",55700
20000,0,1100,"sd","09:37:01",56800
19950,-50,700,"sd","09:37:22",57500
20000,0,1600,"bu","09:38:02",59100
20000,0,800,"sd","09:39:47",59900
20000,0,1800,"bu","09:40:05",61700
20000,0,100,"sd","09:40:55",61800
20000,0,800,"bu","09:41:36",62600
20000,0,200,"bu","09:42:15",62800
20000,0,1200,"sd","09:43:03",64000
20000,0,1000,"bu","09:43:51",65000
20000,0,1700,"sd","09:46:03",66700
20050,50,2000,"sd","09:47:28",68700
20000,0,1000,"sd","09:50:22",69700
20000,0,1500,"bu","09:51:20",71200
19950,-50,1100,"sd","09:53:19",72300
19950,-50,2500,"bu","09:54:33",74800
19950,-50,800,"bu","09:55:19",75600
19950,-50,1200,"sd","09:56:32",76800
19950,-50,1000,"sd","09:57:21",77800
19950,-50,200,"sd","09:58:37",78000
19950,-50,1900,"sd","09:58:55",79900
19950,-50,600,"bu","09:59:02",80500
19950,-50,2000,"bu","10:00:17",82500
19950,-50,1000,"sd","10:01:45",83500
19950,-50,1400,"bu","10:03:01",84900
19950,-50,600,"bu","10:03:22",85500
19950,-50,2500,"sd","10:03:33",88000
19900,-100,2500,"sd","10:06:12",90500
19900,-100,400,"bu","10:06:26",90900
19950,-50,2000,"bu","10:06:40",92900
19900,-100,800,"sd","10:07:14",93700
19900,-100,2400,"bu","10:07:30",96100
19950,-50,700,"bu","10:08:01",96800
19950,-50,2500,"bu","10:09:56",99300
19950,-50,1000,"bu","10:11:17",100300
19900,-100,800,"sd","10:12:23",101100
19950,-50,1400,"bu","10:13:57",102500
19950,-50,100,"bu","10:16:22",102600
19950,-50,2200,"sd","10:17:01",104800
19950,-50,4000,"sd","10:18:12",108800
19950,-50,1300,"bu","10:18:39",110100
19950,-50,400,"bu","10:18:48",110500
19900,-100,600,"sd","10:20:52",111100
19950,-50,2800,"bu","10:23:03",113900
19950,-50,2000,"bu","10:23:29",115900
19950,-50,1400,"bu","10:23:45",117300
19950,-50,3600,"bu","10:24:09",120900
19950,-50,400,"bu","10:24:24",121300
19950,-50,1400,"bu","10:25:41",122700
19900,-100,500,"bu","10:30:12",123200
19950,-50,300,"bu","10:30:54",123500
19950,-50,3200,"bu","10:31:12",126700
19950,-50,400,"sd","10:31:23",127100
19950,-50,2100,"bu","10:31:55",129200
