"price","change","match_qtty","side","time","total_vol"
6600,0,50000,"bu","09:12:55",50000
6800,200,178000,"bu","09:15:45",228000
6800,200,10000,"bu","09:16:18",238000
6900,300,36000,"bu","09:16:25",274000
6900,300,1000,"bu","09:16:54",275000
6900,300,2000,"bu","09:17:07",277000
6800,200,15000,"sd","09:19:38",292000
6800,200,87000,"sd","09:20:03",379000
6800,200,10000,"bu","09:20:16",389000
6900,300,59000,"sd","09:21:52",448000
6900,300,2000,"bu","09:22:13",450000
7000,400,10000,"sd","09:24:19",460000
7000,400,39000,"bu","09:24:40",499000
7000,400,122000,"bu","09:27:27",621000
6900,300,119000,"bu","09:29:25",740000
6900,300,30000,"bu","09:30:57",770000
6900,300,101000,"bu","09:31:40",871000
6900,300,50000,"bu","09:31:59",921000
6900,300,50000,"bu","09:35:32",971000
6900,300,3000,"sd","09:40:05",974000
7100,500,385000,"sd","09:40:27",1359000
7100,500,10000,"sd","09:41:21",1369000
7100,500,5000,"sd","09:43:16",1374000
6900,300,100000,"bu","09:46:43",1474000
6900,300,50000,"sd","09:47:01",1524000
6900,300,20000,"bu","09:47:21",1544000
6900,300,30000,"bu","09:47:38",1574000
6900,300,15000,"sd","09:47:44",1589000
6900,300,100000,"bu","09:48:59",1689000
6900,300,85000,"bu","09:49:20",1774000
6900,300,50000,"bu","09:51:49",1824000
6900,300,10000,"sd","09:52:11",1834000
6900,300,3000,"sd","09:54:21",1837000
6900,300,5000,"sd","10:32:34",1842000
7100,500,500000,"bu","10:33:20",2342000
7000,400,1000,"sd","10:41:14",2343000
7000,400,5000,"sd","10:54:54",2348000
7000,400,2000,"bu","11:00:20",2350000
7000,400,2000,"bu","11:08:58",2352000
6900,300,2000,"bu","11:26:39",2354000
6900,300,15000,"sd","13:00:08",2369000
7100,500,283000,"sd","13:42:55",2652000
7100,500,3000,"sd","13:43:52",2655000
7100,500,14000,"sd","13:44:36",2669000
7200,600,910000,"sd","13:45:22",3579000
7200,600,50000,"bu","13:45:46",3629000
7200,600,8000,"bu","13:46:10",3637000
7200,600,32000,"sd","13:46:43",3669000
7200,600,52000,"bu","13:48:04",3721000
7200,600,1000,"bu","13:50:14",3722000
7200,600,7000,"sd","13:52:48",3729000
7200,600,1000,"sd","14:08:53",3730000
7200,600,2000,"sd","14:09:28",3732000
7200,600,76000,"sd","14:10:25",3808000
7200,600,24000,"bu","14:13:12",3832000
7100,500,1000,"bu","14:16:05",3833000
7200,600,77000,"sd","14:18:20",3910000
7200,600,23000,"bu","14:21:03",3933000
7200,600,2000,"bu","14:22:50",3935000
7200,600,75000,"bu","14:23:42",4010000
7200,600,5000,"bu","14:24:00",4015000
7200,600,20000,"sd","14:24:04",4035000
7200,600,120000,"bu","14:26:44",4155000
7200,600,160000,"sd","14:29:31",4315000
7200,600,155000,"bu","14:45:07",4470000
