"price","change","match_qtty","side","time","total_vol"
8500,0,8000,"bu","09:00:21",8000
8500,0,2000,"bu","09:00:22",10000
8500,0,1000,"bu","09:00:41",11000
8500,0,4000,"bu","09:00:59",15000
8500,0,3000,"sd","09:01:21",18000
8500,0,7000,"sd","09:01:31",25000
8500,0,300000,"bu","09:01:44",325000
8500,0,4000,"sd","09:02:00",329000
8500,0,2000,"sd","09:02:07",331000
8500,0,3000,"bu","09:02:33",334000
8500,0,5000,"sd","09:03:24",339000
8400,-100,6000,"sd","09:03:25",345000
8500,0,46000,"bu","09:04:10",391000
8500,0,6000,"sd","09:04:39",397000
8500,0,1000,"sd","09:05:17",398000
8500,0,10000,"sd","09:06:03",408000
8500,0,8000,"sd","09:07:15",416000
8500,0,17000,"bu","09:07:48",433000
8500,0,56000,"bu","09:08:14",489000
8500,0,5000,"bu","09:09:00",494000
8500,0,11000,"sd","09:09:53",505000
8500,0,24000,"bu","09:10:00",529000
8500,0,89000,"sd","09:10:13",618000
8500,0,10000,"sd","09:10:44",628000
8500,0,1000,"sd","09:10:59",629000
8500,0,3000,"bu","09:12:14",632000
8500,0,100000,"bu","09:12:45",732000
8500,0,10000,"sd","09:13:21",742000
8500,0,100000,"bu","09:13:53",842000
8500,0,10000,"bu","09:14:18",852000
8500,0,1000,"bu","09:14:42",853000
8500,0,1000,"bu","09:14:43",854000
8500,0,20000,"sd","09:14:46",874000
8500,0,10000,"bu","09:15:42",884000
8500,0,2000,"sd","09:16:56",886000
8500,0,110000,"bu","09:18:04",996000
8500,0,30000,"bu","09:18:35",1026000
8500,0,136000,"sd","09:18:40",1162000
8500,0,9000,"sd","09:18:55",1171000
8500,0,97000,"bu","09:19:22",1268000
8500,0,3000,"sd","09:20:09",1271000
8500,0,31000,"sd","09:20:29",1302000
8500,0,2000,"bu","09:20:35",1304000
8500,0,7000,"bu","09:20:56",1311000
8500,0,130000,"bu","09:21:37",1441000
8500,0,12000,"sd","09:21:42",1453000
8500,0,3000,"sd","09:21:56",1456000
8500,0,2000,"sd","09:22:40",1458000
8500,0,217000,"bu","09:22:55",1675000
8500,0,3000,"sd","09:23:04",1678000
8500,0,10000,"bu","09:23:27",1688000
8500,0,5000,"bu","09:23:37",1693000
8500,0,1000,"bu","09:23:53",1694000
8500,0,3000,"bu","09:24:22",1697000
8500,0,44000,"bu","09:24:38",1741000
8500,0,22000,"sd","09:25:12",1763000
8500,0,3000,"sd","09:26:56",1766000
8500,0,3000,"sd","09:27:30",1769000
8500,0,10000,"bu","09:27:31",1779000
8500,0,1000,"bu","09:27:58",1780000
8500,0,1000,"bu","09:28:38",1781000
8500,0,15000,"sd","09:28:59",1796000
8500,0,1000,"sd","09:30:19",1797000
8500,0,3000,"bu","09:30:29",1800000
8500,0,10000,"bu","09:31:33",1810000
8500,0,4000,"sd","09:32:41",1814000
8500,0,1000,"bu","09:34:19",1815000
8600,100,1000,"sd","09:34:47",1816000
8600,100,1000,"bu","09:35:16",1817000
8500,0,1000,"sd","09:35:54",1818000
8500,0,34000,"bu","09:37:46",1852000
8500,0,4000,"bu","09:37:58",1856000
8500,0,20000,"bu","09:38:10",1876000
8500,0,1000,"sd","09:38:12",1877000
8600,100,1000,"sd","09:38:14",1878000
8500,0,15000,"bu","09:39:05",1893000
8500,0,9000,"sd","09:39:08",1902000
8500,0,40000,"bu","09:39:21",1942000
8500,0,10000,"sd","09:39:51",1952000
8500,0,4000,"bu","09:39:58",1956000
8500,0,6000,"bu","09:40:16",1962000
8500,0,1000,"sd","09:40:34",1963000
8500,0,4000,"sd","09:40:45",1967000
8600,100,1000,"bu","09:40:53",1968000
8500,0,1000,"bu","09:42:19",1969000
8500,0,7000,"sd","09:42:24",1976000
8500,0,1000,"sd","09:42:41",1977000
8500,0,1000,"bu","09:43:08",1978000
8500,0,54000,"sd","09:44:10",2032000
8600,100,1000,"bu","09:44:21",2033000
8500,0,17000,"bu","09:44:22",2050000
8500,0,29000,"sd","09:44:42",2079000
8500,0,15000,"bu","09:45:18",2094000
8500,0,3000,"bu","09:45:43",2097000
8500,0,1000,"sd","09:46:05",2098000
8500,0,34000,"sd","09:46:12",2132000
8500,0,5000,"bu","09:47:14",2137000
8500,0,69000,"bu","09:47:19",2206000
8500,0,40000,"bu","09:47:30",2246000
8500,0,3000,"bu","09:47:33",2249000
8500,0,3000,"bu","09:48:00",2252000
8500,0,3000,"sd","09:49:53",2255000
8500,0,20000,"bu","09:52:45",2275000
8500,0,30000,"bu","09:53:04",2305000
8500,0,15000,"bu","09:53:05",2320000
8500,0,49000,"sd","09:53:21",2369000
8500,0,13000,"sd","09:54:41",2382000
8400,-100,100000,"bu","09:56:41",2482000
8500,0,1000,"bu","09:57:02",2483000
8500,0,2000,"bu","09:59:14",2485000
8500,0,39000,"sd","10:00:21",2524000
8500,0,83000,"sd","10:02:01",2607000
8500,0,22000,"sd","10:02:08",2629000
8500,0,13000,"sd","10:03:46",2642000
8500,0,3000,"bu","10:04:30",2645000
8500,0,100000,"bu","10:05:33",2745000
8500,0,3000,"sd","10:06:47",2748000
8500,0,50000,"bu","10:07:02",2798000
8500,0,2000,"bu","10:07:41",2800000
8500,0,5000,"sd","10:07:49",2805000
8500,0,15000,"bu","10:08:15",2820000
8400,-100,8000,"bu","10:10:00",2828000
8500,0,1000,"sd","10:10:46",2829000
8500,0,10000,"bu","10:11:24",2839000
8500,0,50000,"bu","10:12:29",2889000
8400,-100,1000,"bu","10:14:58",2890000
8500,0,20000,"sd","10:16:12",2910000
8500,0,2000,"sd","10:16:46",2912000
8500,0,1000,"bu","10:16:53",2913000
8500,0,10000,"sd","10:20:29",2923000
8500,0,20000,"bu","10:29:14",2943000
8500,0,15000,"sd","10:33:59",2958000
8500,0,100000,"sd","10:34:10",3058000
8500,0,10000,"sd","10:34:24",3068000
8400,-100,22000,"sd","10:34:41",3090000
8400,-100,6000,"sd","10:35:52",3096000
8400,-100,3000,"sd","10:37:24",3099000
8500,0,1000,"bu","10:40:41",3100000
8500,0,5000,"sd","10:48:16",3105000
8500,0,3000,"bu","10:51:00",3108000
8400,-100,25000,"bu","10:57:25",3133000
8400,-100,90000,"bu","10:57:48",3223000
8400,-100,1000,"sd","10:57:54",3224000
8400,-100,3000,"sd","10:58:29",3227000
8500,0,110000,"sd","10:58:44",3337000
8400,-100,60000,"sd","10:59:05",3397000
8400,-100,10000,"sd","11:02:27",3407000
8400,-100,1000,"bu","11:14:33",3408000
8400,-100,7000,"bu","11:20:00",3415000
8500,0,4000,"sd","11:21:05",3419000
8400,-100,30000,"bu","11:24:39",3449000
8500,0,1000,"sd","11:24:57",3450000
8500,0,3000,"sd","13:00:10",3453000
8500,0,9000,"bu","13:00:11",3462000
8500,0,10000,"sd","13:04:34",3472000
8500,0,70000,"sd","13:09:18",3542000
8500,0,24000,"sd","13:10:44",3566000
8500,0,100000,"sd","13:11:13",3666000
8500,0,20000,"sd","13:12:02",3686000
8500,0,50000,"bu","13:12:18",3736000
8500,0,1000,"sd","13:12:30",3737000
8500,0,30000,"bu","13:12:38",3767000
8500,0,3000,"sd","13:12:50",3770000
8500,0,100000,"sd","13:12:59",3870000
8500,0,1000,"bu","13:13:17",3871000
8500,0,30000,"sd","13:13:35",3901000
8500,0,1000,"bu","13:17:24",3902000
8400,-100,12000,"sd","13:17:32",3914000
8400,-100,15000,"bu","13:17:39",3929000
8400,-100,1000,"bu","13:19:19",3930000
8400,-100,100000,"sd","13:21:18",4030000
8400,-100,15000,"sd","13:22:25",4045000
8500,0,42000,"sd","13:22:40",4087000
8500,0,10000,"sd","13:26:14",4097000
8400,-100,75000,"bu","13:28:06",4172000
8400,-100,20000,"bu","13:29:41",4192000
8400,-100,4000,"bu","13:34:57",4196000
8400,-100,25000,"bu","13:35:09",4221000
8500,0,1000,"sd","13:35:39",4222000
8500,0,10000,"bu","13:36:51",4232000
8500,0,10000,"sd","13:37:10",4242000
8500,0,3000,"bu","13:37:54",4245000
8500,0,69000,"bu","13:38:43",4314000
8500,0,7000,"bu","13:39:55",4321000
8400,-100,2000,"bu","13:40:06",4323000
8400,-100,100000,"sd","13:40:54",4423000
8400,-100,50000,"bu","13:41:42",4473000
8500,0,1000,"bu","13:41:52",4474000
8400,-100,4000,"sd","13:42:34",4478000
8400,-100,5000,"bu","13:43:20",4483000
8400,-100,23000,"bu","13:44:30",4506000
8400,-100,7000,"sd","13:45:01",4513000
8400,-100,8000,"bu","13:45:38",4521000
8400,-100,11000,"sd","13:46:17",4532000
8400,-100,1000,"sd","13:48:50",4533000
8500,0,2000,"sd","13:52:33",4535000
8400,-100,9000,"bu","13:55:53",4544000
8500,0,8000,"sd","13:57:42",4552000
8500,0,1000,"sd","13:57:52",4553000
8500,0,10000,"bu","13:58:36",4563000
8500,0,1000,"sd","14:03:44",4564000
8500,0,2000,"bu","14:04:08",4566000
8400,-100,9000,"sd","14:12:46",4575000
8400,-100,3000,"sd","14:13:35",4578000
8400,-100,110000,"bu","14:13:46",4688000
8400,-100,30000,"bu","14:13:55",4718000
8500,0,6000,"sd","14:17:25",4724000
8500,0,1000,"sd","14:18:15",4725000
8500,0,5000,"sd","14:18:28",4730000
8500,0,10000,"bu","14:20:31",4740000
8400,-100,11000,"sd","14:25:18",4751000
8400,-100,11000,"sd","14:26:26",4762000
8400,-100,33000,"sd","14:26:35",4795000
8500,0,10000,"sd","14:26:38",4805000
8500,0,10000,"sd","14:27:00",4815000
8500,0,5000,"sd","14:30:01",4820000
8500,0,10000,"sd","14:31:41",4830000
8500,0,10000,"sd","14:32:08",4840000
8500,0,1000,"bu","14:32:26",4841000
8400,-100,15000,"bu","14:34:56",4856000
8400,-100,2000,"bu","14:36:11",4858000
8400,-100,5000,"sd","14:37:33",4863000
8400,-100,15000,"sd","14:38:19",4878000
8400,-100,4000,"sd","14:44:38",4882000
8400,-100,15000,"sd","14:45:17",4897000
8500,0,1000,"sd","14:46:01",4898000
8500,0,1000,"bu","14:46:05",4899000
8400,-100,28000,"sd","14:49:57",4927000
8500,0,50000,"bu","14:50:36",4977000
8500,0,15000,"bu","14:51:44",4992000
8500,0,29000,"sd","14:51:46",5021000
8400,-100,65000,"sd","14:52:00",5086000
8500,0,1000,"bu","14:52:39",5087000
8500,0,10000,"sd","14:52:54",5097000
8500,0,100000,"bu","14:57:46",5197000
8400,-100,1000,"bu","14:57:47",5198000
8500,0,10000,"sd","14:58:26",5208000
8500,0,2000,"sd","14:58:46",5210000
8500,0,3000,"sd","14:59:02",5213000
8500,0,30000,"sd","14:59:05",5243000
8500,0,10000,"bu","14:59:08",5253000
8400,-100,7000,"sd","14:59:14",5260000
8500,0,3000,"sd","14:59:16",5263000
8500,0,10000,"bu","14:59:25",5273000
8500,0,1000,"bu","14:59:34",5274000
8400,-100,2000,"bu","14:59:59",5276000
