"price","change","match_qtty","side","time","total_vol"
36800,0,100,"bu","09:20:59",100
36800,0,1100,"sd","09:24:39",1200
36800,0,2100,"sd","09:30:53",3300
36800,0,400,"bu","09:33:44",3700
36800,0,1300,"sd","09:38:42",5000
36800,0,200,"bu","09:39:46",5200
36900,100,500,"sd","09:43:46",5700
36900,100,500,"sd","09:48:22",6200
36900,100,200,"sd","09:49:31",6400
36900,100,1000,"sd","09:54:03",7400
36900,100,1100,"bu","10:03:28",8500
36900,100,400,"bu","10:03:42",8900
36850,50,200,"sd","10:04:10",9100
36900,100,500,"bu","10:04:56",9600
36900,100,400,"bu","10:06:12",10000
36900,100,100,"bu","10:08:10",10100
37000,200,8500,"sd","10:09:45",18600
37000,200,1000,"sd","10:09:47",19600
37100,300,4000,"sd","10:11:09",23600
37100,300,100,"sd","10:11:10",23700
37200,400,6000,"bu","10:11:21",29700
37200,400,900,"sd","10:12:28",30600
37000,200,900,"bu","10:29:32",31500
36950,150,100,"sd","10:34:37",31600
36950,150,900,"bu","10:34:43",32500
36950,150,400,"sd","10:37:44",32900
36850,50,700,"bu","10:43:44",33600
36800,0,1000,"sd","10:45:03",34600
36800,0,300,"bu","10:45:48",34900
36800,0,200,"sd","10:53:34",35100
36800,0,800,"bu","11:00:04",35900
36950,150,100,"bu","11:18:35",36000
36850,50,2100,"bu","13:30:10",38100
36850,50,1000,"bu","13:31:24",39100
36850,50,200,"bu","13:34:25",39300
36850,50,100,"bu","13:36:33",39400
36950,150,700,"sd","13:41:29",40100
36950,150,500,"sd","13:50:15",40600
37000,200,100,"bu","13:54:46",40700
37000,200,1700,"sd","14:03:40",42400
37000,200,200,"sd","14:04:14",42600
37000,200,4200,"sd","14:05:07",46800
36950,150,200,"sd","14:13:41",47000
37000,200,5000,"bu","14:14:55",52000
37000,200,4700,"bu","14:15:20",56700
37050,250,5400,"sd","14:19:46",62100
37000,200,300,"sd","14:20:04",62400
37050,250,3000,"bu","14:25:03",65400
37050,250,3500,"bu","14:25:28",68900
37050,250,2100,"bu","14:27:02",71000
37050,250,200,"bu","14:27:15",71200
37000,200,2000,"sd","14:27:44",73200
37000,200,1000,"sd","14:28:43",74200
37000,200,100,"bu","14:29:04",74300
36850,50,4000,"sd","14:45:14",78300
