"price","change","match_qtty","side","time","total_vol"
93000,400,1000,"sd","09:26:46",1000
92700,100,1000,"sd","09:35:28",2000
92700,100,3000,"bu","09:58:45",5000
92800,200,1000,"sd","10:03:10",6000
92800,200,1000,"bu","10:06:08",7000
92800,200,1000,"sd","10:11:20",8000
92800,200,1000,"bu","10:32:00",9000
92900,300,5000,"sd","10:36:17",14000
92900,300,1000,"sd","10:45:22",15000
92900,300,2000,"sd","10:48:35",17000
92800,200,2000,"sd","10:50:31",19000
92800,200,1000,"bu","10:52:42",20000
92800,200,1000,"bu","11:07:20",21000
92800,200,7000,"sd","11:17:18",28000
93000,400,30000,"sd","11:17:40",58000
93000,400,20000,"bu","11:18:18",78000
93000,400,3000,"bu","11:21:32",81000
93000,400,3000,"sd","13:00:04",84000
93000,400,4000,"bu","13:00:08",88000
93000,400,1000,"sd","13:01:08",89000
93100,500,10000,"bu","13:02:23",99000
93100,500,4000,"bu","13:08:28",103000
93100,500,1000,"sd","13:09:32",104000
93100,500,1000,"sd","13:17:07",105000
93100,500,1000,"sd","13:17:16",106000
93100,500,5000,"bu","13:19:14",111000
93100,500,2000,"sd","13:20:31",113000
93100,500,3000,"sd","13:21:35",116000
93100,500,1000,"sd","13:26:34",117000
93200,600,2000,"sd","13:28:34",119000
93200,600,3000,"sd","13:31:26",122000
93200,600,23000,"sd","13:45:53",145000
93000,400,2000,"bu","13:50:41",147000
93000,400,1000,"sd","13:51:05",148000
93000,400,1000,"sd","13:51:21",149000
93000,400,6000,"bu","13:53:55",155000
93000,400,1000,"bu","13:58:12",156000
93200,600,5000,"bu","14:05:09",161000
93000,400,9000,"sd","14:06:04",170000
93000,400,2000,"bu","14:06:18",172000
93000,400,2000,"sd","14:08:20",174000
93200,600,1000,"bu","14:10:39",175000
93000,400,4000,"sd","14:15:39",179000
93000,400,1000,"bu","14:20:57",180000
93000,400,9000,"sd","14:21:15",189000
93000,400,1000,"sd","14:21:19",190000
93100,500,10000,"sd","14:25:17",200000
93000,400,8000,"bu","14:26:19",208000
93000,400,10000,"sd","14:29:56",218000
93100,500,3000,"bu","14:30:18",221000
93100,500,1000,"sd","14:46:48",222000
93000,400,7000,"bu","14:55:26",229000
93000,400,2000,"bu","14:56:05",231000
