"price","change","match_qtty","side","time","total_vol"
7700,-100,66000,"bu","09:12:53",66000
7600,-200,52000,"sd","09:14:28",118000
7500,-300,35000,"bu","09:14:50",153000
7500,-300,50000,"sd","09:14:51",203000
7500,-300,10000,"sd","09:16:05",213000
7500,-300,30000,"bu","09:16:34",243000
7500,-300,10000,"sd","09:16:49",253000
7500,-300,10000,"bu","09:17:09",263000
7500,-300,7000,"bu","09:17:42",270000
7800,0,1000,"bu","09:26:49",271000
7800,0,5000,"sd","09:53:24",276000
7800,0,1000,"bu","09:57:11",277000
7800,0,1000,"sd","10:18:05",278000
7700,-100,4000,"bu","10:19:07",282000
7700,-100,2000,"sd","10:37:27",284000
7700,-100,2000,"sd","10:39:58",286000
7800,0,2000,"bu","10:55:41",288000
7800,0,20000,"bu","13:40:17",308000
7800,0,30000,"sd","13:41:31",338000
7800,0,30000,"bu","13:45:42",368000
7800,0,18000,"bu","13:49:13",386000
