"price","change","match_qtty","side","time","total_vol"
22700,0,48000,"sd","09:15:07",48000
22700,0,100,"sd","09:15:12",48100
22650,-50,1300,"sd","09:16:15",49400
22650,-50,300,"bu","09:16:23",49700
22650,-50,200,"sd","09:16:26",49900
22650,-50,100,"sd","09:16:32",50000
22650,-50,1000,"sd","09:16:37",51000
22650,-50,200,"bu","09:16:46",51200
22650,-50,500,"bu","09:16:48",51700
22650,-50,300,"bu","09:16:53",52000
22650,-50,4500,"bu","09:17:04",56500
22650,-50,100,"bu","09:17:05",56600
22650,-50,200,"bu","09:17:11",56800
22650,-50,1000,"bu","09:17:11",57800
22650,-50,1300,"bu","09:17:13",59100
22650,-50,1700,"sd","09:17:18",60800
22700,0,2000,"bu","09:17:21",62800
22700,0,500,"bu","09:17:58",63300
22650,-50,200,"bu","09:17:59",63500
22650,-50,300,"bu","09:18:14",63800
22650,-50,3000,"bu","09:18:18",66800
22700,0,500,"bu","09:18:23",67300
22700,0,100,"bu","09:18:30",67400
22650,-50,1100,"bu","09:18:40",68500
22700,0,600,"sd","09:18:44",69100
22650,-50,10000,"sd","09:18:48",79100
22700,0,300,"bu","09:19:08",79400
22700,0,700,"sd","09:19:30",80100
22650,-50,1800,"bu","09:19:34",81900
22650,-50,200,"sd","09:19:35",82100
22650,-50,10300,"bu","09:20:06",92400
22650,-50,500,"sd","09:20:15",92900
22650,-50,3000,"sd","09:20:23",95900
22650,-50,200,"sd","09:20:26",96100
22650,-50,2000,"sd","09:20:32",98100
22650,-50,100,"bu","09:20:33",98200
22650,-50,600,"sd","09:20:39",98800
22650,-50,300,"bu","09:20:41",99100
22650,-50,1000,"bu","09:20:43",100100
22650,-50,100,"sd","09:20:50",100200
22650,-50,800,"sd","09:20:54",101000
22650,-50,1000,"bu","09:20:59",102000
22700,0,100,"bu","09:21:26",102100
22700,0,500,"bu","09:21:32",102600
22650,-50,600,"sd","09:21:40",103200
22650,-50,7000,"sd","09:22:00",110200
22650,-50,600,"bu","09:22:07",110800
22650,-50,1000,"bu","09:22:10",111800
22650,-50,400,"bu","09:22:15",112200
22700,0,500,"sd","09:22:20",112700
22700,0,600,"sd","09:22:41",113300
22650,-50,1800,"bu","09:22:50",115100
22700,0,1000,"sd","09:22:52",116100
22700,0,600,"sd","09:23:06",116700
22700,0,5000,"sd","09:23:17",121700
22650,-50,1000,"bu","09:23:33",122700
22650,-50,300,"sd","09:23:35",123000
22650,-50,1000,"sd","09:23:46",124000
22650,-50,100,"sd","09:23:47",124100
22650,-50,1000,"bu","09:23:58",125100
22650,-50,200,"bu","09:23:59",125300
22650,-50,100,"bu","09:24:07",125400
22650,-50,1100,"sd","09:24:16",126500
22700,0,2600,"sd","09:24:23",129100
22650,-50,5000,"bu","09:24:37",134100
22700,0,100,"sd","09:24:49",134200
22650,-50,1000,"bu","09:24:50",135200
22650,-50,300,"bu","09:24:55",135500
22650,-50,600,"sd","09:25:02",136100
22650,-50,1000,"bu","09:25:21",137100
22650,-50,200,"bu","09:25:22",137300
22650,-50,2300,"bu","09:25:26",139600
22650,-50,500,"sd","09:25:43",140100
22650,-50,5000,"sd","09:25:44",145100
22650,-50,2000,"bu","09:25:45",147100
22650,-50,300,"sd","09:25:55",147400
22650,-50,400,"bu","09:26:07",147800
22650,-50,300,"bu","09:26:15",148100
22650,-50,300,"sd","09:26:16",148400
22650,-50,1500,"bu","09:26:23",149900
22650,-50,20000,"sd","09:26:28",169900
22650,-50,2000,"bu","09:26:30",171900
22650,-50,600,"bu","09:26:31",172500
22650,-50,200,"bu","09:26:34",172700
22650,-50,300,"sd","09:26:36",173000
22650,-50,2000,"bu","09:26:38",175000
22650,-50,1600,"sd","09:26:40",180000
22650,-50,500,"sd","09:26:48",180500
22650,-50,10000,"sd","09:26:51",190500
22650,-50,500,"bu","09:26:52",191000
22650,-50,7100,"sd","09:26:56",198100
22650,-50,900,"sd","09:26:59",199000
22600,-100,400,"bu","09:27:14",199400
22600,-100,100,"sd","09:27:29",199500
22600,-100,1000,"bu","09:27:31",200500
22600,-100,300,"bu","09:27:36",200800
22600,-100,500,"bu","09:27:44",201300
22600,-100,100,"sd","09:27:52",201400
22600,-100,500,"sd","09:27:58",201900
22600,-100,600,"sd","09:28:08",202500
22600,-100,2000,"sd","09:28:13",204500
22600,-100,1500,"bu","09:28:23",206000
22600,-100,1500,"bu","09:28:26",207500
22650,-50,1100,"bu","09:28:39",208600
22600,-100,800,"bu","09:28:51",210500
22600,-100,400,"bu","09:28:56",210900
22600,-100,1000,"bu","09:29:24",211900
22600,-100,4900,"bu","09:29:25",216800
22600,-100,600,"sd","09:29:27",217400
22600,-100,200,"sd","09:29:33",217600
22600,-100,2000,"sd","09:29:34",219600
22600,-100,18000,"sd","09:29:39",237600
22650,-50,900,"bu","09:29:43",238500
22600,-100,300,"sd","09:29:44",240300
22600,-100,200,"bu","09:29:46",240500
22650,-50,7100,"bu","09:29:59",247600
22600,-100,200,"sd","09:30:01",248600
22650,-50,1100,"bu","09:30:13",249700
22600,-100,5000,"bu","09:30:16",254700
22600,-100,300,"bu","09:30:17",255000
22600,-100,3600,"sd","09:30:18",258600
22600,-100,200,"bu","09:30:27",258800
22600,-100,1000,"bu","09:30:35",259800
22600,-100,5000,"bu","09:30:46",264800
22600,-100,5500,"bu","09:30:49",270300
22600,-100,1400,"sd","09:30:52",271700
22600,-100,1000,"sd","09:30:54",272700
22600,-100,100,"bu","09:31:02",272800
22600,-100,53300,"bu","09:31:08",326100
22650,-50,8000,"sd","09:31:09",354600
22600,-100,600,"sd","09:31:16",355200
22650,-50,2000,"bu","09:31:21",357200
22650,-50,18200,"bu","09:31:25",375400
22550,-150,200,"bu","09:31:31",386400
22600,-100,100,"bu","09:31:33",386500
22550,-150,300,"bu","09:31:37",386800
22600,-100,500,"bu","09:31:44",387300
22600,-100,700,"sd","09:31:46",388000
22600,-100,1800,"sd","09:31:50",389800
22600,-100,1000,"bu","09:31:53",390800
22600,-100,300,"bu","09:31:56",391100
22600,-100,1000,"sd","09:32:00",392100
22600,-100,500,"bu","09:32:21",392600
22600,-100,2000,"bu","09:32:50",394600
22650,-50,100,"sd","09:32:52",394700
22600,-100,300,"sd","09:32:58",395000
22650,-50,2200,"bu","09:33:03",397200
22650,-50,500,"bu","09:33:30",397700
