"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1382",7890,63600,2115200,"14:45:00",7600,"unknown",290,3.8,"U","LeTable"
"hose:1382",7930,100,2051600,"14:29:59",7600,"sd",330,4.3,"U","LeTable"
"hose:1382",7930,2000,2051500,"14:29:53",7600,"bu",330,4.3,"U","LeTable"
"hose:1382",7930,200,2049500,"14:29:53",7600,"bu",330,4.3,"U","LeTable"
"hose:1382",7920,1000,2049300,"14:29:53",7600,"bu",320,4.2,"U","LeTable"
"hose:1382",7920,3000,2048300,"14:29:53",7600,"bu",320,4.2,"U","LeTable"
"hose:1382",7920,200,2045300,"14:29:53",7600,"bu",320,4.2,"U","LeTable"
"hose:1382",7910,100,2045100,"14:29:53",7600,"bu",310,4.1,"U","LeTable"
"hose:1382",7910,100,2045000,"14:29:53",7600,"bu",310,4.1,"U","LeTable"
"hose:1382",7900,5900,2044900,"14:29:45",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,5000,2039000,"14:29:45",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,1000,2034000,"14:29:45",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,2700,2033000,"14:29:45",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,100,2030300,"14:28:55",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,100,2030200,"14:28:23",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,300,2030100,"14:28:10",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7890,200,2029800,"14:27:57",7600,"sd",290,3.8,"U","LeTable"
"hose:1382",7890,100,2029600,"14:27:54",7600,"sd",290,3.8,"U","LeTable"
"hose:1382",7890,100,2029500,"14:27:47",7600,"sd",290,3.8,"U","LeTable"
"hose:1382",7900,200,2029400,"14:27:24",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,1200,2029200,"14:26:52",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7910,400,2028000,"14:26:52",7600,"sd",310,4.1,"U","LeTable"
"hose:1382",7910,200,2027600,"14:26:31",7600,"bu",310,4.1,"U","LeTable"
"hose:1382",7910,2700,2027400,"14:26:31",7600,"bu",310,4.1,"U","LeTable"
"hose:1382",7900,1500,2024700,"14:26:30",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7900,300,2023200,"14:26:30",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7900,5000,2022900,"14:26:30",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7900,1000,2017900,"14:26:30",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7900,2200,2016900,"14:26:30",7600,"sd",300,3.9,"U","LeTable"
"hose:1382",7910,200,2014700,"14:26:08",7600,"bu",310,4.1,"U","LeTable"
"hose:1382",7900,2800,2014500,"14:26:03",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7890,200,2011700,"14:26:00",7600,"sd",290,3.8,"U","LeTable"
"hose:1382",7900,1000,2011500,"14:25:48",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,1200,2010500,"14:25:44",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,2200,2009300,"14:25:44",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,2000,2007100,"14:25:41",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,100,2005100,"14:25:38",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,300,2005000,"14:25:21",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,3600,2004700,"14:25:17",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,9300,2001100,"14:25:09",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,100,1991800,"14:25:09",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,500,1991700,"14:25:09",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,100,1991200,"14:25:09",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,200,1991100,"14:25:04",7600,"bu",300,3.9,"U","LeTable"
"hose:1382",7900,1800,1990900,"14:25:04",7600,"bu",300,3.9,"U","LeTable"
