"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:3004",15600,48900,3110300,"14:45:01",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,5000,3061400,"14:29:52",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,7000,3056400,"14:29:42",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,1900,3049400,"14:29:38",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,500,3047500,"14:29:29",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15700,2000,3047000,"14:29:03",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15600,1900,3045000,"14:28:37",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,5800,3043100,"14:28:36",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15700,1200,3037300,"14:28:35",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,15700,3036100,"14:27:59",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,10000,3020400,"14:27:56",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,5000,3010400,"14:27:53",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,2000,3005400,"14:27:51",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,15000,3003400,"14:27:42",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,500,2988400,"14:27:20",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,5000,2987900,"14:26:45",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,100,2982900,"14:26:38",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1000,2982800,"14:26:01",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15800,100,2981800,"14:26:00",16100,"bu",-300,-1.9,"D","LeTable"
"hnx:3004",15800,1000,2981700,"14:25:53",16100,"bu",-300,-1.9,"D","LeTable"
"hnx:3004",15700,100,2980700,"14:25:30",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,4200,2980600,"14:25:29",16100,"sd",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1200,2976400,"14:25:24",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,10000,2975200,"14:25:20",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,18700,2965200,"14:25:17",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,300,2946500,"14:25:09",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,3400,2946200,"14:25:03",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,500,2942800,"14:25:01",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,600,2942300,"14:24:57",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,2900,2941700,"14:24:52",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1000,2938800,"14:24:51",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,300,2937800,"14:24:42",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1600,2937500,"14:24:41",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1000,2935900,"14:24:33",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,16300,2934900,"14:24:32",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,3700,2918600,"14:24:30",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,300,2914900,"14:24:28",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,400,2914600,"14:24:27",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,5000,2914200,"14:24:22",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,25000,2909200,"14:24:18",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,500,2884200,"14:24:16",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,100,2883700,"14:24:15",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1000,2883600,"14:24:13",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,300,2882600,"14:24:07",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,1300,2882300,"14:24:03",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,100,2881000,"14:22:54",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15700,100,2880900,"14:22:49",16100,"bu",-400,-2.5,"D","LeTable"
"hnx:3004",15600,200,2880800,"14:22:14",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,3700,2880600,"14:22:05",16100,"sd",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2876900,"14:22:04",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,500,2874900,"14:22:03",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,3000,2874400,"14:22:01",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2871400,"14:21:59",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,3000,2869400,"14:21:57",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2866400,"14:21:53",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,1000,2864400,"14:21:48",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,1000,2863400,"14:21:46",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15500,1000,2862400,"14:21:29",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15600,100,2861400,"14:21:28",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,5000,2861300,"14:21:27",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,100,2856300,"14:21:15",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,400,2856200,"14:21:13",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,5000,2855800,"14:21:10",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15500,400,2850800,"14:21:09",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15600,1000,2850400,"14:21:03",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,10000,2849400,"14:21:01",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2839400,"14:21:00",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,100,2837400,"14:20:32",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,600,2837300,"14:20:18",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,100,2836700,"14:20:13",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,1500,2836600,"14:19:48",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2700,2835100,"14:19:47",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,100,2832400,"14:19:23",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,500,2832300,"14:19:17",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,1000,2831800,"14:18:41",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,100,2830800,"14:18:40",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2830700,"14:18:33",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,3000,2828700,"14:18:11",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,10000,2825700,"14:18:08",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,500,2815700,"14:17:48",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,2000,2815200,"14:17:24",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15600,700,2813200,"14:16:59",16100,"bu",-500,-3.1,"D","LeTable"
"hnx:3004",15500,5000,2812500,"14:15:25",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15500,200,2807500,"14:15:00",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15500,100,2807300,"14:14:19",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15500,5000,2807200,"14:13:46",16100,"sd",-600,-3.7,"D","LeTable"
"hnx:3004",15500,400,2802200,"14:13:35",16100,"sd",-600,-3.7,"D","LeTable"
