"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:74661",300,10000,2517600,"14:59:20",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,49700,2507600,"14:57:58",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1800,2457900,"14:57:36",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,13000,2456100,"14:55:36",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,300,2443100,"14:43:40",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,400,2442800,"14:42:39",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,12300,2442400,"14:34:48",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,200,2430100,"14:30:13",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,2429900,"14:29:39",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,10000,2429800,"14:29:10",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,900,2419800,"14:24:18",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,2418900,"14:23:48",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,800,2417900,"14:22:14",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,4000,2417100,"14:20:39",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,2413100,"14:19:10",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,2413000,"14:18:46",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,300,2412900,"14:18:11",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,300,2412600,"14:17:52",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,10300,2412300,"14:16:58",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,600,2402000,"14:13:36",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,400,2401400,"14:13:26",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,4000,2401000,"14:07:47",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1700,2397000,"14:07:00",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500,2395300,"14:05:18",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,5000,2394800,"14:05:10",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,17000,2389800,"14:04:36",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,2372800,"14:02:32",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,16800,2372700,"14:01:33",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,6700,2355900,"14:01:21",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,2000,2349200,"14:00:48",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,4000,2347200,"14:00:04",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,50000,2343200,"13:58:02",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,2000,2293200,"13:56:43",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100000,2291200,"13:55:38",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,5000,2191200,"13:54:52",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500000,2186200,"13:54:36",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,5600,1686200,"13:52:34",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1680600,"13:52:18",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,2100,1679600,"13:49:37",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1677500,"13:47:42",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,400,1676500,"13:43:25",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,13300,1676100,"13:43:06",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,20000,1662800,"13:42:56",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,13300,1642800,"13:38:23",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,400000,1629500,"13:35:22",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,400,1229500,"13:34:40",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,1229100,"13:34:05",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,8700,1229000,"13:30:06",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,8000,1220300,"13:25:34",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1212300,"13:20:20",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,1211300,"13:14:09",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,3300,1211200,"13:13:19",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,200,1207900,"13:10:20",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,700,1207700,"13:10:07",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,4000,1207000,"13:08:19",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1203000,"13:05:50",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500,1202000,"13:03:27",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,15000,1201500,"13:00:08",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,10100,1186500,"13:00:04",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,8400,1176400,"13:00:01",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500,1168000,"11:26:18",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,1167500,"11:22:14",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,13900,1167400,"11:10:09",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,2500,1153500,"11:09:50",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,6600,1151000,"10:56:45",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,1144400,"10:54:09",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,10400,1144300,"10:47:49",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500,1133900,"10:47:46",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,3000,1133400,"10:47:39",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,100,1130400,"10:47:25",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1200,1130300,"10:47:07",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,3000,1129100,"10:43:21",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,500,1126100,"10:42:41",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1125600,"10:42:27",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,1000,1124600,"10:42:07",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,3000,1123600,"10:41:43",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,5000,1120600,"10:41:01",400,"bu",-100,-25,"F","LeTable"
"upcom:74661",300,300,1115600,"10:40:17",400,"bu",-100,-25,"F","LeTable"
