"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1899",3040,251300,4520900,"14:45:00",3030,"bu",10,0.3,"U","LeTable"
"hose:1899",3030,500,4269600,"14:29:55",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,1600,4269100,"14:29:43",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,2000,4267500,"14:29:36",3030,"sd",0,0,"R","LeTable"
"hose:1899",3040,1200,4265500,"14:29:15",3030,"bu",10,0.3,"U","LeTable"
"hose:1899",3040,800,4264300,"14:29:15",3030,"bu",10,0.3,"U","LeTable"
"hose:1899",3030,2000,4263500,"14:28:58",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,200,4261500,"14:28:55",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,100,4261300,"14:28:51",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,300,4261200,"14:28:51",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,4700,4260900,"14:28:32",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,100,4256200,"14:28:31",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,100,4256100,"14:28:26",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,400,4256000,"14:28:26",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,1000,4255600,"14:28:26",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,100,4254600,"14:28:26",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,600,4254500,"14:28:19",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,1000,4253900,"14:28:18",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,400,4252900,"14:27:49",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,4600,4252500,"14:27:49",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,1000,4247900,"14:27:44",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,1000,4246900,"14:27:43",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,3400,4245900,"14:27:43",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,200,4242500,"14:27:38",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,500,4242300,"14:27:36",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,900,4241800,"14:27:36",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,9100,4240900,"14:27:29",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,900,4231800,"14:27:25",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,700,4230900,"14:27:25",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,800,4230200,"14:27:21",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,2200,4229400,"14:27:21",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,7800,4227200,"14:27:14",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,500,4219400,"14:27:09",3030,"bu",0,0,"R","LeTable"
"hose:1899",3030,200,4218900,"14:26:47",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,1000,4218700,"14:26:47",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,500,4217700,"14:26:47",3030,"sd",0,0,"R","LeTable"
"hose:1899",3030,500,4217200,"14:26:21",3030,"bu",0,0,"R","LeTable"
