"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:60",5530,1200,107600,"14:45:00",5540,"bu",-10,-0.2,"D","LeTable"
"hose:60",5530,200,106400,"14:26:57",5540,"bu",-10,-0.2,"D","LeTable"
"hose:60",5520,1400,106200,"14:16:53",5540,"sd",-20,-0.4,"D","LeTable"
"hose:60",5530,100,104800,"14:13:51",5540,"bu",-10,-0.2,"D","LeTable"
"hose:60",5530,500,104700,"14:13:37",5540,"sd",-10,-0.2,"D","LeTable"
"hose:60",5530,800,104200,"14:13:37",5540,"sd",-10,-0.2,"D","LeTable"
"hose:60",5540,2600,103400,"14:09:24",5540,"bu",0,0,"R","LeTable"
"hose:60",5540,100,100800,"14:08:51",5540,"sd",0,0,"R","LeTable"
"hose:60",5540,6400,100700,"14:08:15",5540,"bu",0,0,"R","LeTable"
"hose:60",5540,500,94300,"14:07:39",5540,"sd",0,0,"R","LeTable"
"hose:60",5540,200,93800,"14:07:39",5540,"sd",0,0,"R","LeTable"
"hose:60",5540,500,93600,"14:05:58",5540,"sd",0,0,"R","LeTable"
"hose:60",5550,500,93100,"13:56:22",5540,"bu",10,0.2,"U","LeTable"
"hose:60",5540,100,92600,"13:56:08",5540,"sd",0,0,"R","LeTable"
"hose:60",5550,1600,92500,"13:56:07",5540,"bu",10,0.2,"U","LeTable"
"hose:60",5550,500,90900,"13:37:30",5540,"sd",10,0.2,"U","LeTable"
"hose:60",5550,800,90400,"13:37:30",5540,"sd",10,0.2,"U","LeTable"
"hose:60",5560,1000,89600,"13:37:00",5540,"sd",20,0.4,"U","LeTable"
"hose:60",5560,100,88600,"13:37:00",5540,"sd",20,0.4,"U","LeTable"
"hose:60",5570,600,88500,"13:36:50",5540,"sd",30,0.5,"U","LeTable"
"hose:60",5580,2000,87900,"13:35:32",5540,"bu",40,0.7,"U","LeTable"
"hose:60",5570,1400,85900,"13:35:15",5540,"bu",30,0.5,"U","LeTable"
"hose:60",5570,1200,84500,"13:35:11",5540,"bu",30,0.5,"U","LeTable"
"hose:60",5570,800,83300,"13:35:07",5540,"bu",30,0.5,"U","LeTable"
"hose:60",5570,1300,82500,"13:34:59",5540,"bu",30,0.5,"U","LeTable"
"hose:60",5570,1100,81200,"13:34:03",5540,"bu",30,0.5,"U","LeTable"
"hose:60",5560,1900,80100,"13:33:53",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,1300,78200,"13:33:47",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,1500,76900,"13:33:36",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,400,75400,"13:32:44",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,800,75000,"13:32:44",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,1400,74200,"13:32:35",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,700,72800,"13:28:50",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,100,72100,"13:25:12",5540,"bu",20,0.4,"U","LeTable"
"hose:60",5560,1100,72000,"13:25:12",5540,"bu",20,0.4,"U","LeTable"
