"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:921",9100,7500,229500,"14:45:01",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,7500,229500,"14:45:00",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,400,222000,"14:29:46",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,200,221600,"14:29:39",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,300,221400,"14:29:30",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,3000,221100,"14:29:23",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,100,218100,"14:28:44",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,500,218000,"14:28:23",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,1200,217500,"14:26:45",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9000,1500,216300,"14:19:01",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,100,214800,"14:19:00",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,1000,214700,"14:18:53",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,2000,213700,"14:18:52",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,300,211700,"14:18:47",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,2000,211400,"14:18:42",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,1000,209400,"14:18:38",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,200,208400,"14:18:30",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,100,208200,"14:18:26",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,100,208100,"14:18:18",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,500,208000,"14:18:13",9200,"bu",-200,-2.2,"D","LeTable"
"hnx:921",9000,21200,207500,"14:17:58",9200,"sd",-200,-2.2,"D","LeTable"
"hnx:921",9200,1000,186300,"14:17:57",9200,"bu",0,0,"R","LeTable"
"hnx:921",9200,100,185300,"14:10:58",9200,"bu",0,0,"R","LeTable"
"hnx:921",9100,900,185200,"14:09:32",9200,"sd",-100,-1.1,"D","LeTable"
"hnx:921",9100,4100,184300,"14:08:19",9200,"unknown",-100,-1.1,"D","LeTable"
"hnx:921",9100,500,180200,"14:02:11",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,100,179700,"14:01:58",9200,"bu",-100,-1.1,"D","LeTable"
"hnx:921",9100,5000,179600,"14:01:40",9200,"bu",-100,-1.1,"D","LeTable"
