"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1366",31000,609700,5240900,"14:45:00",31500,"sd",-500,-1.6,"D","LeTable"
"hose:1366",31250,100,4631200,"14:29:59",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31200,3500,4631100,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,1000,4627600,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,1000,4626600,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,3000,4625600,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,100,4622600,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,2000,4622500,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,1000,4620500,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,200,4619500,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,1000,4619300,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,2500,4618300,"14:29:51",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31250,3200,4615800,"14:29:51",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31200,500,4612600,"14:29:41",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,100,4612100,"14:29:41",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,100,4612000,"14:29:41",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,300,4611900,"14:29:41",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31250,3000,4611600,"14:29:39",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31250,3900,4608600,"14:29:38",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31250,1500,4604700,"14:29:36",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31250,2000,4603200,"14:29:32",31500,"bu",-250,-0.8,"D","LeTable"
"hose:1366",31200,200,4601200,"14:29:31",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,100,4601000,"14:29:31",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31200,500,4600900,"14:29:31",31500,"sd",-300,-1,"D","LeTable"
"hose:1366",31250,2200,4600400,"14:29:31",31500,"sd",-250,-0.8,"D","LeTable"
"hose:1366",31250,100,4598200,"14:29:27",31500,"sd",-250,-0.8,"D","LeTable"
"hose:1366",31300,1000,4598100,"14:29:26",31500,"bu",-200,-0.6,"D","LeTable"
"hose:1366",31250,100,4597100,"14:29:21",31500,"sd",-250,-0.8,"D","LeTable"
