"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:14036",2700,1400,49700,"14:59:32",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,200,48300,"14:58:22",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,3600,48100,"14:54:29",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,6300,44500,"14:53:42",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,200,38200,"14:45:23",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,1000,38000,"14:28:24",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,800,37000,"14:19:44",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,2000,36200,"14:08:16",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,500,34200,"14:03:10",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,33700,"14:01:41",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,33600,"13:58:40",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,33500,"13:54:29",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,2000,33400,"13:50:33",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,500,31400,"13:48:24",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2600,400,30900,"13:29:38",2700,"sd",-100,-3.7,"D","LeTable"
"upcom:14036",2700,100,30500,"13:24:19",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,30400,"13:15:07",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,2000,30300,"13:10:04",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,28300,"11:28:35",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,4600,28200,"11:27:10",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,400,23600,"10:54:04",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,100,23200,"10:52:50",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,900,23100,"10:50:55",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,1000,22200,"10:50:28",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,200,21200,"10:49:27",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,2900,21000,"10:43:53",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,18100,"10:42:36",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2600,2300,18000,"10:25:03",2700,"sd",-100,-3.7,"D","LeTable"
"upcom:14036",2600,600,15700,"10:24:59",2700,"sd",-100,-3.7,"D","LeTable"
"upcom:14036",2700,200,15100,"10:20:29",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,200,14900,"10:12:42",2700,"unknown",0,0,"R","LeTable"
"upcom:14036",2700,100,14700,"10:08:21",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,900,14600,"10:06:36",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,3000,13700,"10:06:05",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,700,10700,"10:05:48",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,400,10000,"09:49:27",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,200,9600,"09:34:38",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,500,9400,"09:32:25",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,500,8900,"09:32:14",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,8400,"09:32:09",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,100,8300,"09:30:04",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,3900,8200,"09:27:05",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,300,4300,"09:26:52",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,1000,4000,"09:22:42",2700,"sd",0,0,"R","LeTable"
"upcom:14036",2700,1000,3000,"09:10:20",2700,"bu",0,0,"R","LeTable"
"upcom:14036",2700,2000,2000,"09:08:36",2700,"sd",0,0,"R","LeTable"
