"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:79981",6900,200,176100,"14:45:01",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6800,69600,175900,"14:25:11",7000,"unknown",-200,-2.9,"D","LeTable"
"hnx:79981",6800,5300,106300,"14:09:43",7000,"sd",-200,-2.9,"D","LeTable"
"hnx:79981",6900,100,101000,"14:00:41",7000,"unknown",-100,-1.4,"D","LeTable"
"hnx:79981",6800,400,100900,"13:58:12",7000,"sd",-200,-2.9,"D","LeTable"
"hnx:79981",6900,2600,100500,"13:57:16",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1000,97900,"13:55:58",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1500,96900,"13:55:42",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,6000,95400,"13:53:53",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1000,89400,"13:53:08",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1000,88400,"13:50:58",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,5000,87400,"13:45:57",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,900,82400,"13:44:24",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1100,81500,"13:40:01",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,3900,80400,"13:36:45",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,100,76500,"13:33:10",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,5000,76400,"13:31:07",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,3500,71400,"13:27:47",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1500,67900,"13:19:58",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,3500,66400,"13:18:14",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,600,62900,"13:15:47",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,5900,62300,"13:15:07",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,100,56400,"13:13:16",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6800,100,56300,"13:10:37",7000,"sd",-200,-2.9,"D","LeTable"
"hnx:79981",6900,200,56200,"13:06:46",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,4800,56000,"13:05:16",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,10000,51200,"13:05:03",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,400,41200,"13:03:34",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,18000,40800,"13:02:29",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,700,22800,"11:05:33",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,100,22100,"11:04:51",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,2000,22000,"10:56:04",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,1800,20000,"10:55:07",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,100,18200,"10:50:13",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,200,18100,"10:39:18",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,700,17900,"10:28:53",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,100,17200,"10:26:22",7000,"bu",-100,-1.4,"D","LeTable"
"hnx:79981",6900,13000,17100,"10:21:42",7000,"unknown",-100,-1.4,"D","LeTable"
"hnx:79981",6900,3800,4100,"10:15:09",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",6900,200,300,"10:10:23",7000,"sd",-100,-1.4,"D","LeTable"
"hnx:79981",7000,100,100,"09:00:14",7000,"bu",0,0,"R","LeTable"
