"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:74",38150,14100,133300,"14:45:02",38200,"sd",-50,-0.1,"D","LeTable"
"hose:74",38350,500,119200,"14:29:59",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38350,200,118700,"14:29:59",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38350,1000,118500,"14:29:17",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38450,1800,117500,"14:25:40",38200,"bu",250,0.7,"U","LeTable"
"hose:74",38450,100,115700,"14:24:10",38200,"bu",250,0.7,"U","LeTable"
"hose:74",38350,1100,115600,"14:24:00",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38350,300,114500,"14:23:50",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38350,700,114200,"14:23:50",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38450,900,113500,"14:22:58",38200,"bu",250,0.7,"U","LeTable"
"hose:74",38500,1000,112600,"14:21:20",38200,"unknown",300,0.8,"U","LeTable"
"hose:74",38500,100,111600,"14:21:03",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,100,111500,"14:21:03",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,1300,111400,"14:21:03",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38450,500,110100,"14:21:03",38200,"bu",250,0.7,"U","LeTable"
"hose:74",38400,200,109600,"14:21:03",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,100,109400,"14:21:03",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,200,109300,"14:21:03",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38350,1000,109100,"14:19:57",38200,"sd",150,0.4,"U","LeTable"
"hose:74",38400,100,108100,"14:18:59",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,1000,108000,"14:17:41",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38500,700,107000,"14:16:50",38200,"sd",300,0.8,"U","LeTable"
"hose:74",38500,5000,106300,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,1000,101300,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,1000,100300,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,1000,99300,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,300,98300,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,500,98000,"14:16:18",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38400,400,97500,"14:16:18",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,100,97100,"14:16:18",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38300,100,97000,"14:16:18",38200,"sd",100,0.3,"U","LeTable"
"hose:74",38400,1000,96900,"14:15:14",38200,"sd",200,0.5,"U","LeTable"
"hose:74",38400,2300,95900,"14:15:14",38200,"sd",200,0.5,"U","LeTable"
"hose:74",38400,900,93600,"14:12:56",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,100,92700,"14:12:56",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38400,100,92600,"14:12:56",38200,"bu",200,0.5,"U","LeTable"
"hose:74",38250,200,92500,"14:10:05",38200,"sd",50,0.1,"U","LeTable"
"hose:74",38200,100,92300,"13:57:15",38200,"sd",0,0,"R","LeTable"
"hose:74",38200,100,92200,"13:52:58",38200,"sd",0,0,"R","LeTable"
"hose:74",38100,100,92100,"13:44:49",38200,"sd",-100,-0.3,"D","LeTable"
"hose:74",38500,1000,92000,"13:44:11",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,900,91000,"13:43:13",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,500,90100,"13:43:13",38200,"bu",300,0.8,"U","LeTable"
"hose:74",38500,100,89600,"13:41:48",38200,"sd",300,0.8,"U","LeTable"
