"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:4639",11200,500,146000,"14:45:02",10850,"bu",350,3.2,"U","LeTable"
"hose:4639",11200,100,145500,"14:29:06",10850,"bu",350,3.2,"U","LeTable"
"hose:4639",11050,5300,145400,"14:28:57",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,20000,140100,"14:28:44",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,10000,120100,"14:28:37",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,14700,110100,"14:28:28",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,5300,95400,"14:28:28",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,6800,90100,"14:27:46",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11050,2800,83300,"14:27:26",10850,"sd",200,1.8,"U","LeTable"
"hose:4639",11100,100,80500,"14:27:26",10850,"sd",250,2.3,"U","LeTable"
"hose:4639",11050,2200,80400,"14:27:06",10850,"bu",200,1.8,"U","LeTable"
"hose:4639",11000,3000,78200,"14:26:43",10850,"bu",150,1.4,"U","LeTable"
"hose:4639",11000,2100,75200,"14:26:43",10850,"bu",150,1.4,"U","LeTable"
"hose:4639",10950,600,73100,"14:26:33",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10950,3900,72500,"14:26:33",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10900,2400,68600,"14:26:21",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10850,400,66200,"14:25:17",10850,"bu",0,0,"R","LeTable"
"hose:4639",10800,1000,65800,"14:11:59",10850,"sd",-50,-0.5,"D","LeTable"
"hose:4639",10800,500,64800,"14:04:01",10850,"sd",-50,-0.5,"D","LeTable"
"hose:4639",10800,100,64300,"13:49:28",10850,"sd",-50,-0.5,"D","LeTable"
"hose:4639",10800,500,64200,"13:45:38",10850,"sd",-50,-0.5,"D","LeTable"
"hose:4639",10800,200,63700,"13:38:09",10850,"sd",-50,-0.5,"D","LeTable"
"hose:4639",10850,1000,63500,"13:34:38",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,600,62500,"13:34:38",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,600,61900,"13:31:29",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,200,61300,"13:18:36",10850,"sd",0,0,"R","LeTable"
"hose:4639",10900,6000,61100,"13:15:43",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,10000,55100,"13:15:31",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,5800,45100,"13:15:23",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,8900,39300,"13:15:10",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,10000,30400,"13:14:53",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,6900,20400,"13:14:41",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10850,200,13500,"13:08:33",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,200,13300,"13:07:27",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,100,13100,"13:02:06",10850,"sd",0,0,"R","LeTable"
"hose:4639",10850,100,13000,"11:00:47",10850,"sd",0,0,"R","LeTable"
"hose:4639",10900,100,12900,"10:59:44",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10900,300,12800,"10:59:44",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10950,200,12500,"10:40:36",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10900,100,12300,"10:38:33",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10900,800,12200,"10:03:11",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10950,600,11400,"09:59:32",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10950,300,10800,"09:43:21",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10950,700,10500,"09:43:21",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10900,900,9800,"09:40:13",10850,"sd",50,0.5,"U","LeTable"
"hose:4639",10950,1300,8900,"09:29:26",10850,"bu",100,0.9,"U","LeTable"
"hose:4639",10900,1900,7600,"09:29:14",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,700,5700,"09:29:00",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,1300,5000,"09:29:00",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,600,3700,"09:17:35",10850,"bu",50,0.5,"U","LeTable"
"hose:4639",10900,3100,3100,"09:15:01",10850,"bu",50,0.5,"U","LeTable"
