"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:288",10300,15500,476700,"14:45:04",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1800,461200,"14:29:29",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1100,459400,"14:29:29",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,100,458300,"14:29:26",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,2700,458200,"14:29:16",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,300,455500,"14:29:16",10350,"bu",0,0,"R","LeTable"
"hose:288",10300,500,455200,"14:28:38",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,3400,454700,"14:28:22",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,4300,451300,"14:28:22",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,300,447000,"14:28:08",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,446700,"14:27:38",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,2400,445700,"14:25:22",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1200,443300,"14:25:22",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,442100,"14:24:51",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,441100,"14:24:22",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,500,440100,"14:20:33",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,6300,439600,"14:19:11",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,433300,"14:19:11",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,2300,433200,"14:19:11",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,430900,"14:19:11",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1200,430800,"14:19:11",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1800,429600,"14:17:10",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,7000,427800,"14:15:47",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,2000,420800,"14:15:10",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,100,418800,"14:14:57",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,3300,418700,"14:14:38",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,100,415400,"14:14:12",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,500,415300,"14:14:00",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,100,414800,"14:13:40",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,4000,414700,"14:12:15",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,3300,410700,"14:12:07",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,2000,407400,"14:10:41",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,405400,"14:10:20",10350,"bu",-50,-0.5,"D","LeTable"
"hose:288",10300,100,404400,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,17900,404300,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,5000,386400,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,800,381400,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1300,380600,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,3300,379300,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,376000,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,375000,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,5000,374900,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,369900,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,369800,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,3000,368800,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,500,365800,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,365300,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,5000,365200,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,5000,360200,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,355200,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,200,355100,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,10000,354900,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1200,344900,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,2000,343700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,341700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,2000,340700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,338700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,5000,337700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1100,332700,"14:10:00",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,331600,"14:09:21",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,2000,331500,"14:09:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10300,100,329500,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,329400,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,800,329300,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,328500,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,327500,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,327400,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,2000,327300,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1800,325300,"14:08:48",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,400,323500,"14:07:44",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,600,323100,"14:07:44",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,400,322500,"14:06:58",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,500,322100,"14:06:58",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,321600,"14:06:38",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,900,321500,"14:04:20",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,600,320600,"14:04:20",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,320000,"14:04:20",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,300,319900,"14:04:20",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,319600,"14:04:20",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,319500,"14:04:19",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,100,319400,"14:04:19",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,1000,319300,"14:04:19",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,6800,318300,"14:04:19",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10300,700,311500,"14:02:25",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,500,310800,"14:02:19",10350,"bu",0,0,"R","LeTable"
"hose:288",10300,2000,310300,"14:02:17",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,1500,308300,"14:02:15",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,100,306800,"14:02:11",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,2100,306700,"14:01:14",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,200,304600,"14:00:26",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,2000,304400,"13:59:58",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,700,302400,"13:59:58",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,600,301700,"13:58:32",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,200,301100,"13:58:32",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,19200,300900,"13:58:32",10350,"bu",0,0,"R","LeTable"
"hose:288",10300,200,281700,"13:55:07",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,800,281500,"13:54:00",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,100,280700,"13:53:55",10350,"sd",0,0,"R","LeTable"
"hose:288",10400,100,280600,"13:50:45",10350,"bu",50,0.5,"U","LeTable"
"hose:288",10350,100,280500,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,4800,280400,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,100,275600,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,275500,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,3200,275000,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,1000,271800,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,100,270800,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,200,270700,"13:49:09",10350,"sd",0,0,"R","LeTable"
"hose:288",10400,100,270500,"13:46:30",10350,"bu",50,0.5,"U","LeTable"
"hose:288",10350,200,270400,"13:46:13",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,270200,"13:45:28",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,269700,"13:44:24",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,2000,269200,"13:44:24",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,100,267200,"13:44:24",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,267100,"13:44:24",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,266600,"13:44:20",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,266100,"13:44:20",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,265600,"13:44:20",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,1800,265100,"13:44:20",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,700,263300,"13:44:04",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,300,262600,"13:44:04",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,100,262300,"13:43:48",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,262200,"13:43:48",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,400,261700,"13:43:48",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,100,261300,"13:43:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,400,261200,"13:43:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10300,200,260800,"13:37:21",10350,"sd",-50,-0.5,"D","LeTable"
"hose:288",10350,100,260600,"13:29:19",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,260500,"13:29:05",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,260000,"13:28:53",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,259500,"13:28:45",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,259000,"13:28:39",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,258500,"13:28:29",10350,"sd",0,0,"R","LeTable"
"hose:288",10350,500,258000,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,257500,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,257000,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,256500,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,1000,256000,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,255000,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,254500,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,500,254000,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,300,253500,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,400,253200,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,2000,252800,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,200,250800,"13:28:08",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,100,250600,"13:27:10",10350,"bu",0,0,"R","LeTable"
"hose:288",10350,900,250500,"13:25:23",10350,"bu",0,0,"R","LeTable"
