"price","change","match_qtty","side","time","total_vol"
70.2,-1.7,7300,"","14:45:05",161800
71.6,-0.3,200,"sd","14:29:05",154500
71.8,-0.1,100,"bu","14:25:02",154300
71.8,-0.1,100,"bu","14:18:07",154200
71.9,0,3000,"bu","14:10:56",154100
71.8,-0.1,100,"bu","14:10:56",151100
71.8,-0.1,700,"sd","14:09:53",151000
71.8,-0.1,1100,"bu","14:09:27",150300
71.8,-0.1,100,"bu","14:08:24",149200
71.9,0,100,"bu","14:06:44",149100
71,-0.9,500,"bu","14:06:44",149000
70.9,-1,1100,"bu","14:06:44",148500
70.9,-1,100,"bu","14:05:22",147400
70,-1.9,1000,"sd","13:51:52",147300
69.9,-2,1600,"sd","13:47:56",146300
70,-1.9,1200,"sd","13:47:56",144700
69.8,-2.1,100,"bu","13:44:42",143500
69.8,-2.1,100,"bu","13:44:04",143400
69.6,-2.3,500,"bu","13:43:37",143300
69.5,-2.4,600,"bu","13:43:21",142800
69.5,-2.4,500,"bu","13:43:00",142200
69.5,-2.4,500,"bu","13:42:38",141700
69.5,-2.4,300,"bu","13:40:52",141200
69.5,-2.4,300,"bu","13:40:23",140900
69.5,-2.4,100,"bu","13:38:24",140600
69.5,-2.4,100,"sd","13:35:04",140500
69.6,-2.3,500,"bu","13:33:52",140400
69.5,-2.4,300,"bu","13:33:29",139900
69.5,-2.4,300,"bu","13:33:20",139600
69.5,-2.4,600,"bu","13:33:00",139300
69.5,-2.4,500,"bu","13:31:35",138700
69.5,-2.4,100,"bu","13:30:58",138200
69.5,-2.4,100,"bu","13:30:43",138100
69.5,-2.4,100,"bu","13:30:20",138000
69.5,-2.4,100,"bu","13:23:09",137900
69.5,-2.4,100,"bu","13:22:26",137800
69.5,-2.4,100,"bu","13:22:11",137700
69.5,-2.4,100,"bu","13:21:17",137600
69.5,-2.4,100,"bu","13:19:45",137500
69.5,-2.4,100,"bu","13:15:20",137400
69.5,-2.4,100,"bu","13:15:06",137300
69.5,-2.4,300,"bu","13:15:04",137200
68,-3.9,500,"sd","13:13:34",136900
69.8,-2.1,100,"bu","11:29:08",136400
67.9,-4,400,"sd","11:28:50",136300
68,-3.9,1800,"sd","11:28:50",135900
68.1,-3.8,4000,"sd","11:28:50",134100
68.2,-3.7,2200,"sd","11:28:50",130100
69,-2.9,1000,"sd","11:28:50",127900
69.1,-2.8,100,"sd","11:28:50",126900
69.2,-2.7,500,"sd","11:28:50",126800
69.8,-2.1,400,"sd","11:28:44",126300
69.8,-2.1,1600,"bu","11:27:02",125900
69.8,-2.1,100,"bu","11:26:32",124300
69.2,-2.7,100,"sd","11:25:21",124200
69.8,-2.1,100,"bu","11:14:29",124100
69,-2.9,200,"bu","11:14:08",124000
69,-2.9,400,"bu","11:14:04",123800
69,-2.9,100,"bu","11:13:26",123400
69,-2.9,500,"bu","11:13:17",123300
69,-2.9,200,"sd","11:12:14",122800
69,-2.9,400,"sd","11:11:53",122600
69,-2.9,100,"sd","11:11:50",122200
69,-2.9,1000,"sd","11:09:04",122100
69,-2.9,2200,"sd","11:08:34",121100
69.5,-2.4,100,"sd","11:08:22",118900
69.9,-2,100,"bu","11:07:37",118800
69.8,-2.1,200,"bu","11:07:37",118700
69.8,-2.1,300,"sd","11:07:21",118500
70,-1.9,600,"sd","11:06:46",118200
70.1,-1.8,400,"sd","11:06:45",117600
70.1,-1.8,400,"sd","11:05:58",117200
70.1,-1.8,200,"sd","11:05:02",116800
70.2,-1.7,100,"sd","11:03:55",116600
70.2,-1.7,1000,"sd","11:02:49",116500
70.5,-1.4,2000,"sd","11:01:21",115500
70.6,-1.3,100,"sd","11:00:55",113500
70.6,-1.3,100,"sd","10:59:00",113400
70.8,-1.1,400,"bu","10:49:08",113300
70.8,-1.1,700,"bu","10:48:54",112900
70.8,-1.1,700,"bu","10:48:47",112200
70.8,-1.1,2000,"bu","10:43:58",111500
70.8,-1.1,100,"bu","10:42:59",109500
70.8,-1.1,100,"bu","10:42:49",109400
70.8,-1.1,100,"bu","10:42:43",109300
70.8,-1.1,100,"bu","10:42:31",109200
70.8,-1.1,100,"bu","10:42:09",109100
70.8,-1.1,100,"bu","10:41:51",109000
70.8,-1.1,100,"bu","10:41:46",108900
70.8,-1.1,100,"bu","10:41:29",108800
70.8,-1.1,100,"bu","10:41:21",108700
70.8,-1.1,100,"bu","10:41:03",108600
70.8,-1.1,100,"bu","10:40:57",108500
70.8,-1.1,100,"bu","10:40:39",108400
71,-0.9,100,"bu","10:39:58",108300
71,-0.9,100,"bu","10:39:11",108200
71,-0.9,200,"sd","10:39:10",108100
71.3,-0.6,100,"bu","10:38:57",107900
71,-0.9,1200,"sd","10:38:52",107800
71,-0.9,1200,"sd","10:38:39",106600
71.1,-0.8,1800,"sd","10:38:39",105400
71.3,-0.6,100,"bu","10:38:25",103600
71.3,-0.6,100,"bu","10:38:01",103500
71.1,-0.8,200,"sd","10:37:11",103400
71.1,-0.8,1500,"sd","10:36:27",103200
71.2,-0.7,500,"sd","10:36:27",101700
71.3,-0.6,1100,"sd","10:36:11",101200
71.8,-0.1,4000,"bu","10:33:47",100100
71.5,-0.4,100,"bu","10:33:47",96100
71.5,-0.4,900,"sd","10:33:20",96000
71.8,-0.1,5000,"bu","10:33:10",95100
71.8,-0.1,4000,"bu","10:32:55",90100
71.8,-0.1,5000,"bu","10:32:15",86100
71.8,-0.1,4000,"bu","10:31:42",81100
71.8,-0.1,3000,"bu","10:31:12",77100
