"price","change","match_qtty","side","time","total_vol"
37,0,100,"","14:45:05",15500
37,0,100,"sd","14:24:33",15400
37,0,100,"sd","14:24:10",15300
37,0,100,"sd","14:22:38",15200
37,0,1800,"bu","14:21:36",15100
36.75,-0.25,700,"sd","13:36:08",13300
36.85,-0.15,200,"sd","13:15:09",12600
37,0,100,"bu","13:02:22",12400
37,0,100,"bu","13:00:59",12300
37,0,3100,"bu","11:25:53",12200
37,0,1900,"sd","11:21:58",9100
37,0,100,"bu","11:20:15",7200
37,0,2000,"bu","10:44:16",7100
36.9,-0.1,1000,"bu","10:13:02",5100
36.9,-0.1,500,"bu","09:58:05",4100
36.9,-0.1,100,"sd","09:54:14",3600
37,0,200,"bu","09:43:42",3500
37,0,800,"bu","09:36:27",3300
37,0,1100,"sd","09:30:36",2500
37,0,400,"sd","09:29:58",1400
37,0,500,"sd","09:28:18",1000
37,0,100,"bu","09:24:39",500
37.1,0.1,400,"","09:15:03",400
