"price","change","match_qtty","side","time","total_vol"
41.2,-0.15,46200,"","14:45:06",572400
41.25,-0.1,100,"bu","14:29:34",526200
41.2,-0.15,1400,"bu","14:29:34",526100
41.2,-0.15,600,"bu","14:29:19",524700
41,-0.35,6900,"sd","14:29:15",524100
41.1,-0.25,100,"sd","14:29:15",517200
41.2,-0.15,1000,"bu","14:29:03",517100
41.1,-0.25,100,"sd","14:28:57",516100
41.2,-0.15,1500,"bu","14:28:39",516000
41.2,-0.15,500,"bu","14:28:32",514500
41.2,-0.15,300,"bu","14:28:29",514000
41.2,-0.15,2500,"bu","14:28:09",513700
41.2,-0.15,500,"bu","14:27:59",511200
41.2,-0.15,200,"bu","14:27:45",510700
41.2,-0.15,2000,"bu","14:27:39",510500
41.2,-0.15,3000,"bu","14:27:30",508500
41.2,-0.15,2000,"bu","14:27:00",505500
41.2,-0.15,8400,"bu","14:26:51",503500
41.1,-0.25,1600,"bu","14:26:51",495100
41.2,-0.15,400,"bu","14:26:26",493500
41.2,-0.15,200,"bu","14:26:11",493100
40.95,-0.4,800,"sd","14:26:02",492900
41,-0.35,200,"bu","14:26:02",492100
41,-0.35,7800,"sd","14:25:27",491900
41.1,-0.25,200,"sd","14:25:27",484100
41.2,-0.15,300,"bu","14:25:11",483900
41.2,-0.15,500,"bu","14:24:47",483600
41.2,-0.15,300,"bu","14:24:35",483100
41.2,-0.15,100,"bu","14:24:29",482800
41.1,-0.25,1800,"bu","14:24:19",482700
41.1,-0.25,800,"bu","14:24:06",480900
41.1,-0.25,2000,"bu","14:23:58",480100
41.1,-0.25,1000,"bu","14:23:45",478100
41.1,-0.25,600,"bu","14:23:22",477100
41.1,-0.25,1000,"bu","14:23:09",476500
41.1,-0.25,300,"bu","14:23:06",475500
41.1,-0.25,500,"bu","14:23:03",475200
41.1,-0.25,1500,"bu","14:22:42",474700
41.1,-0.25,2000,"bu","14:22:19",473200
41.1,-0.25,300,"bu","14:22:11",471200
41.1,-0.25,200,"bu","14:22:09",470900
41.1,-0.25,5000,"bu","14:21:47",470700
41.1,-0.25,7500,"bu","14:21:35",465700
41.1,-0.25,500,"bu","14:20:55",458200
41.1,-0.25,400,"bu","14:17:17",457700
41.1,-0.25,300,"bu","14:16:58",457300
41.1,-0.25,200,"bu","14:16:37",457000
41.1,-0.25,100,"bu","14:15:54",456800
41,-0.35,200,"bu","14:15:44",456700
40.95,-0.4,2000,"sd","14:15:44",456500
41,-0.35,300,"bu","14:15:34",454500
41,-0.35,200,"bu","14:15:28",454200
41,-0.35,100,"bu","14:15:10",454000
40.95,-0.4,2000,"sd","14:15:02",453900
41,-0.35,2000,"bu","14:12:34",451900
41,-0.35,200,"bu","14:11:37",449900
40.95,-0.4,100,"sd","14:11:36",449700
41,-0.35,300,"bu","14:11:24",449600
40.95,-0.4,3000,"sd","14:11:04",449300
40.95,-0.4,600,"sd","14:10:32",446300
40.95,-0.4,300,"sd","14:10:28",445700
41,-0.35,400,"bu","14:09:45",445400
41,-0.35,600,"bu","14:09:29",445000
41,-0.35,1500,"bu","14:08:12",444400
41,-0.35,1000,"bu","14:07:26",442900
40.95,-0.4,1900,"sd","14:06:58",441900
41,-0.35,100,"sd","14:06:58",440000
41.1,-0.25,200,"bu","14:06:41",439900
41.1,-0.25,300,"bu","14:06:14",439700
41.1,-0.25,200,"bu","14:05:38",439400
41.1,-0.25,400,"bu","14:04:55",439200
41.1,-0.25,200,"bu","14:04:26",438800
41.1,-0.25,300,"bu","14:04:01",438600
41,-0.35,400,"bu","14:03:54",438300
41,-0.35,500,"bu","14:03:40",437900
41,-0.35,1500,"bu","14:03:13",437400
41,-0.35,1000,"bu","14:02:13",435900
41,-0.35,500,"bu","14:01:47",434900
41,-0.35,500,"bu","14:01:33",434400
41,-0.35,5000,"bu","14:01:14",433900
41,-0.35,500,"bu","14:00:58",428900
41,-0.35,100,"sd","14:00:57",428400
41,-0.35,100,"bu","14:00:50",428300
41,-0.35,100,"bu","13:59:58",428200
40.95,-0.4,900,"sd","13:59:40",428100
41,-0.35,400,"bu","13:58:59",427200
41,-0.35,100,"bu","13:50:43",426800
41,-0.35,600,"sd","13:49:06",426700
41.1,-0.25,1000,"bu","13:48:18",426100
41.1,-0.25,800,"bu","13:45:50",425100
41.1,-0.25,300,"bu","13:43:15",424300
41.1,-0.25,600,"bu","13:43:03",424000
41.1,-0.25,500,"bu","13:41:49",423400
41,-0.35,900,"sd","13:41:40",422900
41.1,-0.25,600,"bu","13:41:39",422000
41,-0.35,800,"sd","13:41:26",421400
41.1,-0.25,300,"bu","13:41:15",420600
41.1,-0.25,500,"bu","13:40:51",420300
41.1,-0.25,400,"bu","13:40:39",419800
41.1,-0.25,300,"bu","13:39:46",419400
41.1,-0.25,200,"bu","13:39:30",419100
41,-0.35,3000,"sd","13:39:11",418900
41.1,-0.25,400,"bu","13:38:38",415900
41.1,-0.25,300,"bu","13:38:17",415500
41.1,-0.25,200,"bu","13:35:30",415200
41.1,-0.25,600,"bu","13:34:19",415000
41.1,-0.25,1000,"bu","13:33:28",414400
41.1,-0.25,500,"bu","13:33:08",413400
41.1,-0.25,400,"bu","13:32:35",412900
41.1,-0.25,500,"bu","13:32:29",412500
41.1,-0.25,1000,"bu","13:32:12",412000
41.1,-0.25,1000,"bu","13:31:56",411000
41.1,-0.25,100,"bu","13:30:10",410000
41.1,-0.25,30000,"sd","13:23:19",409900
41.2,-0.15,500,"bu","13:19:11",379900
41.1,-0.25,700,"sd","13:18:40",379400
41.2,-0.15,1000,"bu","13:17:23",378700
41.2,-0.15,3300,"bu","13:14:47",377700
41.2,-0.15,100,"bu","13:14:38",374400
41.1,-0.25,1300,"bu","13:13:35",374300
41.1,-0.25,500,"bu","13:13:01",373000
41.1,-0.25,1000,"bu","13:12:53",372500
41.1,-0.25,3200,"bu","13:10:41",371500
41.1,-0.25,1000,"bu","13:10:22",368300
41.1,-0.25,600,"bu","13:10:11",367300
41.1,-0.25,1000,"bu","13:10:03",366700
41.1,-0.25,2000,"bu","13:09:19",365700
41.1,-0.25,800,"bu","13:09:11",363700
41.1,-0.25,800,"bu","13:09:01",362900
41.1,-0.25,600,"bu","13:08:41",362100
41.1,-0.25,1000,"bu","13:08:26",361500
41.1,-0.25,2000,"bu","13:06:56",360500
41,-0.35,1000,"sd","13:01:06",358500
41.25,-0.1,5000,"bu","11:29:41",357500
41.25,-0.1,2000,"bu","11:29:20",352500
41.25,-0.1,2000,"bu","11:29:01",350500
41.25,-0.1,5000,"bu","11:28:54",348500
41.25,-0.1,600,"bu","11:28:31",343500
41.25,-0.1,1500,"bu","11:28:24",342900
41.25,-0.1,1000,"bu","11:28:15",341400
41.25,-0.1,3000,"bu","11:28:00",340400
41.25,-0.1,1300,"bu","11:27:53",337400
41.25,-0.1,1700,"bu","11:27:52",336100
41.25,-0.1,500,"bu","11:27:40",334400
41.25,-0.1,1000,"bu","11:27:32",333900
41.25,-0.1,3000,"bu","11:27:25",332900
41.25,-0.1,5500,"bu","11:27:18",329900
41.25,-0.1,1000,"bu","11:26:57",324400
41.25,-0.1,3000,"bu","11:26:45",323400
41.25,-0.1,1000,"bu","11:26:37",320400
41.25,-0.1,4000,"bu","11:26:27",319400
41.25,-0.1,500,"bu","11:26:16",315400
41.25,-0.1,1000,"bu","11:26:08",314900
41.25,-0.1,3000,"bu","11:26:03",313900
41.25,-0.1,5000,"bu","11:25:55",310900
41.25,-0.1,1000,"bu","11:25:41",305900
41.25,-0.1,1000,"bu","11:25:23",304900
41.25,-0.1,1000,"bu","11:24:53",303900
41.25,-0.1,300,"bu","11:24:45",302900
41.25,-0.1,47300,"sd","11:24:37",302600
41.25,-0.1,2700,"bu","11:24:34",255300
41.25,-0.1,2000,"bu","11:24:15",252600
41.25,-0.1,2000,"bu","11:23:46",250600
41.25,-0.1,1000,"bu","11:23:23",248600
41.25,-0.1,1000,"bu","11:22:55",247600
41.25,-0.1,26800,"sd","11:22:30",246600
41.25,-0.1,3200,"bu","11:22:23",219800
41.25,-0.1,1000,"bu","11:18:17",216600
41.25,-0.1,400,"bu","11:18:02",215600
41.2,-0.15,2600,"bu","11:18:02",215200
41.2,-0.15,1000,"bu","11:17:51",212600
41.2,-0.15,2000,"bu","11:17:43",211600
41.2,-0.15,4800,"bu","11:17:35",209600
41,-0.35,200,"bu","11:17:35",204800
41,-0.35,100,"bu","11:15:20",204600
41,-0.35,100,"bu","11:13:48",204500
41,-0.35,1000,"bu","11:13:21",204400
41,-0.35,100,"bu","11:08:46",203400
40.95,-0.4,2000,"sd","11:07:53",203300
40.95,-0.4,500,"sd","11:07:06",201300
41,-0.35,100,"bu","11:05:06",200800
41,-0.35,400,"sd","11:04:32",200700
41,-0.35,1000,"sd","11:03:33",200300
41.25,-0.1,100,"bu","10:54:15",199300
40.95,-0.4,1300,"sd","10:51:56",199200
41,-0.35,2500,"sd","10:45:43",197900
41.1,-0.25,100,"bu","10:42:04",195400
41,-0.35,3000,"sd","10:41:15",195300
41.1,-0.25,600,"sd","10:40:55",192300
41.3,-0.05,400,"bu","10:39:09",191700
41.3,-0.05,2000,"bu","10:36:56",191300
41.3,-0.05,1000,"bu","10:35:20",189300
41.3,-0.05,2000,"bu","10:35:12",188300
41.35,0,1000,"bu","10:30:06",186300
41.1,-0.25,2000,"sd","10:29:39",185300
41.35,0,4100,"bu","10:26:07",183300
41.3,-0.05,900,"bu","10:26:07",179200
41.3,-0.05,100,"sd","10:23:41",178300
41.35,0,3000,"bu","10:23:36",178200
41.3,-0.05,600,"bu","10:23:21",175200
41.1,-0.25,1900,"sd","10:23:07",174600
41.3,-0.05,400,"sd","10:20:02",172700
41.3,-0.05,400,"sd","10:19:43",172300
41.35,0,1000,"bu","10:17:59",171900
41.35,0,3800,"bu","10:17:14",170900
41.35,0,3000,"bu","10:17:02",167100
41.3,-0.05,3700,"bu","10:16:51",164100
41.3,-0.05,2000,"bu","10:16:42",160400
41.3,-0.05,100,"bu","10:13:27",158400
41.25,-0.1,100,"sd","10:11:00",158300
41.25,-0.1,1200,"bu","10:09:05",158200
41.25,-0.1,3100,"bu","10:07:20",157000
41.2,-0.15,900,"bu","10:07:20",153900
41.25,-0.1,1700,"bu","10:05:51",153000
41.15,-0.2,1300,"bu","10:05:51",151300
41.15,-0.2,100,"sd","10:05:50",150000
41.2,-0.15,100,"sd","10:05:50",149900
41.2,-0.15,700,"bu","10:05:38",149800
41.2,-0.15,3000,"bu","10:05:18",149100
41.15,-0.2,200,"bu","10:05:00",146100
41,-0.35,800,"sd","10:03:41",145900
41.15,-0.2,100,"bu","10:02:33",145100
41,-0.35,2000,"sd","10:02:16",145000
41.15,-0.2,100,"bu","10:00:33",143000
41,-0.35,5000,"sd","09:59:59",142900
41.2,-0.15,2000,"bu","09:57:35",137900
41,-0.35,800,"bu","09:57:18",135900
41,-0.35,300,"bu","09:56:42",135100
41,-0.35,100,"bu","09:56:41",134800
41,-0.35,500,"bu","09:56:25",134700
41,-0.35,1000,"bu","09:55:27",134200
41,-0.35,100,"bu","09:55:19",133200
41,-0.35,500,"bu","09:55:15",133100
41,-0.35,200,"bu","09:53:59",132600
41,-0.35,100,"bu","09:52:40",132400
41,-0.35,13400,"sd","09:52:35",132300
41.05,-0.3,3000,"sd","09:52:35",118900
41.2,-0.15,14300,"sd","09:51:48",115900
41.25,-0.1,4300,"sd","09:51:29",101600
41.35,0,300,"sd","09:50:25",97300
41.35,0,200,"sd","09:49:17",97000
41.35,0,100,"sd","09:49:00",96800
41.35,0,100,"sd","09:48:22",96700
41.4,0.05,100,"bu","09:46:43",96600
41.35,0,1000,"sd","09:46:26",96500
41.4,0.05,100,"bu","09:45:52",95500
41.35,0,500,"sd","09:45:43",95400
41.4,0.05,200,"bu","09:38:51",94900
41.35,0,1000,"sd","09:38:29",94700
41.4,0.05,900,"bu","09:29:39",93700
41.4,0.05,400,"bu","09:29:25",92800
41.4,0.05,1900,"bu","09:27:26",92400
41.35,0,100,"bu","09:27:26",90500
41.35,0,400,"sd","09:26:50",90400
41.4,0.05,5000,"bu","09:26:36",90000
41.4,0.05,600,"bu","09:26:19",85000
41.4,0.05,7000,"bu","09:25:54",84400
41.4,0.05,3900,"bu","09:25:54",77400
41.35,0,100,"sd","09:25:49",73500
41.4,0.05,5000,"bu","09:25:45",73400
41.4,0.05,2000,"bu","09:25:24",68400
41.4,0.05,10000,"bu","09:24:07",66400
41.4,0.05,5500,"bu","09:23:13",56400
41.35,0,200,"sd","09:22:41",50900
41.35,0,100,"sd","09:22:30",50700
41.35,0,5600,"bu","09:21:42",50600
41.35,0,1000,"bu","09:21:40",45000
41.35,0,5900,"bu","09:21:32",44000
41.35,0,10000,"bu","09:20:26",38100
41.35,0,400,"bu","09:20:19",28100
41.35,0,6000,"bu","09:19:30",27700
41.35,0,3000,"bu","09:18:52",21700
41.35,0,10000,"bu","09:18:44",18700
41.35,0,200,"sd","09:16:56",8700
41.4,0.05,2000,"bu","09:16:51",8500
41.35,0,3200,"bu","09:16:37",6500
41.35,0,2800,"bu","09:15:58",3300
41.3,-0.05,200,"bu","09:15:58",500
41.25,-0.1,100,"sd","09:15:28",300
41.3,-0.05,200,"","09:15:03",200
