"price","change","match_qtty","side","time","total_vol"
11.45,-0.1,12400,"","14:45:05",70600
11.4,-0.15,100,"sd","14:28:39",58200
11.45,-0.1,2000,"bu","14:28:20",58100
11.45,-0.1,600,"bu","14:27:59",56100
11.45,-0.1,200,"bu","14:27:31",55500
11.4,-0.15,2200,"sd","14:27:10",55300
11.45,-0.1,500,"bu","14:26:38",53100
11.4,-0.15,2500,"sd","14:26:36",52600
11.45,-0.1,11400,"sd","14:26:02",50100
11.5,-0.05,2800,"sd","14:24:21",38700
11.5,-0.05,1200,"sd","14:24:08",35900
11.5,-0.05,3000,"sd","14:07:51",34700
11.5,-0.05,3000,"sd","14:06:52",31700
11.55,0,500,"sd","14:01:50",28700
11.55,0,500,"sd","13:57:53",28200
11.55,0,1800,"bu","13:55:42",27700
11.55,0,2000,"bu","13:52:41",25900
11.55,0,2000,"bu","13:51:56",23900
11.55,0,1500,"bu","13:49:13",21900
11.55,0,300,"bu","13:47:11",20400
11.55,0,100,"sd","13:33:04",20100
11.55,0,100,"bu","13:31:53",20000
11.55,0,900,"bu","13:27:01",19900
11.55,0,2000,"bu","13:24:26",19000
11.55,0,600,"sd","13:21:43",17000
11.55,0,400,"bu","13:14:38",16400
11.55,0,3000,"bu","13:13:49",16000
11.5,-0.05,2000,"sd","13:09:45",13000
11.6,0.05,1300,"bu","13:04:54",11000
11.6,0.05,100,"bu","13:04:53",9700
11.6,0.05,100,"bu","10:32:38",9600
11.5,-0.05,3000,"sd","10:31:52",9500
11.45,-0.1,200,"bu","10:20:44",6500
11.45,-0.1,1300,"sd","10:20:32",6300
11.45,-0.1,200,"sd","10:18:22",5000
11.45,-0.1,2600,"sd","10:17:55",4800
11.5,-0.05,100,"sd","10:17:34",2200
11.5,-0.05,1900,"sd","09:56:27",2100
11.55,0,100,"sd","09:55:02",200
11.65,0.1,100,"bu","09:49:17",100
