"price","change","match_qtty","side","time","total_vol"
19.8,-0.7,19400,"","14:45:07",1064800
19.8,-0.7,500,"bu","14:29:55",1045400
19.8,-0.7,1800,"bu","14:29:42",1044900
19.75,-0.75,500,"sd","14:29:16",1043100
19.75,-0.75,4000,"bu","14:29:07",1042600
19.75,-0.75,100,"bu","14:29:06",1038600
19.75,-0.75,3000,"bu","14:29:00",1038500
19.7,-0.8,2000,"sd","14:28:35",1035500
19.7,-0.8,4300,"bu","14:28:25",1033500
19.7,-0.8,300,"bu","14:28:12",1029200
19.65,-0.85,2200,"bu","14:28:05",1028900
19.65,-0.85,3800,"sd","14:27:51",1026700
19.7,-0.8,200,"sd","14:27:51",1022900
19.7,-0.8,4800,"bu","14:27:42",1022700
19.7,-0.8,1000,"bu","14:27:13",1017900
19.7,-0.8,200,"bu","14:27:09",1016900
19.7,-0.8,1400,"sd","14:26:53",1016700
19.75,-0.75,100,"bu","14:26:25",1015300
19.75,-0.75,500,"bu","14:25:18",1015200
19.75,-0.75,800,"bu","14:24:37",1014700
19.75,-0.75,800,"bu","14:24:21",1013900
19.75,-0.75,2500,"bu","14:24:10",1013100
19.75,-0.75,600,"bu","14:22:59",1010600
19.7,-0.8,300,"bu","14:22:11",1010000
19.7,-0.8,1200,"sd","14:21:50",1009700
19.7,-0.8,4000,"sd","14:21:41",1008500
19.7,-0.8,3200,"bu","14:21:22",1004500
19.7,-0.8,300,"bu","14:21:10",1001300
19.65,-0.85,2700,"bu","14:21:10",1001000
19.65,-0.85,7300,"sd","14:21:04",998300
19.65,-0.85,5500,"sd","14:20:58",991000
19.65,-0.85,9000,"sd","14:20:57",985500
19.7,-0.8,6600,"sd","14:20:39",976500
19.75,-0.75,100,"bu","14:20:20",969900
19.75,-0.75,100,"bu","14:19:46",969800
19.75,-0.75,800,"sd","14:19:19",969700
19.75,-0.75,100,"sd","14:18:43",968900
19.75,-0.75,2100,"bu","14:18:19",968800
19.75,-0.75,300,"bu","14:17:49",966700
19.75,-0.75,2700,"sd","14:17:46",966400
19.8,-0.7,200,"bu","14:17:33",963700
19.8,-0.7,400,"bu","14:16:59",963500
19.8,-0.7,3800,"sd","14:16:25",963100
19.8,-0.7,1500,"sd","14:16:22",959300
19.8,-0.7,4000,"sd","14:16:14",957800
19.8,-0.7,400,"sd","14:16:04",953800
19.85,-0.65,1000,"bu","14:15:32",953400
19.8,-0.7,1000,"sd","14:15:24",952400
19.9,-0.6,2800,"bu","14:14:52",951400
19.85,-0.65,2200,"bu","14:14:52",948600
19.85,-0.65,1900,"sd","14:14:51",946400
19.85,-0.65,100,"sd","14:13:38",944500
19.9,-0.6,200,"bu","14:13:28",944400
19.85,-0.65,400,"bu","14:12:54",944200
19.85,-0.65,5000,"bu","14:12:46",943800
19.85,-0.65,1500,"bu","14:12:15",938800
19.8,-0.7,6600,"bu","14:11:28",937300
19.75,-0.75,900,"bu","14:10:11",930700
19.75,-0.75,1000,"bu","14:10:08",929800
19.75,-0.75,500,"bu","14:10:02",928800
19.75,-0.75,400,"bu","14:09:51",928300
19.75,-0.75,100,"bu","14:09:07",927900
19.75,-0.75,3800,"sd","14:09:01",927800
19.8,-0.7,1800,"bu","14:07:57",924000
19.8,-0.7,200,"bu","14:07:34",922200
19.75,-0.75,200,"sd","14:07:30",922000
19.75,-0.75,3800,"bu","14:07:18",921800
19.75,-0.75,800,"bu","14:07:15",918000
19.75,-0.75,5500,"sd","14:06:42",917200
19.75,-0.75,1400,"bu","14:06:28",911700
19.75,-0.75,1000,"bu","14:06:17",910300
19.75,-0.75,2600,"bu","14:06:02",909300
19.75,-0.75,2800,"bu","14:06:01",906700
19.75,-0.75,400,"bu","14:05:35",903900
19.7,-0.8,1000,"bu","14:04:52",903500
19.7,-0.8,2800,"bu","14:04:47",902500
19.7,-0.8,2800,"bu","14:04:26",899700
19.7,-0.8,3300,"bu","14:04:06",896900
19.7,-0.8,700,"bu","14:03:47",893600
19.65,-0.85,3600,"bu","14:02:58",892900
19.65,-0.85,500,"bu","14:02:49",889300
19.6,-0.9,2500,"bu","14:02:23",888800
19.6,-0.9,100,"bu","14:02:21",886300
19.6,-0.9,2600,"sd","14:02:16",886200
19.6,-0.9,5400,"sd","14:02:08",883600
19.6,-0.9,6900,"bu","14:01:52",878200
19.6,-0.9,2000,"sd","14:01:32",871300
19.6,-0.9,3000,"bu","14:01:24",869300
19.6,-0.9,2000,"bu","14:01:18",866300
19.6,-0.9,1000,"bu","14:00:40",864300
19.6,-0.9,100,"bu","14:00:33",863300
19.6,-0.9,500,"bu","13:59:41",863200
19.6,-0.9,200,"bu","13:58:43",862700
19.6,-0.9,200,"bu","13:58:42",862500
19.6,-0.9,200,"bu","13:58:41",862300
19.6,-0.9,1900,"bu","13:58:19",862100
19.6,-0.9,500,"bu","13:57:51",860200
19.6,-0.9,1200,"bu","13:57:48",859700
19.6,-0.9,100,"bu","13:57:32",858500
19.6,-0.9,100,"bu","13:57:16",858400
19.6,-0.9,100,"sd","13:56:50",858300
19.6,-0.9,5000,"sd","13:56:41",858200
19.6,-0.9,3200,"sd","13:56:34",853200
19.65,-0.85,500,"bu","13:56:32",850000
19.65,-0.85,600,"sd","13:56:15",849500
19.65,-0.85,3800,"sd","13:56:15",848900
19.65,-0.85,2500,"sd","13:56:08",845100
19.7,-0.8,5000,"bu","13:56:01",842600
19.7,-0.8,2600,"sd","13:55:16",837600
19.7,-0.8,6500,"sd","13:55:12",835000
19.7,-0.8,5400,"sd","13:55:07",828500
19.75,-0.75,200,"sd","13:54:40",823100
19.75,-0.75,10000,"sd","13:54:33",822900
19.8,-0.7,1200,"sd","13:54:06",812900
19.85,-0.65,600,"bu","13:53:44",811700
19.8,-0.7,1300,"bu","13:53:08",811100
19.8,-0.7,5000,"bu","13:52:54",809800
19.8,-0.7,100,"bu","13:52:38",804800
19.8,-0.7,100,"bu","13:52:35",804700
19.8,-0.7,100,"bu","13:52:34",804600
19.8,-0.7,200,"sd","13:52:07",804500
19.85,-0.65,600,"bu","13:52:05",804300
19.85,-0.65,400,"bu","13:51:41",803700
19.8,-0.7,1300,"bu","13:51:41",803300
19.8,-0.7,500,"bu","13:51:33",802000
19.8,-0.7,1600,"sd","13:51:29",801500
19.8,-0.7,2700,"bu","13:51:11",799900
19.8,-0.7,2400,"bu","13:51:05",797200
19.8,-0.7,5000,"bu","13:51:02",794800
19.75,-0.75,16300,"bu","13:50:46",789800
19.75,-0.75,800,"bu","13:50:44",773500
19.75,-0.75,500,"bu","13:50:36",772700
19.75,-0.75,7900,"sd","13:50:25",772200
19.75,-0.75,2100,"bu","13:50:22",764300
19.7,-0.8,6700,"bu","13:50:10",762200
19.65,-0.85,2800,"bu","13:49:53",755500
19.65,-0.85,1000,"bu","13:49:46",752700
19.65,-0.85,200,"bu","13:49:44",751700
19.65,-0.85,400,"bu","13:49:36",751500
19.65,-0.85,2100,"sd","13:49:27",751100
19.65,-0.85,1100,"bu","13:48:48",749000
19.65,-0.85,1500,"bu","13:48:40",747900
19.65,-0.85,400,"bu","13:48:31",746400
19.65,-0.85,300,"bu","13:48:10",746000
19.65,-0.85,2500,"bu","13:47:40",745700
19.6,-0.9,3500,"bu","13:47:30",743200
19.6,-0.9,600,"bu","13:47:23",739700
19.6,-0.9,1700,"bu","13:47:16",739100
19.6,-0.9,1500,"bu","13:46:27",737400
19.6,-0.9,800,"bu","13:46:17",735900
19.55,-0.95,1500,"sd","13:46:11",735100
19.6,-0.9,2500,"bu","13:46:01",733600
19.6,-0.9,1800,"bu","13:45:50",731100
19.55,-0.95,2400,"bu","13:45:13",729300
19.55,-0.95,5800,"bu","13:45:10",726900
19.5,-1,14800,"bu","13:44:56",721100
19.45,-1.05,900,"bu","13:44:43",706300
19.45,-1.05,100,"bu","13:44:41",705400
19.45,-1.05,5000,"bu","13:44:37",705300
19.45,-1.05,100,"bu","13:44:31",700300
19.45,-1.05,5000,"bu","13:44:29",700200
19.45,-1.05,500,"bu","13:44:17",695200
19.4,-1.1,900,"sd","13:44:09",691800
19.45,-1.05,100,"bu","13:44:04",690900
19.45,-1.05,300,"bu","13:44:02",690800
19.45,-1.05,3000,"bu","13:44:01",690500
19.45,-1.05,100,"bu","13:43:51",687500
19.45,-1.05,1000,"bu","13:43:47",687400
19.45,-1.05,3400,"sd","13:43:40",686400
19.5,-1,100,"bu","13:43:04",683000
19.5,-1,300,"bu","13:43:02",682900
19.5,-1,900,"sd","13:42:59",682600
19.5,-1,12900,"sd","13:42:54",681700
19.5,-1,3200,"sd","13:42:51",668800
19.5,-1,4300,"sd","13:42:50",665600
19.55,-0.95,5100,"sd","13:42:39",661300
19.55,-0.95,1000,"sd","13:42:26",656200
19.6,-0.9,1000,"bu","13:42:22",655200
19.6,-0.9,200,"bu","13:42:08",654200
19.6,-0.9,2600,"sd","13:41:54",654000
19.65,-0.85,2900,"sd","13:41:42",651400
19.65,-0.85,200,"sd","13:41:34",648500
19.65,-0.85,500,"sd","13:41:22",648300
19.65,-0.85,2000,"sd","13:41:09",647800
19.65,-0.85,2800,"bu","13:41:03",645800
19.6,-0.9,1000,"bu","13:40:53",643000
19.6,-0.9,1600,"bu","13:40:52",642000
19.6,-0.9,15000,"bu","13:40:49",640400
19.55,-0.95,600,"sd","13:40:00",625400
19.65,-0.85,600,"bu","13:39:45",624800
19.6,-0.9,2400,"bu","13:39:45",624200
19.6,-0.9,500,"bu","13:39:40",621800
19.6,-0.9,1000,"bu","13:39:19",621300
19.6,-0.9,5000,"sd","13:39:17",620300
19.6,-0.9,14600,"sd","13:39:10",615300
19.65,-0.85,100,"bu","13:39:01",600700
19.65,-0.85,1000,"sd","13:38:58",600600
19.65,-0.85,200,"sd","13:38:55",599600
19.65,-0.85,5800,"sd","13:38:46",599400
19.75,-0.75,500,"bu","13:37:11",593600
19.65,-0.85,9600,"sd","13:37:02",593100
19.75,-0.75,500,"bu","13:37:01",583500
19.65,-0.85,500,"sd","13:36:39",583000
19.7,-0.8,4400,"sd","13:36:34",582500
19.75,-0.75,5000,"bu","13:35:23",578100
19.7,-0.8,500,"sd","13:34:52",573100
19.75,-0.75,400,"bu","13:34:43",572600
19.7,-0.8,600,"bu","13:34:43",572200
19.7,-0.8,200,"bu","13:34:42",571600
19.7,-0.8,200,"sd","13:33:49",571400
19.7,-0.8,3000,"sd","13:33:28",571200
19.7,-0.8,4500,"sd","13:33:24",568200
19.75,-0.75,300,"bu","13:33:20",563700
19.7,-0.8,1000,"sd","13:33:08",563400
19.7,-0.8,4100,"sd","13:33:03",562400
19.75,-0.75,200,"bu","13:30:26",558300
19.8,-0.7,400,"bu","13:29:56",558100
19.75,-0.75,1800,"bu","13:29:56",557700
19.75,-0.75,4000,"bu","13:29:15",555900
19.75,-0.75,1000,"bu","13:28:51",551900
19.75,-0.75,2000,"bu","13:27:24",550900
19.75,-0.75,1500,"sd","13:27:18",548900
19.75,-0.75,500,"bu","13:27:08",547400
19.75,-0.75,500,"bu","13:27:00",546900
19.75,-0.75,2000,"bu","13:26:51",546400
19.75,-0.75,100,"bu","13:26:04",544400
19.75,-0.75,1400,"sd","13:25:54",544300
19.75,-0.75,600,"bu","13:24:45",542900
19.75,-0.75,200,"bu","13:23:35",542300
19.75,-0.75,1600,"bu","13:23:25",542100
19.75,-0.75,100,"bu","13:23:03",540500
19.75,-0.75,2500,"bu","13:22:04",540400
19.75,-0.75,100,"bu","13:21:48",537900
19.75,-0.75,4400,"sd","13:21:36",537800
19.75,-0.75,1800,"bu","13:20:48",533400
19.75,-0.75,4000,"bu","13:20:43",531600
19.75,-0.75,100,"bu","13:19:39",527600
19.75,-0.75,100,"bu","13:19:24",527500
19.75,-0.75,100,"bu","13:19:15",527400
19.75,-0.75,1700,"bu","13:18:51",527300
19.75,-0.75,100,"bu","13:18:25",525600
19.75,-0.75,100,"sd","13:18:18",525500
19.75,-0.75,900,"sd","13:18:13",525400
19.75,-0.75,3500,"bu","13:17:55",524500
19.75,-0.75,100,"bu","13:17:46",521000
19.75,-0.75,1000,"bu","13:16:37",520900
