"price","change","match_qtty","side","time","total_vol"
11,-0.5,126400,"","14:45:05",1267300
11.1,-0.4,3100,"bu","14:29:46",1140900
11.1,-0.4,200,"bu","14:29:36",1137800
11.1,-0.4,2000,"bu","14:29:36",1137600
11.1,-0.4,4300,"sd","14:29:18",1135600
11.1,-0.4,200,"sd","14:29:11",1131300
11.1,-0.4,1000,"sd","14:28:56",1131100
11.15,-0.35,100,"bu","14:28:40",1130100
11.15,-0.35,1000,"bu","14:28:35",1130000
11.1,-0.4,1500,"sd","14:28:27",1129000
11.1,-0.4,4000,"sd","14:28:22",1127500
11.1,-0.4,2000,"sd","14:28:15",1123500
11.1,-0.4,100,"sd","14:28:12",1121500
11.1,-0.4,20000,"sd","14:27:30",1121400
11.1,-0.4,4400,"sd","14:27:23",1101400
11.1,-0.4,2500,"sd","14:27:03",1097000
11.15,-0.35,100,"bu","14:27:00",1094500
11.1,-0.4,200,"sd","14:24:51",1094400
11.1,-0.4,2200,"sd","14:24:26",1094200
11.15,-0.35,3000,"bu","14:24:26",1092000
11.1,-0.4,100,"sd","14:23:59",1089000
11.1,-0.4,14400,"sd","14:23:48",1088900
11.15,-0.35,4600,"sd","14:23:48",1074500
11.15,-0.35,1000,"sd","14:23:34",1069900
11.15,-0.35,4000,"sd","14:23:12",1068900
11.2,-0.3,2000,"bu","14:23:10",1064900
11.15,-0.35,1500,"bu","14:23:00",1062900
11.15,-0.35,600,"bu","14:22:46",1061400
11.15,-0.35,8000,"bu","14:22:39",1060800
11.1,-0.4,200,"sd","14:22:13",1052800
11.1,-0.4,100,"sd","14:22:08",1052600
11.1,-0.4,600,"sd","14:21:39",1052500
11.15,-0.35,1000,"bu","14:21:35",1051900
11.15,-0.35,900,"sd","14:21:06",1050900
11.2,-0.3,2000,"bu","14:20:55",1050000
11.2,-0.3,400,"bu","14:20:12",1048000
11.25,-0.25,3400,"bu","14:17:59",1047600
11.2,-0.3,6600,"bu","14:17:59",1044200
11.2,-0.3,6900,"bu","14:17:46",1037600
11.15,-0.35,3100,"bu","14:17:46",1030700
11.15,-0.35,3000,"bu","14:17:36",1027600
11.15,-0.35,100,"bu","14:17:12",1024600
11.15,-0.35,400,"bu","14:17:03",1024500
11.15,-0.35,3000,"bu","14:16:58",1024100
11.15,-0.35,100,"bu","14:16:47",1021100
