"price","change","match_qtty","side","time","total_vol"
6.55,-0.24,1500,"","14:45:08",15100
6.64,-0.15,1000,"bu","14:27:43",13600
6.64,-0.15,100,"bu","14:24:42",12600
6.6,-0.19,3000,"sd","14:24:24",12500
6.64,-0.15,500,"bu","14:22:09",9500
6.64,-0.15,700,"bu","14:16:27",9000
6.64,-0.15,100,"bu","14:15:05",8300
6.64,-0.15,100,"bu","14:12:55",8200
6.64,-0.15,200,"bu","14:11:19",8100
6.64,-0.15,100,"bu","14:09:12",7900
6.64,-0.15,100,"bu","14:07:34",7800
6.64,-0.15,100,"bu","14:02:09",7700
6.64,-0.15,4000,"bu","13:49:40",7600
6.64,-0.15,100,"bu","13:38:48",3600
6.64,-0.15,500,"bu","13:38:32",3500
6.64,-0.15,100,"bu","13:37:52",3000
6.65,-0.14,1000,"bu","13:32:29",2900
6.65,-0.14,100,"bu","13:31:25",1900
6.65,-0.14,500,"bu","13:30:39",1800
6.65,-0.14,200,"bu","13:29:16",1300
6.65,-0.14,300,"bu","13:28:57",1100
6.65,-0.14,100,"bu","13:25:38",800
6.65,-0.14,300,"sd","13:25:31",700
6.65,-0.14,100,"sd","13:12:46",400
6.79,0,100,"bu","10:53:07",300
6.79,0,100,"sd","10:06:20",200
6.79,0,100,"sd","09:47:15",100
