"price","change","match_qtty","side","time","total_vol"
22.6,0,51700,"","14:45:01",1082100
22.55,-0.05,100,"bu","14:29:57",1030400
22.5,-0.1,800,"sd","14:29:42",1030300
22.55,-0.05,100,"bu","14:29:38",1029500
22.5,-0.1,1000,"bu","14:29:34",1029400
22.4,-0.2,1700,"sd","14:29:24",1028400
22.45,-0.15,1700,"sd","14:29:24",1026700
22.5,-0.1,800,"sd","14:29:24",1025000
22.5,-0.1,400,"sd","14:29:12",1024200
22.55,-0.05,100,"bu","14:27:01",1023800
22.55,-0.05,100,"bu","14:26:50",1023700
22.45,-0.15,300,"bu","14:26:46",1023600
22.45,-0.15,1200,"sd","14:26:32",1023300
22.45,-0.15,500,"sd","14:26:17",1022100
22.5,-0.1,600,"sd","14:26:17",1021600
22.55,-0.05,100,"bu","14:25:22",1021000
22.55,-0.05,200,"bu","14:24:50",1020900
22.45,-0.15,1100,"sd","14:23:53",1020700
22.45,-0.15,4200,"sd","14:23:47",1019600
22.5,-0.1,1400,"sd","14:23:47",1015400
22.5,-0.1,1100,"sd","14:23:45",1014000
22.5,-0.1,1100,"sd","14:23:40",1012900
22.6,0,100,"bu","14:23:28",1011800
22.55,-0.05,200,"sd","14:19:16",1011700
22.55,-0.05,1000,"sd","14:17:44",1011500
22.6,0,100,"bu","14:16:40",1010500
22.6,0,1300,"bu","14:15:05",1010400
22.55,-0.05,8700,"bu","14:15:05",1009100
22.55,-0.05,1000,"bu","14:14:26",1000400
22.55,-0.05,200,"bu","14:14:15",999400
22.55,-0.05,200,"bu","14:14:12",999200
22.5,-0.1,500,"bu","14:14:07",999000
22.45,-0.15,7000,"sd","14:13:57",998500
22.5,-0.1,9500,"sd","14:13:49",991500
22.5,-0.1,6500,"bu","14:13:30",982000
22.5,-0.1,5000,"bu","14:13:25",975500
22.45,-0.15,6600,"sd","14:13:12",970500
22.55,-0.05,200,"bu","14:08:38",963900
22.45,-0.15,100,"bu","14:05:47",963700
22.45,-0.15,400,"sd","14:04:54",963600
22.45,-0.15,8500,"sd","14:04:26",963200
22.5,-0.1,500,"sd","14:02:40",954700
22.55,-0.05,700,"bu","14:01:34",954200
22.5,-0.1,3000,"sd","14:00:56",953500
22.55,-0.05,600,"bu","14:00:18",950500
22.55,-0.05,400,"bu","14:00:11",949900
22.55,-0.05,2200,"sd","13:50:07",949500
22.6,0,700,"bu","13:49:26",947300
22.6,0,500,"bu","13:49:19",946600
22.5,-0.1,5300,"sd","13:49:04",946100
22.55,-0.05,6600,"sd","13:48:54",940100
22.6,0,600,"bu","13:48:02",933500
22.5,-0.1,6000,"sd","13:47:55",932900
22.55,-0.05,1700,"sd","13:47:55",926900
22.55,-0.05,10000,"sd","13:47:46",925200
22.6,0,1300,"bu","13:47:35",915200
22.55,-0.05,5000,"sd","13:47:25",913900
22.6,0,700,"bu","13:46:06",908900
22.6,0,300,"bu","13:45:42",908200
22.55,-0.05,100,"sd","13:45:19",907900
22.6,0,400,"bu","13:44:46",907800
22.5,-0.1,4400,"sd","13:44:37",907400
22.55,-0.05,1200,"sd","13:44:37",903000
22.5,-0.1,100,"sd","13:44:21",901800
22.6,0,1100,"bu","13:43:33",901700
22.6,0,4700,"bu","13:43:33",900600
22.6,0,1100,"bu","13:43:28",895900
22.6,0,1100,"bu","13:43:21",894800
22.6,0,5200,"bu","13:43:19",893700
22.6,0,1100,"bu","13:43:18",888500
22.6,0,1100,"bu","13:43:12",887400
22.6,0,2200,"bu","13:43:08",886300
22.55,-0.05,3100,"bu","13:43:08",884100
22.55,-0.05,4800,"bu","13:43:07",881000
22.55,-0.05,2100,"sd","13:43:04",876200
22.6,0,500,"bu","13:42:53",874100
22.6,0,1100,"bu","13:42:10",873600
22.55,-0.05,4000,"bu","13:42:10",872500
22.6,0,5000,"bu","13:41:58",868500
22.6,0,200,"bu","13:41:52",862400
22.55,-0.05,900,"bu","13:41:52",862200
22.55,-0.05,1100,"bu","13:41:46",861300
22.55,-0.05,1100,"bu","13:41:44",860200
22.55,-0.05,4500,"bu","13:41:39",859100
22.55,-0.05,1100,"bu","13:41:36",854600
22.55,-0.05,4700,"bu","13:41:13",853500
22.55,-0.05,600,"bu","13:40:19",848800
22.55,-0.05,200,"bu","13:40:11",848200
22.5,-0.1,6000,"bu","13:39:56",848000
22.45,-0.15,6600,"sd","13:39:53",842000
22.45,-0.15,4200,"sd","13:39:43",835400
22.5,-0.1,2800,"sd","13:39:43",831200
22.5,-0.1,7200,"bu","13:39:35",828400
22.5,-0.1,6200,"sd","13:38:56",821200
22.55,-0.05,100,"bu","13:38:07",815000
22.5,-0.1,300,"sd","13:37:20",814900
22.5,-0.1,3500,"bu","13:36:34",814600
22.5,-0.1,3000,"bu","13:36:16",811100
22.45,-0.15,6500,"sd","13:36:01",808100
22.5,-0.1,6000,"bu","13:35:57",801600
22.5,-0.1,10500,"sd","13:35:47",795600
22.5,-0.1,400,"sd","13:35:33",785100
22.55,-0.05,300,"bu","13:35:30",784700
22.5,-0.1,4100,"bu","13:35:15",784400
22.5,-0.1,5000,"bu","13:35:09",780300
22.5,-0.1,600,"bu","13:34:46",775300
22.45,-0.15,1100,"sd","13:34:26",774700
22.45,-0.15,5800,"sd","13:34:02",773600
22.45,-0.15,1800,"sd","13:34:01",767800
22.5,-0.1,700,"bu","13:28:23",766000
22.45,-0.15,6200,"bu","13:28:15",765300
22.45,-0.15,2800,"sd","13:28:05",759100
22.45,-0.15,200,"bu","13:28:01",756300
22.45,-0.15,7400,"sd","13:27:54",756100
22.5,-0.1,400,"bu","13:27:46",748700
22.45,-0.15,7600,"bu","13:27:35",748300
22.4,-0.2,6000,"sd","13:27:34",740700
22.45,-0.15,1900,"sd","13:27:26",734700
22.5,-0.1,1400,"bu","13:27:13",732800
22.45,-0.15,7000,"sd","13:27:00",731400
22.45,-0.15,6000,"sd","13:26:50",724400
22.5,-0.1,2300,"sd","13:26:14",718400
22.55,-0.05,300,"bu","13:25:04",716100
22.55,-0.05,2000,"bu","13:24:45",715800
22.55,-0.05,300,"bu","13:23:55",713800
22.55,-0.05,1100,"bu","13:23:50",713500
22.55,-0.05,4000,"bu","13:23:32",712400
22.45,-0.15,1200,"bu","13:23:32",708400
22.45,-0.15,3800,"sd","13:23:29",707200
22.55,-0.05,3700,"bu","13:23:25",703400
22.5,-0.1,2000,"bu","13:23:25",699700
22.5,-0.1,6500,"bu","13:23:20",697700
22.5,-0.1,200,"bu","13:23:16",691200
22.5,-0.1,6600,"sd","13:23:03",691000
22.55,-0.05,1600,"bu","13:22:36",684400
22.5,-0.1,200,"bu","13:22:36",682800
22.5,-0.1,5100,"bu","13:22:31",682600
22.5,-0.1,1200,"bu","13:21:01",677500
22.45,-0.15,1900,"sd","13:20:34",676300
22.45,-0.15,600,"sd","13:19:47",674400
22.45,-0.15,300,"sd","13:19:24",673800
22.5,-0.1,400,"bu","13:19:10",673500
22.5,-0.1,100,"bu","13:19:05",673100
22.5,-0.1,100,"bu","13:18:59",673000
22.5,-0.1,600,"bu","13:09:06",672900
22.4,-0.2,9500,"sd","13:09:02",672300
22.4,-0.2,3600,"sd","13:09:00",662800
22.45,-0.15,3000,"sd","13:09:00",659200
22.5,-0.1,1900,"sd","13:07:17",656200
22.5,-0.1,3100,"bu","13:05:28",654300
22.5,-0.1,4900,"sd","13:05:14",651200
22.5,-0.1,1100,"bu","13:05:10",646300
22.45,-0.15,4700,"sd","13:05:06",645200
22.5,-0.1,3400,"bu","13:04:58",640500
22.5,-0.1,2800,"sd","13:04:43",637100
22.55,-0.05,600,"bu","13:04:34",634300
22.5,-0.1,6500,"sd","13:04:21",633700
22.5,-0.1,700,"bu","13:04:15",627200
22.45,-0.15,5000,"sd","13:04:11",626500
22.5,-0.1,9200,"sd","13:03:59",621500
22.55,-0.05,600,"bu","13:03:30",612300
22.55,-0.05,300,"bu","13:03:23",611700
22.55,-0.05,3700,"bu","13:01:12",611400
22.55,-0.05,5600,"bu","13:00:36",607700
22.5,-0.1,500,"sd","13:00:01",602100
22.55,-0.05,100,"bu","11:29:07",601600
22.55,-0.05,200,"bu","11:29:00",601500
22.55,-0.05,300,"bu","11:28:57",601300
22.55,-0.05,100,"bu","11:28:50",601000
22.5,-0.1,7300,"sd","11:28:44",600900
22.45,-0.15,10700,"sd","11:28:33",593600
22.5,-0.1,1300,"sd","11:28:33",582900
22.5,-0.1,8600,"sd","11:28:22",581600
22.5,-0.1,1000,"sd","11:28:02",573000
22.5,-0.1,2900,"sd","11:25:58",572000
22.5,-0.1,1200,"sd","11:24:00",569100
22.55,-0.05,100,"bu","11:22:48",567900
22.5,-0.1,1900,"sd","11:22:22",567800
22.5,-0.1,1500,"sd","11:19:07",565900
22.5,-0.1,2500,"bu","11:18:27",564400
22.5,-0.1,400,"sd","11:14:58",561900
22.5,-0.1,2000,"sd","11:12:56",561500
22.5,-0.1,100,"sd","11:11:20",559500
22.55,-0.05,500,"bu","11:09:33",559400
22.5,-0.1,2600,"bu","11:09:19",558900
22.45,-0.15,5400,"sd","11:09:12",556300
22.5,-0.1,7400,"sd","11:09:01",550900
22.5,-0.1,2600,"bu","11:08:50",543500
22.45,-0.15,8000,"sd","11:08:48",540900
22.5,-0.1,4000,"bu","11:08:36",532900
22.5,-0.1,3000,"bu","11:08:32",528900
22.45,-0.15,4000,"sd","11:08:13",525900
22.5,-0.1,200,"sd","11:08:00",521900
