"price","change","match_qtty","side","time","total_vol"
16.5,0.2,270400,"","14:45:00",4542100
16.65,0.35,100,"bu","14:29:55",4271700
16.6,0.3,300,"sd","14:29:46",4271600
16.65,0.35,6000,"bu","14:29:45",4271300
16.6,0.3,300,"sd","14:29:44",4265300
16.65,0.35,1200,"bu","14:29:44",4265000
16.6,0.3,100,"sd","14:29:38",4263800
16.6,0.3,12000,"sd","14:29:32",4263200
16.65,0.35,700,"bu","14:29:29",4251200
16.65,0.35,9300,"bu","14:29:26",4250500
16.65,0.35,1000,"bu","14:29:24",4241200
16.65,0.35,300,"bu","14:29:22",4240200
16.65,0.35,12300,"sd","14:29:19",4239900
16.65,0.35,1000,"sd","14:29:17",4227600
16.65,0.35,1000,"sd","14:29:14",4226600
16.65,0.35,2000,"sd","14:29:12",4225600
16.65,0.35,13500,"bu","14:29:10",4223600
16.65,0.35,5000,"bu","14:29:06",4210100
16.65,0.35,2000,"bu","14:29:05",4205100
16.65,0.35,8100,"bu","14:29:03",4203100
16.6,0.3,5000,"sd","14:29:00",4195000
16.65,0.35,10000,"bu","14:28:57",4190000
16.65,0.35,100,"bu","14:28:53",4180000
16.65,0.35,300,"bu","14:28:44",4179900
16.6,0.3,2800,"bu","14:28:44",4179600
16.6,0.3,12400,"bu","14:28:43",4176800
16.6,0.3,1000,"bu","14:28:41",4164400
16.6,0.3,100,"bu","14:28:40",4163400
16.6,0.3,7000,"bu","14:28:40",4163300
16.6,0.3,1400,"bu","14:28:39",4156300
16.6,0.3,11000,"bu","14:28:35",4154900
16.55,0.25,1000,"sd","14:28:32",4143900
16.6,0.3,2000,"bu","14:28:30",4142900
16.6,0.3,200,"bu","14:28:28",4140900
16.6,0.3,5100,"bu","14:28:26",4140700
16.6,0.3,2000,"bu","14:28:24",4135600
16.6,0.3,300,"bu","14:28:23",4133600
16.6,0.3,100,"bu","14:28:22",4133300
16.6,0.3,100,"bu","14:28:15",4133200
16.6,0.3,2000,"bu","14:28:04",4133100
16.6,0.3,5500,"bu","14:27:59",4131100
16.55,0.25,12700,"bu","14:27:33",4125600
16.55,0.25,1000,"bu","14:27:32",4112900
16.55,0.25,100,"bu","14:27:29",4111900
16.55,0.25,3100,"bu","14:27:25",4111800
16.55,0.25,1600,"bu","14:27:22",4108700
16.55,0.25,3400,"bu","14:27:21",4107100
16.55,0.25,20000,"bu","14:27:18",4103700
16.55,0.25,5000,"bu","14:27:17",4083700
16.55,0.25,100,"bu","14:27:12",4078700
16.55,0.25,500,"bu","14:27:11",4078600
16.55,0.25,2000,"bu","14:27:05",4078100
16.5,0.2,100,"sd","14:27:05",4076100
16.5,0.2,200,"sd","14:27:02",4076000
16.5,0.2,89800,"bu","14:26:59",4075800
16.5,0.2,2500,"bu","14:26:47",3986000
16.5,0.2,4500,"bu","14:26:45",3983500
16.5,0.2,100,"bu","14:26:35",3979000
16.5,0.2,5000,"bu","14:26:31",3978900
16.5,0.2,200,"bu","14:26:31",3973900
16.5,0.2,500,"bu","14:26:24",3973700
16.5,0.2,2000,"bu","14:26:19",3973200
16.5,0.2,200,"bu","14:25:58",3971200
16.45,0.15,500,"sd","14:25:54",3971000
16.5,0.2,400,"bu","14:25:51",3970500
16.45,0.15,2500,"sd","14:25:47",3970100
16.5,0.2,200,"bu","14:25:29",3967600
16.5,0.2,800,"bu","14:25:27",3967400
16.5,0.2,1000,"bu","14:25:05",3966600
16.45,0.15,42000,"sd","14:25:01",3965600
16.5,0.2,100,"bu","14:24:56",3923600
16.45,0.15,2300,"bu","14:24:48",3923500
16.45,0.15,400,"bu","14:24:45",3921200
16.45,0.15,5000,"bu","14:24:44",3920800
16.45,0.15,30000,"bu","14:24:43",3915800
16.45,0.15,3000,"bu","14:24:40",3885800
16.45,0.15,20000,"bu","14:24:37",3882800
16.45,0.15,5000,"bu","14:24:21",3862800
16.45,0.15,2000,"bu","14:24:21",3857800
16.4,0.1,2000,"sd","14:24:03",3855800
16.4,0.1,9100,"bu","14:23:55",3853800
16.4,0.1,20000,"bu","14:23:53",3844700
16.4,0.1,15000,"bu","14:23:52",3824700
16.4,0.1,1100,"bu","14:23:49",3809700
16.4,0.1,10200,"bu","14:23:43",3808600
16.4,0.1,1000,"bu","14:23:41",3798400
16.4,0.1,1100,"bu","14:23:33",3797400
16.4,0.1,500,"bu","14:22:22",3796300
16.4,0.1,2000,"bu","14:22:01",3795800
16.4,0.1,500,"bu","14:21:59",3793800
16.4,0.1,1000,"bu","14:21:36",3793300
16.4,0.1,500,"bu","14:21:27",3792300
16.35,0.05,29300,"bu","14:20:55",3791800
16.35,0.05,1800,"bu","14:20:55",3762500
16.35,0.05,7000,"bu","14:20:51",3760700
16.35,0.05,1000,"bu","14:20:51",3753700
16.35,0.05,3000,"bu","14:20:27",3752700
16.35,0.05,1000,"bu","14:20:06",3749700
16.3,0,7000,"sd","14:20:02",3748700
16.3,0,100,"sd","14:20:01",3741700
16.3,0,6600,"bu","14:19:45",3741600
16.25,-0.05,1000,"sd","14:19:45",3735000
16.25,-0.05,2700,"bu","14:19:28",3734000
16.25,-0.05,3100,"bu","14:19:27",3731300
16.25,-0.05,1000,"bu","14:19:27",3728200
16.25,-0.05,5000,"bu","14:19:25",3727200
16.25,-0.05,2200,"bu","14:19:24",3722200
16.25,-0.05,100,"bu","14:19:23",3720000
16.25,-0.05,400,"bu","14:19:22",3719900
16.25,-0.05,3000,"bu","14:19:22",3719500
16.25,-0.05,1100,"bu","14:19:21",3716500
16.25,-0.05,11000,"bu","14:19:20",3715400
16.25,-0.05,20000,"bu","14:19:19",3704400
16.25,-0.05,200,"bu","14:19:19",3684400
16.25,-0.05,7500,"bu","14:19:16",3684200
16.25,-0.05,1000,"bu","14:19:15",3676700
16.25,-0.05,1000,"bu","14:19:14",3675700
16.25,-0.05,14000,"bu","14:19:12",3674700
16.25,-0.05,1000,"bu","14:19:09",3660700
16.25,-0.05,500,"bu","14:19:06",3659700
16.25,-0.05,400,"bu","14:18:52",3659200
16.2,-0.1,5100,"sd","14:18:51",3658800
16.25,-0.05,100,"bu","14:18:43",3653700
16.2,-0.1,3600,"sd","14:18:26",3653600
16.25,-0.05,500,"bu","14:18:26",3650000
16.2,-0.1,15000,"sd","14:18:15",3649500
16.2,-0.1,5100,"sd","14:17:54",3634500
16.2,-0.1,600,"sd","14:17:51",3629400
16.2,-0.1,2000,"sd","14:17:36",3628800
16.2,-0.1,13500,"sd","14:17:23",3626800
16.25,-0.05,6500,"sd","14:17:23",3613300
16.25,-0.05,300,"bu","14:17:04",3606800
16.25,-0.05,500,"bu","14:17:02",3606500
16.2,-0.1,70900,"sd","14:16:55",3606000
16.25,-0.05,29100,"sd","14:16:55",3535100
16.25,-0.05,5000,"sd","14:16:27",3506000
16.25,-0.05,200,"sd","14:16:21",3501000
16.25,-0.05,1800,"bu","14:16:14",3500800
16.2,-0.1,7000,"sd","14:16:14",3499000
16.25,-0.05,100,"bu","14:16:14",3492000
16.2,-0.1,400,"sd","14:16:14",3491900
16.2,-0.1,300,"sd","14:16:13",3491500
16.25,-0.05,2600,"sd","14:16:11",3491200
16.25,-0.05,3000,"sd","14:16:06",3488600
16.25,-0.05,3000,"sd","14:15:59",3485600
16.25,-0.05,5500,"sd","14:15:55",3482600
16.25,-0.05,1000,"sd","14:15:45",3477100
16.25,-0.05,8000,"sd","14:15:36",3476100
16.25,-0.05,16400,"sd","14:15:35",3468100
16.25,-0.05,300,"sd","14:15:33",3451700
16.25,-0.05,2800,"sd","14:15:32",3451400
16.25,-0.05,500,"sd","14:15:20",3448600
16.25,-0.05,2100,"sd","14:15:14",3448100
16.25,-0.05,5000,"sd","14:15:13",3446000
16.25,-0.05,1600,"sd","14:15:09",3441000
16.25,-0.05,200,"sd","14:15:04",3439400
16.25,-0.05,20000,"sd","14:15:01",3439200
16.25,-0.05,5000,"sd","14:14:56",3419200
16.25,-0.05,1000,"sd","14:14:51",3414200
16.25,-0.05,5100,"sd","14:14:32",3413200
16.3,0,27400,"sd","14:14:32",3408100
16.3,0,5000,"sd","14:14:31",3380700
16.3,0,54000,"sd","14:14:26",3375700
16.3,0,5000,"sd","14:14:25",3321700
16.3,0,5000,"sd","14:14:22",3316700
16.3,0,29000,"sd","14:14:09",3311700
16.3,0,1000,"sd","14:13:55",3282700
16.3,0,1200,"sd","14:13:17",3281700
16.3,0,1300,"sd","14:12:53",3280500
16.3,0,200,"sd","14:12:42",3279200
16.3,0,9000,"sd","14:12:35",3279000
16.3,0,600,"sd","14:12:20",3270000
16.3,0,500,"sd","14:12:17",3269400
16.3,0,200,"sd","14:12:05",3268900
16.35,0.05,2000,"bu","14:11:55",3268700
16.35,0.05,49800,"sd","14:11:38",3266700
16.4,0.1,4600,"sd","14:10:35",3216900
16.4,0.1,1000,"sd","14:10:20",3212300
16.4,0.1,1200,"sd","14:10:18",3211300
16.4,0.1,25200,"bu","14:10:13",3210100
16.35,0.05,100,"sd","14:09:55",3184900
16.35,0.05,1000,"sd","14:09:49",3184800
16.4,0.1,100,"bu","14:09:20",3183800
16.4,0.1,400,"bu","14:09:20",3183700
16.4,0.1,300,"bu","14:09:03",3183300
16.4,0.1,100,"sd","14:08:57",3183000
16.4,0.1,3900,"bu","14:08:46",3182900
16.35,0.05,50000,"sd","14:08:46",3179000
16.4,0.1,1000,"bu","14:08:33",3129000
16.35,0.05,500,"sd","14:08:09",3128000
16.4,0.1,6200,"bu","14:08:04",3127500
16.4,0.1,2600,"bu","14:07:56",3121300
16.4,0.1,100,"bu","14:07:18",3118700
16.35,0.05,1500,"sd","14:06:56",3118600
16.35,0.05,1400,"sd","14:06:31",3117100
16.4,0.1,500,"bu","14:06:19",3115700
16.4,0.1,2000,"bu","14:06:15",3115200
16.4,0.1,900,"bu","14:05:54",3113200
16.4,0.1,200,"bu","14:05:42",3112300
16.4,0.1,59500,"sd","14:05:20",3112100
16.45,0.15,300,"bu","14:04:56",3052600
16.4,0.1,1000,"sd","14:04:26",3052300
16.4,0.1,1000,"sd","14:04:23",3051300
16.4,0.1,100,"sd","14:04:06",3050300
16.4,0.1,1000,"sd","14:03:44",3050200
16.4,0.1,100,"sd","14:03:39",3049200
16.4,0.1,500,"sd","14:03:35",3049100
16.4,0.1,2000,"sd","14:03:13",3048600
16.45,0.15,200,"bu","14:02:57",3046600
16.4,0.1,1000,"sd","14:02:36",3046400
16.45,0.15,1000,"bu","14:02:00",3045400
16.45,0.15,2000,"bu","14:01:53",3044400
16.45,0.15,200,"bu","14:01:10",3042400
16.45,0.15,200,"bu","14:00:59",3042200
16.45,0.15,1000,"bu","14:00:51",3042000
16.45,0.15,1600,"bu","14:00:45",3041000
16.4,0.1,30500,"bu","14:00:08",3039400
16.4,0.1,100,"bu","14:00:06",3008900
16.35,0.05,500,"sd","13:59:24",3008800
16.35,0.05,600,"sd","13:59:17",3008300
16.35,0.05,1700,"sd","13:57:59",3007700
16.35,0.05,1000,"sd","13:57:32",3006000
16.35,0.05,4200,"bu","13:57:13",3005000
16.35,0.05,100,"bu","13:57:09",3000800
16.35,0.05,700,"sd","13:57:05",3000700
16.35,0.05,100,"sd","13:57:00",3000000
16.35,0.05,500,"bu","13:56:43",2999900
16.35,0.05,2000,"bu","13:56:36",2999400
16.35,0.05,500,"sd","13:56:32",2997400
16.35,0.05,500,"bu","13:56:23",2996900
16.3,0,500,"sd","13:55:57",2996400
16.35,0.05,10000,"bu","13:55:52",2995900
16.3,0,3400,"sd","13:55:39",2985900
16.3,0,3600,"sd","13:54:50",2982500
16.3,0,4200,"sd","13:54:11",2978900
16.35,0.05,1100,"sd","13:54:11",2974700
16.35,0.05,100,"sd","13:54:00",2973600
16.35,0.05,1000,"sd","13:53:37",2973500
16.35,0.05,3600,"bu","13:53:30",2972500
16.35,0.05,200,"bu","13:53:20",2968900
16.35,0.05,1200,"bu","13:53:18",2968700
16.35,0.05,1000,"bu","13:53:06",2967500
16.35,0.05,200,"bu","13:53:03",2966500
16.3,0,100000,"sd","13:53:00",2966300
16.35,0.05,1000,"bu","13:52:56",2866300
16.3,0,10000,"sd","13:52:51",2865300
16.3,0,500,"sd","13:52:38",2855300
16.35,0.05,5000,"bu","13:52:30",2854800
16.35,0.05,3000,"bu","13:52:14",2849800
16.3,0,2000,"sd","13:52:05",2846800
16.35,0.05,100,"bu","13:52:05",2844800
16.35,0.05,5500,"sd","13:51:50",2844700
16.35,0.05,25000,"sd","13:51:47",2839200
16.35,0.05,200,"sd","13:51:45",2814200
16.35,0.05,4000,"sd","13:51:42",2814000
16.35,0.05,21000,"sd","13:51:42",2810000
16.4,0.1,4800,"bu","13:51:27",2789000
16.4,0.1,300,"bu","13:51:22",2784200
16.35,0.05,4000,"sd","13:51:21",2783900
16.4,0.1,2100,"bu","13:51:18",2779900
16.4,0.1,8000,"bu","13:51:13",2777800
16.35,0.05,16300,"sd","13:51:08",2769800
16.35,0.05,1000,"sd","13:50:39",2753500
16.35,0.05,200,"sd","13:50:25",2752500
16.4,0.1,200,"bu","13:50:08",2752300
16.4,0.1,800,"bu","13:50:01",2752100
16.4,0.1,22100,"bu","13:49:58",2751300
16.35,0.05,300,"sd","13:49:53",2729200
16.35,0.05,1000,"sd","13:49:43",2728900
16.35,0.05,300,"sd","13:49:23",2727900
16.35,0.05,1000,"sd","13:49:19",2727600
16.35,0.05,23700,"sd","13:48:56",2726600
16.4,0.1,1000,"bu","13:48:44",2702900
16.4,0.1,400,"bu","13:48:41",2701900
16.4,0.1,1000,"bu","13:47:57",2701500
16.35,0.05,2500,"sd","13:47:35",2700500
16.35,0.05,100,"sd","13:47:23",2698000
16.35,0.05,5000,"sd","13:47:20",2697900
16.4,0.1,700,"bu","13:47:11",2692900
16.35,0.05,2000,"sd","13:46:06",2692200
16.35,0.05,500,"sd","13:45:13",2690200
16.35,0.05,1000,"sd","13:44:50",2689700
16.35,0.05,400,"sd","13:44:46",2688700
16.35,0.05,300,"sd","13:44:44",2688300
16.35,0.05,1000,"sd","13:44:28",2688000
16.35,0.05,10000,"sd","13:43:43",2687000
16.4,0.1,5000,"bu","13:43:40",2677000
16.4,0.1,500,"bu","13:43:37",2672000
16.4,0.1,15200,"bu","13:43:28",2671500
16.35,0.05,600,"sd","13:43:24",2656300
16.35,0.05,10600,"sd","13:43:15",2655700
16.35,0.05,200,"sd","13:42:55",2645100
16.35,0.05,2000,"sd","13:42:53",2644900
16.35,0.05,100,"sd","13:42:10",2642900
16.35,0.05,300,"sd","13:42:00",2642800
16.35,0.05,500,"sd","13:41:48",2642500
16.35,0.05,500,"sd","13:41:46",2642000
16.4,0.1,1000,"bu","13:41:43",2641500
16.4,0.1,400,"bu","13:41:11",2640500
16.4,0.1,100,"bu","13:40:36",2640100
16.4,0.1,300,"bu","13:40:13",2640000
16.4,0.1,74200,"sd","13:39:56",2639700
16.4,0.1,200,"sd","13:39:41",2565500
16.4,0.1,1000,"sd","13:39:37",2565300
16.4,0.1,3000,"sd","13:39:20",2564300
16.4,0.1,500,"sd","13:39:17",2561300
16.4,0.1,6000,"sd","13:38:40",2560800
16.4,0.1,11000,"sd","13:38:19",2554800
16.4,0.1,1000,"sd","13:36:17",2543800
16.4,0.1,100,"sd","13:35:49",2542800
16.4,0.1,500,"sd","13:35:26",2542700
16.45,0.15,1000,"bu","13:35:25",2542200
16.45,0.15,1000,"bu","13:35:06",2541200
16.45,0.15,100,"bu","13:34:55",2540200
16.4,0.1,500,"sd","13:34:53",2540100
16.45,0.15,1700,"bu","13:34:38",2539600
16.45,0.15,300,"bu","13:34:26",2537900
16.4,0.1,300,"sd","13:34:02",2537600
16.4,0.1,1000,"sd","13:33:57",2537300
16.4,0.1,3000,"sd","13:32:27",2536300
16.45,0.15,100,"bu","13:31:32",2533300
16.45,0.15,300,"bu","13:30:53",2533200
16.45,0.15,300,"bu","13:30:52",2532900
16.45,0.15,2600,"bu","13:30:40",2532600
16.45,0.15,100,"bu","13:30:21",2530000
16.45,0.15,1400,"bu","13:30:07",2529900
16.45,0.15,200,"bu","13:29:40",2528500
16.45,0.15,100,"bu","13:29:27",2528300
16.45,0.15,100,"bu","13:29:22",2528200
16.45,0.15,1400,"bu","13:29:17",2528100
16.45,0.15,2000,"bu","13:29:17",2526700
16.45,0.15,5000,"bu","13:29:16",2524700
16.45,0.15,500,"bu","13:29:00",2519700
16.45,0.15,5200,"bu","13:28:49",2519200
16.45,0.15,200,"bu","13:28:16",2514000
16.4,0.1,9000,"sd","13:28:03",2513800
16.45,0.15,1000,"bu","13:28:02",2504800
16.45,0.15,1800,"sd","13:27:16",2503800
16.45,0.15,100,"sd","13:27:00",2502000
16.45,0.15,1100,"bu","13:26:54",2501900
16.45,0.15,4900,"sd","13:26:53",2500800
16.45,0.15,700,"sd","13:26:21",2495900
16.5,0.2,200,"bu","13:26:10",2495200
16.5,0.2,600,"bu","13:26:07",2495000
16.5,0.2,200,"bu","13:25:55",2494400
16.5,0.2,100,"bu","13:25:53",2494200
16.5,0.2,1000,"bu","13:25:39",2494100
16.5,0.2,2000,"bu","13:25:36",2493100
16.5,0.2,16200,"sd","13:25:23",2491100
16.5,0.2,400,"sd","13:25:14",2474900
16.5,0.2,5000,"sd","13:24:56",2474500
16.5,0.2,38900,"bu","13:24:53",2469500
16.5,0.2,500,"bu","13:24:31",2430600
16.45,0.15,200,"sd","13:24:31",2430100
16.45,0.15,800,"sd","13:24:10",2429900
16.5,0.2,1400,"bu","13:23:42",2429100
16.5,0.2,500,"bu","13:23:20",2427700
16.45,0.15,50000,"sd","13:23:17",2427200
