"price","change","match_qtty","side","time","total_vol"
23.25,0.05,323200,"","14:45:00",7082700
23.25,0.05,1500,"bu","14:29:56",6759500
23.25,0.05,16500,"bu","14:29:53",6758000
23.25,0.05,17000,"bu","14:29:52",6741500
23.25,0.05,20000,"bu","14:29:48",6724500
23.25,0.05,16500,"bu","14:29:43",6704500
23.2,0,500,"sd","14:29:36",6688000
23.25,0.05,16500,"bu","14:29:36",6687500
23.25,0.05,2700,"bu","14:29:29",6671000
23.2,0,100,"sd","14:29:25",6651800
23.2,0,31900,"sd","14:29:19",6651700
23.25,0.05,16500,"bu","14:29:18",6619800
23.25,0.05,12200,"bu","14:29:12",6603300
23.25,0.05,2700,"bu","14:29:08",6591100
23.25,0.05,36500,"bu","14:29:05",6588400
23.25,0.05,2700,"bu","14:29:00",6551900
23.2,0,20800,"sd","14:28:51",6549200
23.25,0.05,16500,"bu","14:28:49",6528400
23.25,0.05,2700,"bu","14:28:49",6511900
23.25,0.05,1500,"bu","14:28:45",6509200
23.25,0.05,16500,"bu","14:28:39",6507700
23.25,0.05,2700,"bu","14:28:38",6491200
23.25,0.05,11000,"bu","14:28:31",6488500
23.2,0,1000,"sd","14:28:30",6477500
23.25,0.05,2700,"bu","14:28:27",6476500
23.2,0,800,"sd","14:28:27",6473800
23.25,0.05,200,"bu","14:28:19",6473000
23.25,0.05,2700,"bu","14:28:18",6472800
23.25,0.05,11000,"bu","14:28:16",6470100
23.2,0,20800,"sd","14:28:16",6459100
23.25,0.05,10000,"bu","14:28:14",6438300
23.25,0.05,11000,"bu","14:28:04",6428300
23.25,0.05,5000,"bu","14:28:03",6417300
23.2,0,3500,"sd","14:28:01",6412300
23.25,0.05,5000,"bu","14:27:50",6408800
23.2,0,2000,"sd","14:27:49",6403800
23.25,0.05,11000,"bu","14:27:48",6401800
23.2,0,600,"sd","14:27:43",6390800
23.2,0,7200,"sd","14:27:41",6390200
23.25,0.05,5000,"bu","14:27:41",6383000
23.2,0,2700,"bu","13:37:08",3662400
23.15,-0.05,200,"sd","13:37:00",3659700
23.2,0,2700,"bu","13:36:58",3659500
23.2,0,300,"bu","13:36:42",3656800
23.2,0,1000,"bu","13:36:26",3656500
23.15,-0.05,1000,"sd","13:35:42",3655500
23.2,0,500,"bu","13:35:33",3654500
23.2,0,1000,"bu","13:35:21",3654000
23.15,-0.05,100,"sd","13:35:20",3653000
23.2,0,500,"bu","13:35:13",3652900
23.15,-0.05,1200,"sd","13:35:10",3652400
23.2,0,5000,"bu","13:35:10",3651200
23.2,0,10000,"bu","13:35:03",3646200
23.15,-0.05,200,"sd","13:35:00",3636200
23.2,0,2700,"bu","13:34:56",3636000
23.15,-0.05,300,"sd","13:34:50",3633300
23.2,0,1000,"bu","13:34:47",3633000
23.2,0,2700,"bu","13:34:46",3632000
23.15,-0.05,500,"sd","13:34:40",3629300
23.2,0,2700,"bu","13:34:35",3628800
23.2,0,3000,"bu","13:34:33",3626100
23.15,-0.05,600,"sd","13:34:30",3623100
23.2,0,2700,"bu","13:34:24",3622500
23.2,0,5000,"bu","13:34:23",3619800
23.15,-0.05,200,"sd","13:34:20",3614800
23.2,0,2700,"bu","13:34:14",3614600
23.15,-0.05,200,"sd","13:34:10",3611900
23.2,0,2700,"bu","13:34:03",3611700
23.15,-0.05,200,"sd","13:34:00",3609000
23.2,0,2700,"bu","13:33:54",3608800
23.15,-0.05,100,"sd","13:33:30",3606100
23.1,-0.1,2300,"sd","13:33:20",3606000
23.1,-0.1,100,"sd","13:33:11",3603700
23.1,-0.1,6500,"sd","13:33:10",3603600
23.15,-0.05,400,"sd","13:33:10",3597100
23.15,-0.05,100000,"sd","13:33:10",3596700
23.2,0,10000,"bu","13:33:00",3496700
23.15,-0.05,800,"sd","13:32:40",3486700
23.2,0,10000,"bu","13:32:38",3485900
23.15,-0.05,1000,"sd","13:32:38",3475900
23.2,0,1500,"sd","14:23:57",5992800
23.25,0.05,2700,"bu","14:23:48",5991300
23.25,0.05,2700,"bu","14:23:39",5988600
23.2,0,100,"sd","14:23:28",5985900
23.2,0,20800,"sd","14:23:08",5985800
23.2,0,11300,"sd","14:23:07",5965000
23.2,0,300,"sd","14:23:00",5953700
23.2,0,500,"sd","14:22:54",5953400
23.2,0,100,"sd","14:22:39",5952900
23.2,0,7200,"sd","14:22:29",5952800
23.2,0,1000,"sd","14:22:16",5945600
23.25,0.05,100,"bu","14:22:10",5944600
23.2,0,1500,"sd","14:21:45",5944500
23.2,0,20800,"sd","14:21:27",5943000
23.25,0.05,500,"bu","14:21:15",5922200
23.2,0,5000,"sd","14:21:09",5921700
23.2,0,100,"sd","14:21:04",5916700
23.2,0,20800,"sd","14:20:15",5916600
23.2,0,200,"sd","14:20:11",5895800
23.2,0,2000,"sd","14:19:39",5895600
23.2,0,100,"sd","14:19:35",5893600
23.2,0,5000,"bu","14:19:25",5893500
23.15,-0.05,14500,"sd","14:19:20",5888500
23.2,0,6300,"sd","14:19:20",5874000
23.2,0,1000,"sd","14:19:19",5867700
23.2,0,1000,"sd","14:19:18",5866700
23.2,0,1400,"sd","14:19:12",5865700
23.2,0,20000,"sd","14:19:04",5864300
23.2,0,200,"sd","14:19:02",5844300
23.2,0,5000,"sd","14:18:48",5844100
23.2,0,1000,"sd","14:18:44",5839100
23.2,0,5000,"sd","14:18:41",5838100
23.2,0,5000,"sd","14:18:40",5833100
23.2,0,2000,"sd","14:18:34",5828100
23.2,0,7200,"sd","14:18:11",5826100
23.2,0,1100,"sd","14:18:10",5818900
23.2,0,3000,"sd","14:17:58",5817800
23.2,0,5200,"sd","14:17:42",5814800
23.2,0,20800,"sd","14:17:36",5809600
23.2,0,500,"sd","14:17:25",5788800
23.2,0,1000,"sd","14:17:13",5788300
23.2,0,500,"sd","14:17:06",5787300
23.15,-0.05,3700,"sd","14:16:53",5786800
23.2,0,17100,"sd","14:16:53",5783100
23.2,0,2900,"bu","14:16:49",5766000
23.2,0,200,"bu","14:16:47",5763100
23.2,0,20000,"bu","14:16:42",5762900
23.2,0,50000,"bu","14:16:37",5742900
23.2,0,20000,"bu","14:16:33",5692900
23.15,-0.05,2000,"sd","14:16:30",5672900
23.2,0,30000,"bu","14:16:23",5670900
23.2,0,10000,"bu","14:16:19",5640900
23.2,0,6000,"bu","14:16:08",5630900
23.15,-0.05,20800,"sd","14:15:56",5624900
23.2,0,2000,"bu","14:15:29",5604100
23.15,-0.05,15000,"sd","14:15:17",5602100
23.2,0,2300,"sd","14:14:58",5587100
23.2,0,2700,"bu","14:14:51",5584800
23.2,0,1000,"bu","14:14:38",5582100
23.2,0,500,"bu","14:14:31",5581100
23.2,0.15,4000,"bu","14:17:14",6027100
23.2,0.15,700,"bu","14:17:13",6023100
23.2,0.15,800,"bu","14:16:45",6022400
23.2,0.15,2500,"bu","14:16:26",6021600
23.2,0.15,4000,"bu","14:16:22",6019100
23.15,0.1,10700,"sd","14:16:19",6015100
23.2,0.15,800,"bu","14:16:18",6004400
23.2,0.15,10000,"bu","14:16:17",6003600
23.15,0.1,17400,"sd","14:16:15",5993600
23.15,0.1,12800,"sd","14:16:07",5976200
23.15,0.1,1600,"sd","14:15:25",5963400
23.2,0.15,3300,"bu","14:15:22",5961800
23.2,0.15,800,"bu","14:14:55",5958500
23.2,0.15,6500,"bu","14:14:54",5957700
23.2,0.15,18000,"bu","14:14:49",5951200
23.2,0.15,3500,"bu","14:14:34",5933200
23.15,0.1,5500,"sd","14:14:34",5929700
23.15,0.1,5500,"sd","14:14:28",5924200
