"price","change","match_qtty","side","time","total_vol"
1.3,-0.1,800,"bu","14:26:44",549900
1.3,-0.1,100,"bu","14:23:17",548100
1.3,-0.1,1000,"bu","14:23:59",549100
1.3,-0.1,5200,"bu","14:29:37",556200
1.3,-0.1,100,"bu","14:28:50",551000
1.3,-0.1,1000,"bu","14:27:38",550900
1.3,-0.1,200,"","14:45:01",556400
1.3,-0.1,400,"bu","14:03:43",548000
1.3,-0.1,300,"bu","13:37:47",547600
1.3,-0.1,200,"bu","13:30:51",546700
1.3,-0.1,600,"bu","13:32:52",547300
1.3,-0.1,200,"bu","13:16:35",546500
1.3,-0.1,100,"bu","10:06:01",447600
1.3,-0.1,800,"bu","10:05:45",447500
1.3,-0.1,1000,"bu","10:24:32",544500
1.3,-0.1,100,"bu","10:35:28",545100
1.3,-0.1,200,"bu","10:30:49",545000
1.3,-0.1,100,"bu","10:36:25",545200
1.3,-0.1,100,"bu","10:59:51",546100
1.3,-0.1,600,"bu","10:59:27",546000
