"price","change","match_qtty","side","time","total_vol"
12.6,-0.1,400,"","14:45:02",61200
12.6,-0.1,4500,"bu","13:59:32",60800
12.6,-0.1,100,"bu","11:14:56",56300
12.3,-0.4,400,"sd","10:57:47",56200
12.3,-0.4,4600,"bu","10:57:35",55800
12.3,-0.4,5000,"sd","10:43:36",51200
12.3,-0.4,3800,"sd","10:38:40",46200
12.4,-0.3,600,"","10:25:10",42400
12.4,-0.3,400,"bu","10:18:56",41800
12.2,-0.5,4500,"sd","10:03:33",41400
12.2,-0.5,2000,"bu","10:03:25",36900
12.2,-0.5,5000,"bu","10:03:15",34900
12.2,-0.5,500,"bu","10:03:13",29900
12.2,-0.5,100,"bu","10:03:04",29400
12.2,-0.5,1000,"bu","10:02:55",29300
12.2,-0.5,100,"bu","10:01:43",28300
12.2,-0.5,200,"bu","10:01:28",28200
12.2,-0.5,1000,"bu","10:01:00",28000
12.2,-0.5,200,"bu","09:59:55",27000
12.2,-0.5,10600,"sd","09:59:03",26800
12.2,-0.5,3200,"sd","09:58:01",16200
12.2,-0.5,2000,"sd","09:56:35",13000
12.2,-0.5,1000,"sd","09:54:36",11000
12.2,-0.5,10000,"sd","09:54:07",10000
12.9,0.1,2000,"bu","09:35:59",3400
12.9,0.1,700,"sd","09:27:11",1400
13,0.2,500,"bu","09:18:19",700
12.8,0,100,"bu","09:04:39",200
12.8,0,100,"bu","09:02:54",100
