"price","change","match_qtty","side","time","total_vol"
12.25,0.75,10000,"","14:45:01",34900
11.9,0.4,300,"bu","14:29:55",24900
12,0.5,100,"bu","14:24:59",23900
11.95,0.45,100,"bu","14:24:59",23800
11.8,0.3,200,"bu","14:24:59",23700
11.75,0.25,300,"bu","14:24:59",23500
11.7,0.2,5200,"bu","14:24:59",23200
11.65,0.15,100,"bu","14:24:59",18000
11.7,0.2,900,"bu","14:13:16",17900
11.7,0.2,100,"bu","14:08:05",16900
11.65,0.15,300,"bu","14:08:05",16800
11.6,0.1,100,"bu","14:08:05",16500
11.6,0.1,100,"sd","14:03:52",16400
11.6,0.1,300,"bu","14:03:31",16300
11.55,0.05,100,"bu","14:03:31",16000
11.7,0.2,100,"bu","13:59:30",15900
11.65,0.15,100,"bu","13:59:30",15800
11.6,0.1,100,"bu","13:59:30",15700
11.6,0.1,200,"bu","13:58:38",15600
11.55,0.05,200,"bu","13:58:38",15400
11.5,0,4000,"bu","13:58:38",15200
11.45,-0.05,100,"bu","13:58:38",11200
11.5,0,400,"bu","13:53:02",11100
11.45,-0.05,100,"bu","13:53:02",10700
11.45,-0.05,400,"bu","13:48:16",10600
11.4,-0.1,100,"bu","13:48:16",10200
11.4,-0.1,2300,"bu","13:47:21",10100
11.35,-0.15,100,"bu","13:47:21",7800
11.3,-0.2,100,"bu","13:47:21",7700
11.4,-0.1,500,"bu","11:01:35",7600
11.35,-0.15,100,"bu","11:01:35",7100
11.05,-0.45,900,"sd","10:44:03",7000
11.05,-0.45,100,"sd","10:44:02",6100
11.4,-0.1,1600,"bu","10:44:01",6000
11.35,-0.15,400,"bu","10:44:01",4400
11.4,-0.1,200,"bu","10:36:36",4000
11.35,-0.15,400,"bu","10:36:36",3800
11.35,-0.15,300,"sd","10:34:19",3400
11.35,-0.15,700,"bu","10:29:21",3100
11.4,-0.1,100,"bu","09:38:00",2400
11.35,-0.15,400,"bu","09:38:00",2300
11.35,-0.15,100,"bu","09:31:27",1900
11.35,-0.15,200,"sd","09:29:13",1800
11.35,-0.15,100,"bu","09:29:06",1600
11,-0.5,1500,"sd","09:25:26",1500
