"price","change","match_qtty","side","time","total_vol"
31.95,0.25,14600,"","14:45:00",869800
31.9,0.2,2000,"sd","14:27:51",855200
31.9,0.2,4000,"bu","14:26:18",853200
31.9,0.2,5000,"bu","14:26:01",849200
31.8,0.1,100,"sd","14:25:23",844200
31.8,0.1,800,"sd","14:20:07",844100
31.8,0.1,5000,"sd","14:18:48",843300
31.9,0.2,3000,"bu","14:12:27",838300
31.8,0.1,100,"sd","14:12:22",835300
31.8,0.1,1000,"sd","14:11:52",835200
31.8,0.1,3000,"sd","14:10:55",834200
31.8,0.1,1000,"sd","14:10:45",831200
31.9,0.2,2200,"bu","14:05:19",830200
31.8,0.1,1000,"sd","14:05:18",828000
31.8,0.1,2000,"sd","14:05:16",827000
31.8,0.1,10000,"sd","14:04:28",825000
31.9,0.2,2000,"bu","14:03:01",815000
31.9,0.2,2200,"bu","13:59:46",813000
31.9,0.2,1800,"bu","13:57:46",810800
31.8,0.1,10000,"sd","13:57:36",809000
31.9,0.2,2100,"bu","13:54:17",799000
31.9,0.2,2000,"bu","13:52:29",796900
31.9,0.2,1800,"bu","13:50:36",794900
31.8,0.1,5000,"sd","13:49:25",793100
31.9,0.2,2000,"bu","13:49:19",788100
31.8,0.1,10000,"sd","13:48:59",786100
31.9,0.2,2000,"bu","13:47:51",776100
31.9,0.2,3800,"bu","13:45:12",774100
31.9,0.2,1800,"bu","13:42:50",770300
31.8,0.1,1900,"sd","13:39:13",768500
31.8,0.1,1000,"sd","13:36:33",766600
31.8,0.1,9000,"sd","13:36:15",765600
31.8,0.1,5000,"sd","13:34:11",756600
31.9,0.2,1000,"bu","13:31:16",751600
31.85,0.15,1000,"bu","13:31:16",750600
31.85,0.15,3800,"bu","13:30:50",749600
31.85,0.15,3000,"bu","13:30:44",745800
31.85,0.15,1500,"bu","13:30:21",742800
31.8,0.1,1500,"bu","13:30:21",741300
31.8,0.1,1000,"bu","13:23:09",739800
31.8,0.1,800,"bu","13:23:03",738800
31.8,0.1,200,"bu","13:23:03",738000
31.8,0.1,500,"bu","13:22:57",737800
31.8,0.1,200,"bu","13:22:53",737300
31.8,0.1,3200,"bu","13:20:07",737100
31.7,0,500,"sd","13:19:30",733900
31.7,0,200,"sd","13:18:55",733400
31.7,0,2200,"bu","13:18:52",733200
31.7,0,3800,"bu","13:18:46",731000
31.65,-0.05,700,"bu","13:18:38",727200
31.65,-0.05,200,"sd","13:13:20",726500
31.65,-0.05,4800,"bu","13:13:14",726300
31.6,-0.1,100,"sd","13:13:11",721500
31.6,-0.1,2600,"bu","13:13:06",721400
31.6,-0.1,900,"bu","13:12:56",718800
31.5,-0.2,15100,"sd","13:11:43",717900
31.5,-0.2,10000,"sd","13:11:18",702800
31.5,-0.2,5500,"sd","13:10:55",692800
31.55,-0.15,9700,"sd","13:10:34",682800
31.6,-0.1,300,"sd","13:10:34",673100
31.6,-0.1,1300,"sd","13:03:06",672800
31.65,-0.05,1700,"bu","13:03:00",671500
31.65,-0.05,3500,"bu","11:27:26",669800
31.6,-0.1,7800,"bu","11:27:06",666300
31.6,-0.1,100,"bu","11:26:15",658500
31.6,-0.1,100,"bu","11:24:01",658400
31.5,-0.2,33000,"sd","11:23:31",658300
31.5,-0.2,4000,"sd","11:19:14",625300
31.5,-0.2,1000,"sd","11:18:56",621300
31.5,-0.2,60900,"sd","11:18:48",620300
31.5,-0.2,7000,"sd","11:17:27",559400
31.5,-0.2,5100,"sd","11:17:15",552400
31.5,-0.2,3700,"sd","11:15:07",547300
31.5,-0.2,10000,"sd","11:14:58",543600
31.5,-0.2,40000,"sd","11:14:15",533600
31.5,-0.2,20000,"sd","11:13:31",493600
31.5,-0.2,40000,"sd","11:12:56",473600
31.5,-0.2,47100,"sd","11:12:09",433600
31.5,-0.2,2900,"sd","11:12:08",386500
31.5,-0.2,43800,"sd","11:11:54",383600
31.5,-0.2,44900,"sd","11:11:28",339800
31.55,-0.15,100,"sd","11:11:28",294900
31.6,-0.1,100,"bu","10:54:36",294800
31.6,-0.1,3000,"sd","10:53:01",294700
31.75,0.05,7200,"bu","10:52:45",291700
31.75,0.05,5000,"bu","10:52:35",284500
31.6,-0.1,1400,"sd","10:47:53",279500
31.6,-0.1,1000,"sd","10:32:47",278100
31.6,-0.1,700,"sd","10:29:31",277100
31.65,-0.05,1800,"sd","10:25:43",276400
31.75,0.05,1400,"bu","10:21:28",274600
31.75,0.05,2600,"bu","10:21:20",273200
31.75,0.05,3000,"bu","10:21:12",270600
31.75,0.05,2300,"bu","10:21:03",267600
31.75,0.05,1200,"bu","10:20:44",265300
31.75,0.05,1000,"bu","10:20:26",264100
31.75,0.05,2500,"bu","10:20:22",263100
31.75,0.05,2100,"bu","10:20:19",260600
31.75,0.05,1200,"bu","10:14:43",258500
31.75,0.05,2800,"bu","10:14:34",257300
31.75,0.05,2200,"bu","10:14:31",254500
31.75,0.05,2400,"bu","10:14:25",252300
31.75,0.05,2700,"bu","10:14:23",249900
31.75,0.05,3000,"bu","10:14:14",247200
31.75,0.05,2000,"bu","10:14:08",244200
31.75,0.05,2400,"bu","10:14:01",242200
31.75,0.05,2700,"bu","10:13:48",239800
31.75,0.05,2300,"bu","10:13:38",237100
31.75,0.05,2000,"bu","10:13:17",234800
31.75,0.05,1700,"sd","10:11:37",232800
31.75,0.05,1500,"sd","10:11:27",231100
31.75,0.05,2000,"sd","10:10:57",229600
31.75,0.05,23000,"sd","10:10:24",227600
31.75,0.05,5800,"bu","10:10:19",204600
31.65,-0.05,3000,"sd","10:10:12",198800
31.75,0.05,5000,"bu","10:10:11",195800
31.75,0.05,7500,"bu","10:03:42",190800
31.75,0.05,6000,"bu","10:02:48",183300
31.75,0.05,1800,"bu","10:01:34",177300
31.75,0.05,8000,"bu","10:01:22",175500
31.75,0.05,6700,"bu","10:00:14",167500
31.75,0.05,6000,"bu","09:59:34",160800
31.75,0.05,7500,"bu","09:59:14",154800
31.75,0.05,8000,"bu","09:58:29",147300
31.75,0.05,6500,"bu","09:57:50",139300
31.75,0.05,7800,"bu","09:56:54",132800
31.75,0.05,7200,"bu","09:55:45",125000
31.75,0.05,8000,"bu","09:53:34",117800
31.65,-0.05,100,"sd","09:51:17",109800
31.75,0.05,2200,"bu","09:50:09",109700
31.7,0,4000,"bu","09:50:09",107500
31.7,0,400,"bu","09:49:16",103500
31.75,0.05,1500,"bu","09:46:50",103100
31.7,0,6000,"bu","09:46:50",101600
31.75,0.05,4500,"bu","09:45:29",95600
31.7,0,1500,"bu","09:45:29",91100
31.7,0,5500,"sd","09:45:15",89600
31.7,0,1000,"sd","09:44:54",84100
31.7,0,1000,"sd","09:44:08",83100
31.7,0,100,"sd","09:38:52",82100
31.75,0.05,600,"sd","09:36:53",82000
31.75,0.05,7000,"sd","09:36:20",81400
31.75,0.05,1000,"sd","09:35:09",74400
31.8,0.1,3000,"bu","09:31:09",73400
31.8,0.1,2800,"bu","09:31:03",70400
31.8,0.1,1000,"bu","09:27:19",67600
31.8,0.1,100,"bu","09:19:54",66600
31.8,0.1,500,"bu","09:19:53",66500
31.75,0.05,700,"bu","09:19:02",66000
31.75,0.05,5000,"bu","09:18:44",65300
31.75,0.05,4300,"bu","09:18:34",60300
31.75,0.05,6000,"bu","09:18:20",56000
31.75,0.05,6000,"bu","09:17:58",50000
31.75,0.05,4500,"bu","09:17:51",44000
31.75,0.05,3400,"bu","09:17:47",39500
31.7,0,1000,"sd","09:17:44",36100
31.75,0.05,5500,"bu","09:17:41",35100
31.7,0,2000,"sd","09:17:39",29600
31.75,0.05,6000,"bu","09:17:36",27600
31.7,0,1000,"sd","09:17:35",21600
31.7,0,1000,"sd","09:17:30",20600
31.7,0,400,"sd","09:17:08",19600
31.75,0.05,8600,"bu","09:15:54",19200
31.7,0,8900,"bu","09:15:54",10600
31.7,0,1700,"","09:15:00",1700
