"price","change","match_qtty","side","time","total_vol"
44.75,0.05,236000,"","14:45:01",1141200
44.3,-0.4,100,"bu","14:29:59",905200
44.35,-0.35,2000,"bu","14:29:39",905100
44.2,-0.5,500,"sd","14:29:35",903100
44.25,-0.45,4500,"sd","14:29:35",902600
44.35,-0.35,1000,"bu","14:29:33",898100
44.3,-0.4,1000,"sd","14:29:25",897100
44.3,-0.4,600,"sd","14:29:25",896100
44.3,-0.4,1000,"sd","14:29:24",895500
44.3,-0.4,200,"sd","14:29:22",894500
44.3,-0.4,2000,"sd","14:29:19",894300
44.3,-0.4,17300,"sd","14:29:12",892300
44.35,-0.35,2700,"sd","14:29:12",875000
44.35,-0.35,100,"sd","14:29:07",872300
44.35,-0.35,1000,"sd","14:28:49",872200
44.35,-0.35,1000,"bu","14:28:34",871200
44.35,-0.35,100,"bu","14:28:29",870200
44.35,-0.35,2000,"bu","14:28:27",870100
44.35,-0.35,500,"bu","14:28:16",868100
44.3,-0.4,6400,"sd","14:28:09",867600
44.3,-0.4,2000,"sd","14:28:05",861200
44.35,-0.35,800,"bu","14:28:01",859200
44.3,-0.4,1000,"sd","14:27:48",858400
44.35,-0.35,500,"bu","14:27:45",857400
44.3,-0.4,1200,"sd","14:27:42",856900
44.3,-0.4,5000,"sd","14:27:40",855700
44.3,-0.4,500,"sd","14:27:38",850700
44.35,-0.35,1000,"bu","14:27:36",850200
44.3,-0.4,1300,"sd","14:27:36",849200
44.3,-0.4,100,"sd","14:27:31",847900
44.35,-0.35,1000,"bu","14:27:25",847800
44.35,-0.35,1000,"bu","14:27:15",846800
44.35,-0.35,2000,"bu","14:27:15",845800
44.35,-0.35,8800,"sd","14:27:03",843700
44.35,-0.35,5000,"sd","14:26:55",834900
44.35,-0.35,500,"sd","14:26:51",829900
44.4,-0.3,500,"bu","14:26:35",829400
44.4,-0.3,2800,"sd","14:26:34",828900
44.4,-0.3,23000,"sd","14:26:15",826100
44.45,-0.25,100,"bu","14:26:01",803100
44.45,-0.25,200,"bu","14:25:58",803000
44.45,-0.25,1200,"bu","14:25:49",802800
44.45,-0.25,2300,"sd","14:25:38",801600
44.45,-0.25,5000,"sd","14:25:27",799300
44.45,-0.25,1700,"sd","14:25:17",794300
44.5,-0.2,300,"sd","14:25:17",792600
44.5,-0.2,900,"bu","14:24:33",792300
44.5,-0.2,1300,"sd","14:24:26",791400
44.5,-0.2,300,"bu","14:24:21",790100
44.5,-0.2,2000,"bu","14:24:19",789800
44.5,-0.2,200,"sd","14:24:08",787800
44.5,-0.2,200,"bu","14:23:54",787600
