"symbol","time","price","change","vol","total","side"
"VDS","14:45:01",16.7,-0.4,49800,1317500,
"VDS","14:29:30",16.8,-0.3,1700,1267700,"B"
"VDS","14:29:08",16.85,-0.25,200,1266000,"B"
"VDS","14:29:03",16.85,-0.25,1000,1265800,"B"
"VDS","14:27:28",16.95,-0.15,3000,1264800,"S"
"VDS","14:26:07",17,-0.1,5100,1261800,"S"
"VDS","14:26:05",17,-0.1,2000,1256700,"S"
"VDS","14:25:38",17,-0.1,3000,1254700,"S"
"VDS","14:25:14",16.95,-0.15,9500,1251700,"S"
"VDS","14:25:14",16.9,-0.2,5400,1242200,"S"
"VDS","14:25:04",16.9,-0.2,2000,1236800,"S"
"VDS","14:24:37",16.9,-0.2,200,1234800,"S"
"VDS","14:24:36",16.85,-0.25,1000,1234600,"S"
"VDS","14:24:33",16.85,-0.25,400,1233600,"B"
"VDS","14:24:28",16.9,-0.2,300,1233200,"S"
"VDS","14:24:21",16.9,-0.2,500,1232900,"S"
"VDS","14:24:17",16.85,-0.25,100,1232400,"B"
"VDS","14:23:53",16.85,-0.25,2600,1232300,"S"
"VDS","14:23:51",16.85,-0.25,1000,1229700,"S"
"VDS","14:23:34",16.85,-0.25,1500,1228700,"S"
"VDS","14:23:26",16.85,-0.25,5000,1227200,"S"
"VDS","14:22:41",16.85,-0.25,200,1222200,"S"
"VDS","14:21:59",16.8,-0.3,100,1222000,"B"
"VDS","14:21:51",16.8,-0.3,100,1221900,"B"
"VDS","14:21:42",16.85,-0.25,1700,1221800,"S"
"VDS","14:18:17",16.85,-0.25,100,1220100,"B"
"VDS","14:18:15",16.85,-0.25,100,1220000,"S"
"VDS","14:18:03",16.85,-0.25,6300,1219900,"S"
"VDS","14:17:28",16.8,-0.3,100,1213600,"B"
"VDS","14:16:55",16.8,-0.3,100,1213500,"S"
"VDS","14:15:16",16.85,-0.25,4000,1213400,"S"
"VDS","14:13:56",16.85,-0.25,700,1209400,"S"
"VDS","14:12:39",16.7,-0.4,9800,1208700,"S"
"VDS","14:11:07",16.65,-0.45,500,1198900,"S"
"VDS","14:11:01",16.65,-0.45,500,1198400,"S"
"VDS","14:10:34",16.65,-0.45,1000,1197900,"B"
"VDS","14:10:15",16.65,-0.45,2000,1196900,"S"
"VDS","14:08:48",16.6,-0.5,3800,1194900,"B"
"VDS","14:08:48",16.65,-0.45,2200,1191100,"B"
"VDS","14:08:31",16.65,-0.45,200,1188900,"B"
"VDS","14:07:44",16.65,-0.45,700,1188700,"B"
"VDS","14:07:35",16.65,-0.45,400,1188000,"B"
"VDS","14:07:33",16.65,-0.45,2000,1187600,"B"
"VDS","14:07:16",16.65,-0.45,400,1185600,"S"
"VDS","14:06:39",16.65,-0.45,1000,1185200,"S"
"VDS","14:06:34",16.65,-0.45,1600,1184200,"B"
"VDS","14:06:01",16.7,-0.4,2000,1182600,"B"
"VDS","14:06:01",16.7,-0.4,200,1180600,"B"
"VDS","14:05:57",16.7,-0.4,800,1180400,"B"
