"symbol","time","price","change","vol","total","side"
"VSH","14:45:04",44.8,0,700,21600,
"VSH","14:13:18",44.9,0.1,100,20900,"S"
"VSH","14:13:18",44.8,0,100,20800,"S"
"VSH","14:09:56",44.4,-0.4,100,20700,"S"
"VSH","14:07:57",44.4,-0.4,300,20600,"B"
"VSH","14:05:06",44.4,-0.4,200,20300,"B"
"VSH","14:03:56",44.8,0,500,20100,"S"
"VSH","13:47:04",44.8,0,300,19600,"S"
"VSH","13:26:52",44.8,0,200,19300,"B"
"VSH","13:12:40",44.8,0,300,19100,"S"
"VSH","13:11:52",44.8,0,100,18800,"B"
"VSH","13:10:11",44.8,0,400,18700,"S"
"VSH","13:09:43",44.8,0,100,18300,"S"
"VSH","11:25:21",44.2,-0.6,100,18200,"B"
"VSH","11:13:04",44.05,-0.75,500,18100,"B"
"VSH","11:12:05",44.1,-0.7,100,17600,"B"
"VSH","10:47:43",44,-0.8,8600,17500,"S"
"VSH","10:46:57",44,-0.8,2000,8900,"B"
"VSH","10:46:57",44.1,-0.7,1000,6900,"B"
"VSH","10:46:57",44.2,-0.6,2400,5900,"B"
"VSH","10:46:57",44.25,-0.55,100,3500,"B"
"VSH","10:46:57",44.3,-0.5,100,3400,"B"
"VSH","10:46:57",44.5,-0.3,2000,3300,"B"
"VSH","10:46:57",44.55,-0.25,300,1300,"B"
"VSH","09:31:48",44.1,-0.7,200,1000,"B"
"VSH","09:31:48",44.5,-0.3,600,800,"B"
"VSH","09:31:48",44.8,0,200,200,"B"
