"symbol","time","price","change","vol","total","side"
"ELC","14:45:00",19.5,-0.1,41400,483700,
"ELC","14:29:55",19.5,-0.1,1500,442300,"B"
"ELC","14:28:53",19.5,-0.1,300,440800,"S"
"ELC","14:28:27",19.45,-0.15,1300,440500,"S"
"ELC","14:28:25",19.4,-0.2,500,439200,"B"
"ELC","14:27:12",19.35,-0.25,900,438700,"B"
"ELC","14:27:12",19.4,-0.2,800,437800,"B"
"ELC","14:26:54",19.4,-0.2,200,437000,"S"
"ELC","14:26:50",19.4,-0.2,100,436800,"S"
"ELC","14:26:43",19.4,-0.2,1000,436700,"S"
"ELC","14:26:29",19.35,-0.25,2000,435700,"B"
"ELC","14:25:57",19.4,-0.2,100,433700,"B"
"ELC","14:25:51",19.4,-0.2,200,433600,"B"
"ELC","14:24:38",19.4,-0.2,2500,433400,"B"
"ELC","14:24:37",19.4,-0.2,500,430900,"B"
"ELC","14:24:23",19.4,-0.2,600,430400,"B"
"ELC","14:23:40",19.45,-0.15,700,429800,"B"
"ELC","14:23:30",19.45,-0.15,400,429100,"B"
"ELC","14:23:16",19.45,-0.15,1000,428700,"B"
"ELC","14:22:59",19.45,-0.15,1000,427700,"S"
"ELC","14:22:43",19.45,-0.15,1000,426700,"S"
"ELC","14:22:25",19.4,-0.2,400,425700,"S"
"ELC","14:22:00",19.4,-0.2,100,425300,"S"
"ELC","14:21:44",19.4,-0.2,200,425200,"S"
"ELC","14:21:32",19.4,-0.2,1300,425000,"B"
"ELC","14:20:49",19.4,-0.2,600,423700,"B"
"ELC","14:20:10",19.4,-0.2,3100,423100,"B"
"ELC","14:20:10",19.45,-0.15,400,420000,"B"
"ELC","14:19:24",19.45,-0.15,5900,419600,"B"
"ELC","14:19:24",19.5,-0.1,100,413700,"B"
"ELC","14:19:01",19.5,-0.1,800,413600,"B"
"ELC","14:18:43",19.5,-0.1,100,412800,"B"
"ELC","14:18:35",19.5,-0.1,300,412700,"B"
"ELC","14:18:32",19.5,-0.1,2000,412400,"B"
"ELC","14:18:04",19.5,-0.1,700,410400,"B"
"ELC","14:17:37",19.5,-0.1,700,409700,"B"
"ELC","14:17:31",19.5,-0.1,2600,409000,"B"
"ELC","14:14:49",19.55,-0.05,200,406400,"S"
"ELC","14:13:15",19.55,-0.05,100,406200,"S"
"ELC","14:12:13",19.5,-0.1,1600,406100,"S"
"ELC","14:12:08",19.5,-0.1,500,404500,"B"
"ELC","14:11:25",19.5,-0.1,300,404000,"B"
"ELC","14:11:02",19.5,-0.1,400,403700,"B"
"ELC","14:10:56",19.5,-0.1,2000,403300,"B"
"ELC","14:10:08",19.6,0,100,401300,"S"
"ELC","14:09:27",19.5,-0.1,3000,401200,"B"
"ELC","14:09:10",19.5,-0.1,18800,398200,"B"
"ELC","14:08:55",19.5,-0.1,5000,379400,"B"
"ELC","14:08:41",19.5,-0.1,200,374400,"B"
"ELC","14:08:14",19.5,-0.1,1000,374200,"B"
"ELC","14:08:09",19.5,-0.1,1500,373200,"B"
"ELC","14:07:42",19.5,-0.1,1000,371700,"B"
"ELC","14:06:25",19.55,-0.05,10600,370700,"B"
"ELC","14:06:13",19.6,0,200,360100,"S"
"ELC","14:04:59",19.6,0,100,359900,"S"
"ELC","14:03:52",19.6,0,100,359800,"S"
"ELC","14:02:26",19.6,0,800,359700,"B"
"ELC","14:01:27",19.6,0,2000,358900,"B"
"ELC","14:01:26",19.6,0,300,356900,"B"
"ELC","14:01:02",19.6,0,3000,356600,"B"
"ELC","14:00:47",19.6,0,200,353600,"B"
"ELC","13:57:18",19.6,0,2000,353400,"B"
"ELC","13:52:39",19.6,0,1000,351400,"B"
"ELC","13:51:56",19.65,0.05,500,350400,"S"
