"symbol","time","price","change","vol","total","side"
"AAV","14:45:00",4.3,0,11900,329500,
"AAV","14:29:55",4.4,0.1,100,317600,
"AAV","14:17:42",4.3,0,100,317500,
"AAV","14:16:31",4.3,0,1000,317400,
"AAV","14:15:40",4.3,0,100,316400,
"AAV","14:09:52",4.4,0.1,1000,316300,
"AAV","14:06:28",4.4,0.1,100,315300,
"AAV","14:02:55",4.3,0,500,315200,
"AAV","13:54:30",4.3,0,100,314700,
"AAV","13:50:35",4.3,0,800,314600,
"AAV","13:49:20",4.3,0,6000,313800,
"AAV","13:41:57",4.3,0,500,307800,
"AAV","13:41:11",4.3,0,5000,307300,
"AAV","13:36:50",4.2,-0.1,1000,302300,
"AAV","13:36:28",4.2,-0.1,1300,301300,
"AAV","13:36:12",4.2,-0.1,1800,300000,
"AAV","13:33:58",4.3,0,100,298200,
"AAV","13:33:24",4.3,0,100,298100,
"AAV","13:31:28",4.3,0,2200,298000,
"AAV","13:30:59",4.3,0,2800,295800,
"AAV","13:29:44",4.3,0,100,293000,
"AAV","13:29:19",4.3,0,17300,292900,
"AAV","13:17:44",4.3,0,500,275600,
"AAV","13:09:58",4.3,0,200,275100,
"AAV","13:08:50",4.3,0,3000,274900,
"AAV","13:08:04",4.3,0,500,271900,
"AAV","13:07:57",4.3,0,5000,271400,
"AAV","13:07:29",4.3,0,5000,266400,
"AAV","13:05:59",4.3,0,100,261400,
"AAV","13:05:52",4.3,0,9000,261300,
"AAV","13:04:36",4.3,0,2500,252300,
"AAV","13:04:10",4.3,0,500,249800,
"AAV","13:03:44",4.3,0,7300,249300,
"AAV","13:00:04",4.3,0,25000,242000,
"AAV","11:28:42",4.3,0,1000,217000,
"AAV","11:27:54",4.3,0,1000,216000,
"AAV","11:04:53",4.4,0.1,2000,215000,
"AAV","11:00:24",4.4,0.1,500,213000,
"AAV","10:59:37",4.3,0,5000,212500,
"AAV","10:43:16",4.3,0,7100,207500,
"AAV","10:43:15",4.3,0,5000,200400,
"AAV","10:43:12",4.3,0,1000,195400,
"AAV","10:42:34",4.3,0,1000,194400,
"AAV","10:42:21",4.3,0,300,193400,
"AAV","10:41:35",4.3,0,1000,193100,
"AAV","10:39:29",4.3,0,2000,192100,
"AAV","10:36:22",4.3,0,2000,190100,
"AAV","10:36:15",4.3,0,27500,188100,
"AAV","10:36:01",4.3,0,300,160600,
"AAV","10:34:47",4.3,0,69700,160300,
"AAV","10:29:09",4.4,0.1,5000,90600,
"AAV","10:28:54",4.4,0.1,10000,85600,
"AAV","10:02:28",4.4,0.1,2000,75600,
"AAV","10:01:31",4.3,0,10000,73600,
"AAV","09:57:39",4.3,0,300,63600,
"AAV","09:52:04",4.3,0,100,63300,
"AAV","09:51:18",4.4,0.1,700,63200,
"AAV","09:42:50",4.4,0.1,2900,62500,
"AAV","09:35:24",4.4,0.1,100,59600,
"AAV","09:35:00",4.4,0.1,400,59500,
"AAV","09:34:45",4.4,0.1,19600,59100,
"AAV","09:33:03",4.4,0.1,100,39500,
"AAV","09:32:52",4.4,0.1,8000,39400,
"AAV","09:25:47",4.5,0.2,200,31400,
"AAV","09:25:23",4.5,0.2,2000,31200,
"AAV","09:21:01",4.4,0.1,300,29200,
"AAV","09:17:58",4.4,0.1,100,28900,
"AAV","09:17:57",4.4,0.1,5000,28800,
"AAV","09:15:18",4.4,0.1,500,23800,
"AAV","09:13:58",4.4,0.1,4600,23300,
"AAV","09:10:01",4.4,0.1,3300,18700,
"AAV","09:09:54",4.4,0.1,5000,15400,
"AAV","09:08:41",4.4,0.1,10000,10400,
"AAV","09:00:05",4.3,0,300,400,
"AAV","09:00:04",4.3,0,100,100,
