"symbol","time","price","change","vol","total","side"
"DXP","14:45:00",12.6,-0.2,20300,264400,
"DXP","14:29:34",12.9,0.1,3100,244100,
"DXP","14:29:23",12.8,0,5000,241000,
"DXP","14:26:59",12.8,0,2300,236000,
"DXP","14:23:20",12.8,0,1600,233700,
"DXP","14:23:12",12.8,0,3800,232100,
"DXP","14:21:30",12.8,0,100,228300,
"DXP","14:21:02",12.8,0,2500,228200,
"DXP","14:20:08",12.8,0,5500,225700,
"DXP","14:19:41",12.8,0,3500,220200,
"DXP","14:19:24",12.8,0,10000,216700,
"DXP","14:19:21",12.8,0,100,206700,
"DXP","14:18:57",12.7,-0.1,200,206600,
"DXP","14:16:20",12.8,0,200,206400,
"DXP","14:11:52",12.8,0,3200,206200,
"DXP","14:04:30",12.8,0,500,203000,
"DXP","13:59:48",12.8,0,100,202500,
"DXP","13:59:44",12.7,-0.1,100,202400,
"DXP","13:53:08",12.8,0,2500,202300,
"DXP","13:39:45",12.7,-0.1,200,199800,
"DXP","13:37:04",12.8,0,2000,199600,
"DXP","13:34:49",12.7,-0.1,800,197600,
"DXP","13:22:16",12.8,0,1900,196800,
"DXP","13:21:13",12.8,0,100,194900,
"DXP","13:19:11",12.8,0,500,194800,
"DXP","13:18:18",12.8,0,5500,194300,
"DXP","13:16:56",12.8,0,5600,188800,
"DXP","13:11:29",12.7,-0.1,1400,183200,
"DXP","13:10:30",12.7,-0.1,6500,181800,
"DXP","13:09:35",12.7,-0.1,1000,175300,
"DXP","13:09:34",12.7,-0.1,300,174300,
"DXP","13:09:03",12.7,-0.1,500,174000,
"DXP","13:04:12",12.7,-0.1,300,173500,
"DXP","13:03:49",12.6,-0.2,1000,173200,
"DXP","13:02:46",12.6,-0.2,1500,172200,
"DXP","13:02:44",12.6,-0.2,3000,170700,
"DXP","13:01:47",12.7,-0.1,1000,167700,
"DXP","13:00:04",12.7,-0.1,300,166700,
"DXP","13:00:02",12.7,-0.1,200,166400,
"DXP","11:29:38",12.7,-0.1,1500,166200,
"DXP","11:29:00",12.7,-0.1,500,164700,
"DXP","11:27:54",12.7,-0.1,1000,164200,
"DXP","11:26:48",12.7,-0.1,1000,163200,
"DXP","11:24:32",12.6,-0.2,300,162200,
"DXP","11:24:11",12.6,-0.2,300,161900,
"DXP","11:23:26",12.7,-0.1,200,161600,
"DXP","11:23:04",12.7,-0.1,1000,161400,
"DXP","11:18:21",12.7,-0.1,3500,160400,
"DXP","11:17:10",12.7,-0.1,3000,156900,
"DXP","11:15:26",12.7,-0.1,1000,153900,
"DXP","11:15:25",12.7,-0.1,1300,152900,
"DXP","11:09:12",12.7,-0.1,1000,151600,
"DXP","11:08:13",12.7,-0.1,12000,150600,
"DXP","11:06:57",12.7,-0.1,200,138600,
"DXP","11:06:05",12.7,-0.1,2600,138400,
"DXP","11:05:54",12.7,-0.1,2000,135800,
"DXP","11:05:51",12.7,-0.1,3200,133800,
"DXP","11:05:35",12.7,-0.1,5200,130600,
"DXP","11:02:43",12.7,-0.1,1000,125400,
"DXP","11:02:13",12.7,-0.1,1000,124400,
"DXP","11:01:31",12.7,-0.1,3000,123400,
"DXP","10:40:46",12.8,0,1900,120400,
"DXP","10:30:31",12.8,0,5000,118500,
"DXP","10:30:09",12.8,0,200,113500,
"DXP","10:29:43",12.8,0,3000,113300,
"DXP","10:08:44",12.8,0,1400,110300,
"DXP","10:07:02",12.8,0,5000,108900,
"DXP","10:05:28",12.8,0,1000,103900,
"DXP","10:01:03",12.8,0,3000,102900,
"DXP","09:53:22",12.8,0,400,99900,
"DXP","09:51:33",12.7,-0.1,1000,99500,
"DXP","09:49:07",12.8,0,1000,98500,
"DXP","09:48:30",12.8,0,500,97500,
"DXP","09:48:12",12.8,0,12200,97000,
"DXP","09:47:01",12.8,0,100,84800,
"DXP","09:41:09",12.9,0.1,3000,84700,
"DXP","09:39:35",12.9,0.1,20000,81700,
"DXP","09:39:13",12.9,0.1,20000,61700,
"DXP","09:38:09",12.8,0,500,41700,
"DXP","09:37:44",12.8,0,2500,41200,
"DXP","09:37:39",12.8,0,500,38700,
"DXP","09:36:48",12.8,0,28000,38200,
"DXP","09:20:58",12.8,0,1000,10200,
"DXP","09:17:28",12.8,0,1900,9200,
"DXP","09:17:12",12.8,0,2000,7300,
"DXP","09:16:59",12.8,0,5300,5300,
