"symbol","time","price","change","vol","total","side"
"VHM","14:45:01",41.05,0.05,302400,6169100,
"VHM","14:29:55",41.1,0.1,1000,5866700,"B"
"VHM","14:29:54",41.1,0.1,500,5865700,"B"
"VHM","14:29:50",41.1,0.1,6900,5865200,"S"
"VHM","14:29:50",41.05,0.05,10000,5858300,"B"
"VHM","14:29:49",41.1,0.1,1000,5848300,"S"
"VHM","14:29:49",41.1,0.1,500,5847300,"S"
"VHM","14:29:48",41.1,0.1,800,5846800,"S"
"VHM","14:29:45",41.1,0.1,10000,5846000,"S"
"VHM","14:29:41",41.1,0.1,500,5836000,"S"
"VHM","14:29:39",41.1,0.1,500,5835500,"S"
"VHM","14:29:35",41.1,0.1,500,5835000,"S"
"VHM","14:29:32",41.1,0.1,2000,5834500,"S"
"VHM","14:29:30",41.05,0.05,100,5832500,"B"
"VHM","14:29:27",41.05,0.05,1000,5832400,"B"
"VHM","14:29:24",41.05,0.05,1000,5831400,"B"
"VHM","14:29:22",41.1,0.1,1000,5830400,"S"
"VHM","14:29:21",41.1,0.1,100,5829400,"S"
"VHM","14:29:20",41.05,0.05,300,5829300,"B"
"VHM","14:29:18",41.1,0.1,500,5829000,"S"
"VHM","14:29:17",41.1,0.1,7000,5828500,"S"
"VHM","14:29:16",41.1,0.1,3400,5821500,"S"
"VHM","14:29:13",41.05,0.05,500,5818100,"B"
"VHM","14:29:12",41.1,0.1,20000,5817600,"S"
"VHM","14:29:08",41.1,0.1,100,5797600,"S"
"VHM","14:29:05",41.1,0.1,200,5797500,"S"
"VHM","14:29:04",41.1,0.1,5000,5797300,"S"
"VHM","14:28:59",41.1,0.1,100,5792300,"S"
"VHM","14:28:51",41.1,0.1,500,5792200,"S"
"VHM","14:28:48",41.1,0.1,200,5791700,"S"
"VHM","14:28:47",41.1,0.1,200,5791500,"S"
"VHM","14:28:46",41.1,0.1,2000,5791300,"S"
"VHM","14:28:46",41.1,0.1,500,5789300,"S"
"VHM","14:28:42",41.1,0.1,50000,5788800,"S"
"VHM","14:28:41",41.1,0.1,2000,5738800,"S"
"VHM","14:28:37",41.05,0.05,2300,5736800,"B"
"VHM","14:28:33",41.05,0.05,20000,5734500,"B"
"VHM","14:28:30",41.05,0.05,100,5714500,"B"
"VHM","14:28:30",41.1,0.1,500,5714400,"S"
"VHM","14:28:22",41.1,0.1,25000,5713900,"S"
"VHM","14:28:20",41.05,0.05,500,5688900,"B"
"VHM","14:28:18",41.1,0.1,6600,5688400,"S"
"VHM","14:28:18",41.1,0.1,500,5681800,"S"
"VHM","14:28:13",41.05,0.05,800,5681300,"B"
"VHM","14:28:12",41.05,0.05,2000,5680500,"B"
"VHM","14:28:05",41.05,0.05,500,5678500,"B"
"VHM","14:27:57",41.05,0.05,300,5678000,"B"
"VHM","14:27:56",41.05,0.05,36200,5677700,"B"
"VHM","14:27:55",41.05,0.05,6000,5641500,"B"
"VHM","14:27:55",41.1,0.1,11400,5635500,"S"
"VHM","14:27:51",41.05,0.05,3000,5624100,"B"
"VHM","14:27:51",41.1,0.1,24600,5621100,"S"
"VHM","14:27:51",41.1,0.1,400,5596500,"S"
"VHM","14:27:44",41.1,0.1,1000,5596100,"S"
"VHM","14:27:35",41.05,0.05,1000,5595100,"B"
"VHM","14:27:32",41.05,0.05,800,5594100,"B"
"VHM","14:27:28",41.1,0.1,400,5593300,"S"
"VHM","14:27:27",41.1,0.1,200,5592900,"S"
"VHM","14:27:23",41.1,0.1,100,5592700,"S"
"VHM","14:27:21",41.1,0.1,3000,5592600,"S"
"VHM","14:27:20",41.1,0.1,300,5589600,"S"
"VHM","14:27:18",41.1,0.1,1000,5589300,"S"
"VHM","14:27:15",41.1,0.1,3000,5588300,"S"
"VHM","14:27:12",41.1,0.1,20500,5585300,"S"
"VHM","14:27:10",41.1,0.1,2500,5564800,"S"
"VHM","14:27:08",41.1,0.1,100,5562300,"S"
"VHM","14:27:07",41.1,0.1,900,5562200,"S"
"VHM","14:27:06",41.1,0.1,2000,5561300,"S"
"VHM","14:27:00",41.1,0.1,400,5559300,"S"
"VHM","14:26:58",41.1,0.1,1000,5558900,"S"
"VHM","14:26:56",41.1,0.1,3100,5557900,"S"
"VHM","14:26:53",41.1,0.1,30000,5554800,"S"
"VHM","14:26:52",41.1,0.1,25000,5524800,"S"
"VHM","14:26:50",41.1,0.1,2200,5499800,"S"
"VHM","14:26:49",41.1,0.1,9000,5495700,"S"
"VHM","14:26:48",41.1,0.1,1000,5486700,"S"
"VHM","14:26:48",41.1,0.1,12900,5485700,"S"
"VHM","14:26:47",41.1,0.1,10000,5472800,"S"
"VHM","14:26:46",41.1,0.1,3700,5462800,"S"
"VHM","14:26:46",41.05,0.05,8900,5459100,"B"
"VHM","14:26:45",41.1,0.1,2700,5450200,"S"
"VHM","14:26:42",41.1,0.1,1300,5447500,"S"
"VHM","14:26:40",41.1,0.1,3000,5446200,"S"
"VHM","14:26:39",41.1,0.1,2200,5443200,"S"
"VHM","14:26:38",41.1,0.1,89200,5441000,"S"
"VHM","14:26:37",41.1,0.1,48100,5351800,"S"
"VHM","14:26:36",41.05,0.05,100,5303700,"B"
"VHM","14:26:33",41.1,0.1,2200,5303600,"S"
"VHM","14:26:32",41.1,0.1,1000,5301400,"S"
"VHM","14:26:31",41.05,0.05,500,5300400,"B"
"VHM","14:26:30",41.1,0.1,2000,5299900,"S"
"VHM","14:26:27",41.1,0.1,2200,5297900,"S"
"VHM","14:26:25",41.1,0.1,8500,5295700,"S"
"VHM","14:26:20",41.1,0.1,2800,5287200,"S"
"VHM","14:26:16",41.1,0.1,2000,5284400,"S"
"VHM","14:26:15",41.1,0.1,2200,5282400,"S"
"VHM","14:26:10",41.1,0.1,2000,5280200,"S"
"VHM","14:26:09",41.1,0.1,2200,5278200,"S"
"VHM","14:26:03",41.1,0.1,2200,5276000,"S"
"VHM","14:26:02",41.1,0.1,1500,5273800,"S"
"VHM","14:25:54",41.1,0.1,2200,5272300,"S"
"VHM","14:25:51",41.05,0.05,3000,5270100,"B"
"VHM","14:25:49",41.05,0.05,10000,5267100,"B"
"VHM","14:25:48",41.1,0.1,2200,5257100,"S"
"VHM","14:25:41",41.1,0.1,2200,5254900,"S"
"VHM","14:25:35",41.1,0.1,2500,5252700,"S"
"VHM","14:25:35",41.05,0.05,200,5250200,"B"
"VHM","14:25:34",41.1,0.1,1400,5250000,"S"
"VHM","14:25:31",41.1,0.1,1000,5248600,"S"
"VHM","14:25:26",41.05,0.05,200,5247600,"B"
"VHM","14:25:23",41.1,0.1,2200,5247400,"S"
"VHM","14:25:22",41.05,0.05,200,5245200,"B"
"VHM","14:25:18",41.1,0.1,300,5245000,"S"
"VHM","14:24:54",41.05,0.05,300,5244700,"B"
"VHM","14:24:51",41.05,0.05,100,5244400,"B"
"VHM","14:24:42",41.05,0.05,1000,5244300,"B"
"VHM","14:24:39",41.1,0.1,1400,5243300,"S"
