"symbol","time","price","change","vol","total","side"
"PVT","14:45:02",25.3,-0.35,108500,3476100,
"PVT","14:29:58",25.35,-0.3,2000,3367600,"B"
"PVT","14:29:53",25.35,-0.3,4500,3365600,"S"
"PVT","14:29:52",25.35,-0.3,3000,3361100,"S"
"PVT","14:29:50",25.3,-0.35,6900,3358100,"B"
"PVT","14:29:43",25.35,-0.3,300,3351200,"S"
"PVT","14:29:39",25.35,-0.3,700,3350900,"S"
"PVT","14:29:22",25.35,-0.3,6500,3350200,"B"
"PVT","14:29:18",25.35,-0.3,5000,3343700,"B"
"PVT","14:29:12",25.4,-0.25,500,3338700,"S"
"PVT","14:29:04",25.35,-0.3,2100,3338200,"S"
"PVT","14:28:57",25.35,-0.3,1000,3336100,"S"
"PVT","14:28:55",25.35,-0.3,1000,3335100,"S"
"PVT","14:28:52",25.35,-0.3,300,3334100,"S"
"PVT","14:28:49",25.3,-0.35,1000,3333800,"B"
"PVT","14:28:33",25.3,-0.35,1000,3332800,"B"
"PVT","14:28:27",25.35,-0.3,2000,3331800,"B"
"PVT","14:28:14",25.35,-0.3,10000,3329800,"S"
"PVT","14:28:11",25.35,-0.3,4400,3319800,"B"
"PVT","14:28:07",25.4,-0.25,100,3315400,"S"
"PVT","14:28:02",25.4,-0.25,800,3315300,"S"
"PVT","14:28:00",25.4,-0.25,300,3314500,"S"
"PVT","14:27:56",25.4,-0.25,100,3314200,"S"
"PVT","14:27:54",25.4,-0.25,6800,3314100,"B"
"PVT","14:27:42",25.4,-0.25,2000,3307300,"B"
"PVT","14:27:41",25.45,-0.2,200,3305300,"S"
"PVT","14:27:18",25.4,-0.25,200,3305100,"B"
"PVT","14:27:04",25.4,-0.25,300,3304900,"B"
"PVT","14:26:59",25.4,-0.25,19200,3304600,"S"
"PVT","14:26:55",25.4,-0.25,300,3285400,"S"
"PVT","14:26:47",25.4,-0.25,200,3285100,"S"
"PVT","14:26:36",25.35,-0.3,900,3284900,"S"
"PVT","14:26:32",25.35,-0.3,100,3284000,"S"
"PVT","14:26:31",25.3,-0.35,800,3283900,"B"
"PVT","14:26:26",25.35,-0.3,1000,3283100,"S"
"PVT","14:26:25",25.3,-0.35,2500,3282100,"B"
"PVT","14:26:16",25.3,-0.35,200,3279600,"S"
"PVT","14:26:12",25.25,-0.4,2700,3279400,"B"
"PVT","14:26:11",25.3,-0.35,500,3276700,"S"
"PVT","14:26:06",25.3,-0.35,5200,3276200,"B"
"PVT","14:26:04",25.3,-0.35,4800,3271000,"S"
"PVT","14:26:01",25.3,-0.35,700,3266200,"S"
"PVT","14:25:51",25.3,-0.35,200,3265500,"S"
"PVT","14:25:40",25.3,-0.35,600,3265300,"S"
"PVT","14:25:38",25.3,-0.35,500,3264700,"S"
"PVT","14:25:31",25.25,-0.4,100,3264200,"B"
"PVT","14:25:27",25.3,-0.35,2000,3264100,"S"
"PVT","14:25:18",25.3,-0.35,11500,3262100,"S"
"PVT","14:25:13",25.25,-0.4,200,3250600,"B"
"PVT","14:25:07",25.3,-0.35,200,3250400,"S"
"PVT","14:25:00",25.3,-0.35,1000,3250200,"S"
"PVT","14:24:59",25.3,-0.35,200,3249200,"S"
"PVT","14:24:58",25.25,-0.4,1000,3249000,"B"
"PVT","14:24:51",25.3,-0.35,1100,3248000,"S"
"PVT","14:24:47",25.3,-0.35,200,3246900,"S"
"PVT","14:24:47",25.3,-0.35,2000,3246700,"S"
"PVT","14:24:43",25.3,-0.35,200,3244700,"S"
"PVT","14:24:40",25.3,-0.35,100,3240500,"S"
"PVT","14:24:33",25.3,-0.35,3400,3240400,"B"
"PVT","14:24:32",25.3,-0.35,1000,3237000,"B"
"PVT","14:24:13",25.3,-0.35,100,3236000,"B"
"PVT","14:24:06",25.3,-0.35,200,3235900,"B"
"PVT","14:23:57",25.3,-0.35,600,3235700,"B"
"PVT","14:23:50",25.3,-0.35,500,3235100,"B"
"PVT","14:23:46",25.3,-0.35,500,3234600,"B"
"PVT","14:23:44",25.3,-0.35,7900,3234100,"S"
"PVT","14:23:43",25.25,-0.4,16000,3226200,"B"
"PVT","14:23:42",25.3,-0.35,1000,3210200,"S"
"PVT","14:23:37",25.3,-0.35,100,3209200,"S"
"PVT","14:23:24",25.3,-0.35,100,3209100,"S"
"PVT","14:23:19",25.25,-0.4,1000,3209000,"B"
"PVT","14:23:19",25.3,-0.35,12000,3208000,"S"
"PVT","14:23:18",25.3,-0.35,400,3196000,"S"
"PVT","14:23:09",25.3,-0.35,1000,3195600,"S"
"PVT","14:23:04",25.3,-0.35,2000,3194600,"S"
"PVT","14:23:01",25.3,-0.35,500,3192600,"S"
"PVT","14:22:55",25.3,-0.35,2200,3192100,"S"
"PVT","14:22:53",25.25,-0.4,4000,3189900,"B"
"PVT","14:22:47",25.25,-0.4,2000,3185900,"B"
"PVT","14:22:34",25.3,-0.35,1000,3183900,"S"
"PVT","14:22:30",25.25,-0.4,3000,3182900,"B"
"PVT","14:22:28",25.25,-0.4,5000,3179900,"B"
"PVT","14:22:12",25.25,-0.4,3000,3174900,"B"
"PVT","14:22:10",25.3,-0.35,100,3171900,"S"
"PVT","14:22:05",25.25,-0.4,2000,3171800,"B"
"PVT","14:22:05",25.3,-0.35,300,3169800,"S"
"PVT","14:22:04",25.25,-0.4,500,3169500,"B"
"PVT","14:22:02",25.3,-0.35,100,3169000,"S"
"PVT","14:22:01",25.25,-0.4,2000,3168900,"B"
"PVT","14:22:00",25.3,-0.35,1000,3166900,"S"
"PVT","14:21:56",25.3,-0.35,100,3165900,"S"
"PVT","14:21:48",25.3,-0.35,500,3165800,"S"
"PVT","14:21:47",25.25,-0.4,200,3165300,"B"
"PVT","14:21:40",25.3,-0.35,500,3165100,"S"
"PVT","14:21:39",25.3,-0.35,500,3164600,"S"
"PVT","14:21:37",25.3,-0.35,3800,3164100,"S"
"PVT","14:21:34",25.3,-0.35,100,3160300,"S"
"PVT","14:21:31",25.3,-0.35,2900,3160200,"S"
"PVT","14:21:29",25.3,-0.35,100,3157300,"S"
"PVT","14:21:25",25.3,-0.35,1500,3157200,"B"
"PVT","14:21:24",25.3,-0.35,5000,3155700,"B"
"PVT","14:21:22",25.3,-0.35,300,3150700,"B"
"PVT","14:21:18",25.3,-0.35,200,3150400,"B"
"PVT","14:21:16",25.3,-0.35,16200,3150200,"B"
"PVT","14:21:13",25.3,-0.35,10000,3134000,"B"
"PVT","14:21:09",25.3,-0.35,25500,3124000,"B"
"PVT","14:20:58",25.3,-0.35,3300,3098500,"B"
"PVT","14:20:50",25.3,-0.35,200,3095200,"B"
"PVT","14:20:44",25.35,-0.3,24600,3095000,"B"
"PVT","14:20:40",25.35,-0.3,300,3070400,"B"
"PVT","14:20:37",25.4,-0.25,200,3070100,"S"
"PVT","14:19:47",25.4,-0.25,1000,3069900,"B"
"PVT","14:19:47",25.4,-0.25,500,3068900,"B"
"PVT","14:19:45",25.4,-0.25,100,3068400,"B"
"PVT","14:19:38",25.4,-0.25,1000,3068300,"B"
"PVT","14:19:30",25.4,-0.25,11000,3067300,"B"
"PVT","14:19:15",25.4,-0.25,1000,3056300,"B"
"PVT","14:19:02",25.4,-0.25,2000,3055300,"B"
