"symbol","time","price","change","vol","total","side"
"SRA","14:45:03",3.7,0.2,6200,1005000,
"SRA","14:28:02",3.6,0.1,10600,998800,
"SRA","14:26:00",3.7,0.2,600,988200,
"SRA","14:25:30",3.6,0.1,400,987600,
"SRA","14:24:34",3.6,0.1,4000,987200,
"SRA","14:24:27",3.6,0.1,16000,983200,
"SRA","14:24:22",3.6,0.1,2000,967200,
"SRA","14:23:50",3.6,0.1,14000,965200,
"SRA","14:23:45",3.6,0.1,5000,951200,
"SRA","14:23:19",3.6,0.1,2000,946200,
"SRA","14:17:36",3.6,0.1,5000,944200,
"SRA","14:01:25",3.6,0.1,2200,939200,
"SRA","14:00:52",3.6,0.1,4000,937000,
"SRA","13:58:25",3.6,0.1,400,933000,
"SRA","13:57:41",3.6,0.1,8300,932600,
"SRA","13:57:34",3.6,0.1,8800,924300,
"SRA","13:57:11",3.6,0.1,200,915500,
"SRA","13:56:52",3.6,0.1,2400,915300,
"SRA","13:53:16",3.6,0.1,4000,912900,
"SRA","13:53:11",3.6,0.1,5300,908900,
"SRA","13:48:25",3.6,0.1,2000,903600,
"SRA","13:48:07",3.6,0.1,2000,901600,
"SRA","13:46:45",3.6,0.1,1000,899600,
"SRA","13:44:07",3.6,0.1,400,898600,
"SRA","13:40:47",3.6,0.1,2000,898200,
"SRA","13:40:23",3.6,0.1,1700,896200,
"SRA","13:38:39",3.6,0.1,1000,894500,
"SRA","13:36:43",3.6,0.1,10000,893500,
"SRA","13:31:17",3.6,0.1,500,883500,
"SRA","13:30:14",3.6,0.1,30000,883000,
"SRA","13:23:49",3.6,0.1,2000,853000,
"SRA","13:23:14",3.6,0.1,1000,851000,
"SRA","13:22:55",3.6,0.1,14000,850000,
"SRA","13:21:17",3.6,0.1,700,836000,
"SRA","13:17:25",3.6,0.1,2600,835300,
"SRA","13:17:16",3.7,0.2,1000,832700,
"SRA","13:16:52",3.7,0.2,500,831700,
"SRA","13:15:41",3.6,0.1,9000,831200,
"SRA","13:13:39",3.6,0.1,20000,822200,
"SRA","13:13:28",3.7,0.2,200,802200,
"SRA","13:11:55",3.7,0.2,1000,802000,
"SRA","13:09:44",3.7,0.2,100,801000,
"SRA","13:03:55",3.6,0.1,100,800900,
"SRA","13:03:27",3.6,0.1,300,800800,
"SRA","13:02:46",3.6,0.1,3000,800500,
"SRA","13:00:05",3.6,0.1,42700,797500,
"SRA","13:00:02",3.7,0.2,50000,754800,
"SRA","11:24:34",3.7,0.2,1200,704800,
"SRA","11:19:24",3.7,0.2,100,703600,
"SRA","11:10:41",3.6,0.1,100,703500,
"SRA","11:08:20",3.7,0.2,2000,703400,
"SRA","11:07:54",3.7,0.2,100,701400,
"SRA","11:07:38",3.7,0.2,100,701300,
"SRA","11:07:27",3.7,0.2,100,701200,
"SRA","11:07:23",3.7,0.2,100,701100,
"SRA","11:07:21",3.7,0.2,100,701000,
