"symbol","time","price","change","vol","total","side"
"DPR","14:45:00",29.3,-0.3,7000,81300,
"DPR","14:29:34",29.3,-0.3,4300,74300,"B"
"DPR","14:28:05",29.3,-0.3,3900,70000,"B"
"DPR","14:28:05",29.35,-0.25,2000,66100,"B"
"DPR","14:27:28",29.4,-0.2,6000,64100,"B"
"DPR","14:27:00",29.4,-0.2,700,58100,"B"
"DPR","14:26:09",29.4,-0.2,600,57400,"B"
"DPR","14:25:17",29.4,-0.2,600,56800,"B"
"DPR","14:24:35",29.4,-0.2,300,56200,"B"
"DPR","14:24:26",29.4,-0.2,600,55900,"B"
"DPR","14:23:35",29.4,-0.2,700,55300,"B"
"DPR","14:23:33",29.4,-0.2,200,54600,"B"
"DPR","14:22:44",29.4,-0.2,600,54400,"B"
"DPR","14:21:52",29.4,-0.2,600,53800,"B"
"DPR","14:21:34",29.45,-0.15,100,53200,"S"
"DPR","14:21:17",29.45,-0.15,100,53100,"S"
"DPR","14:21:15",29.45,-0.15,700,53000,"B"
"DPR","14:21:02",29.45,-0.15,700,52300,"B"
"DPR","14:20:23",29.5,-0.1,200,51600,"S"
"DPR","14:19:08",29.5,-0.1,1600,51400,"S"
"DPR","14:19:08",29.45,-0.15,400,49800,"S"
"DPR","14:19:08",29.45,-0.15,200,49400,"B"
"DPR","14:18:40",29.45,-0.15,2500,49200,"B"
"DPR","14:18:23",29.5,-0.1,1000,46700,"S"
"DPR","14:17:41",29.5,-0.1,1000,45700,"S"
"DPR","14:17:00",29.5,-0.1,1000,44700,"S"
"DPR","14:16:59",29.45,-0.15,200,43700,"B"
"DPR","14:16:47",29.45,-0.15,700,43500,"B"
"DPR","14:16:03",29.45,-0.15,1000,42800,"B"
"DPR","14:14:00",29.5,-0.1,1500,41800,"S"
"DPR","14:12:28",29.5,-0.1,100,40300,"S"
"DPR","14:10:10",29.5,-0.1,200,40200,"S"
"DPR","14:09:05",29.5,-0.1,400,40000,"S"
"DPR","14:09:04",29.5,-0.1,4600,39600,"S"
"DPR","14:08:32",29.5,-0.1,100,35000,"S"
"DPR","14:07:40",29.5,-0.1,200,34900,"S"
"DPR","14:07:12",29.5,-0.1,100,34700,"S"
"DPR","14:07:11",29.5,-0.1,300,34600,"S"
"DPR","14:06:12",29.5,-0.1,100,34300,"S"
"DPR","14:05:51",29.5,-0.1,500,34200,"S"
"DPR","14:05:43",29.5,-0.1,1000,33700,"S"
"DPR","14:02:58",29.5,-0.1,2000,32700,"S"
"DPR","14:01:16",29.5,-0.1,1000,30700,"S"
"DPR","14:01:04",29.45,-0.15,700,29700,"B"
"DPR","14:00:33",29.45,-0.15,1000,29000,"B"
"DPR","13:53:46",29.5,-0.1,1200,28000,"B"
"DPR","13:42:17",29.6,0,300,26800,"B"
"DPR","13:41:45",29.6,0,500,26500,"B"
"DPR","13:41:12",29.6,0,300,26000,"B"
"DPR","13:38:49",29.6,0,1000,25700,"S"
"DPR","13:38:04",29.5,-0.1,200,24700,"S"
"DPR","13:37:45",29.5,-0.1,500,24500,"S"
"DPR","13:36:45",29.5,-0.1,100,24000,"S"
"DPR","13:36:14",29.5,-0.1,1000,23900,"S"
"DPR","13:33:37",29.45,-0.15,400,22900,"B"
"DPR","13:33:19",29.5,-0.1,100,22500,"S"
"DPR","13:33:10",29.5,-0.1,400,22400,"S"
"DPR","13:32:25",29.5,-0.1,1000,22000,"B"
"DPR","13:32:25",29.55,-0.05,200,21000,"B"
"DPR","13:31:27",29.55,-0.05,100,20800,"B"
"DPR","13:26:51",29.6,0,100,20700,"S"
"DPR","13:26:09",29.6,0,100,20600,"S"
"DPR","13:23:03",29.45,-0.15,2000,20500,"B"
"DPR","13:13:34",29.45,-0.15,100,18500,"B"
"DPR","13:13:16",29.45,-0.15,1100,18400,"B"
"DPR","13:10:48",29.45,-0.15,100,17300,"B"
"DPR","13:00:51",29.45,-0.15,100,17200,"B"
"DPR","13:00:51",29.5,-0.1,100,17100,"B"
"DPR","13:00:09",29.5,-0.1,500,17000,"B"
"DPR","11:18:19",29.6,0,100,16500,"S"
"DPR","11:18:01",29.5,-0.1,400,16400,"B"
"DPR","11:16:00",29.5,-0.1,500,16000,"B"
"DPR","11:14:29",29.6,0,400,15500,"B"
"DPR","10:36:27",29.7,0.1,1900,15100,"B"
"DPR","10:36:08",29.7,0.1,600,13200,"B"
"DPR","10:35:56",29.7,0.1,4200,12600,"S"
"DPR","10:35:33",29.65,0.05,1600,8400,"S"
"DPR","10:34:39",29.6,0,1700,6800,"S"
"DPR","10:23:27",29.6,0,500,5100,"S"
"DPR","10:03:52",29.6,0,200,4600,"B"
"DPR","10:03:00",29.6,0,300,4400,"B"
"DPR","09:49:20",29.6,0,500,4100,"S"
"DPR","09:42:40",29.6,0,1000,3600,"S"
"DPR","09:30:29",29.4,-0.2,600,2600,"S"
"DPR","09:27:40",29.4,-0.2,600,2000,"S"
"DPR","09:27:12",29.4,-0.2,100,1400,"S"
"DPR","09:26:56",29.4,-0.2,1100,1300,"B"
"DPR","09:20:19",29.6,0,100,200,"S"
"DPR","09:15:00",29.6,0,100,100,
