"symbol","time","price","change","vol","total","side"
"DVM","14:45:01",11.9,-0.3,26800,1065500,
"DVM","14:27:40",11.9,-0.3,100,1038700,
"DVM","14:27:33",11.9,-0.3,1200,1038600,
"DVM","14:26:30",11.9,-0.3,1000,1037400,
"DVM","14:25:13",12,-0.2,800,1036400,
"DVM","14:24:52",12,-0.2,800,1035600,
"DVM","14:24:41",11.9,-0.3,200,1034800,
"DVM","14:24:24",11.9,-0.3,9200,1034600,
"DVM","14:24:00",11.9,-0.3,47000,1025400,
"DVM","14:23:50",12,-0.2,5800,978400,
"DVM","14:19:15",12,-0.2,300,972600,
"DVM","14:16:40",12,-0.2,1800,972300,
"DVM","14:16:25",12,-0.2,200,970500,
"DVM","14:16:06",12,-0.2,500,970300,
"DVM","14:15:45",12,-0.2,1500,969800,
"DVM","14:15:38",12,-0.2,1500,968300,
"DVM","14:15:09",12,-0.2,1500,966800,
"DVM","14:14:58",12,-0.2,500,965300,
"DVM","14:14:19",12,-0.2,1500,964800,
"DVM","14:13:29",12,-0.2,1500,963300,
"DVM","14:12:45",12,-0.2,100,961800,
"DVM","14:12:26",12,-0.2,1000,961700,
"DVM","14:12:13",12,-0.2,200,960700,
"DVM","14:11:17",12,-0.2,200,960500,
"DVM","14:11:10",12,-0.2,1300,960300,
"DVM","14:09:52",12,-0.2,22600,959000,
"DVM","14:06:24",12.1,-0.1,100,936400,
"DVM","14:05:00",12.1,-0.1,100,936300,
"DVM","14:03:41",12,-0.2,1000,936200,
"DVM","14:00:53",12,-0.2,1000,935200,
"DVM","14:00:22",12,-0.2,13100,934200,
"DVM","13:53:10",11.9,-0.3,9400,921100,
"DVM","13:48:43",12,-0.2,600,911700,
"DVM","13:48:25",12,-0.2,1800,911100,
"DVM","13:48:20",12,-0.2,100,909300,
"DVM","13:47:55",12,-0.2,2000,909200,
"DVM","13:47:23",12,-0.2,5000,907200,
"DVM","13:45:52",12,-0.2,200,902200,
"DVM","13:44:46",12,-0.2,16200,902000,
"DVM","13:42:55",12.1,-0.1,100,885800,
"DVM","13:33:55",12.1,-0.1,100,885700,
"DVM","13:31:21",12,-0.2,10000,885600,
"DVM","13:29:51",12.1,-0.1,900,875600,
"DVM","13:27:48",12,-0.2,100,874700,
"DVM","13:27:07",12,-0.2,1000,874600,
"DVM","13:26:34",12,-0.2,7300,873600,
"DVM","13:19:40",12,-0.2,200,866300,
"DVM","13:19:27",12,-0.2,500,866100,
"DVM","13:16:50",12,-0.2,200,865600,
"DVM","13:14:48",12,-0.2,5900,865400,
"DVM","13:14:45",12,-0.2,200,859500,
"DVM","13:13:18",12,-0.2,1000,859300,
"DVM","13:10:07",12,-0.2,9600,858300,
"DVM","13:08:24",12,-0.2,10000,848700,
