"symbol","time","price","change","vol","total","side"
"PVC","14:48:48",14.9,-0.1,1000,746400,
"PVC","14:48:36",14.9,-0.1,500,745400,
"PVC","14:48:20",14.9,-0.1,1000,744900,
"PVC","14:45:01",14.9,-0.1,58800,743900,
"PVC","14:29:52",15,0,200,685100,
"PVC","14:29:49",15,0,600,684900,
"PVC","14:29:44",15,0,2000,684300,
"PVC","14:29:25",15,0,1500,682300,
"PVC","14:29:24",15,0,200,680800,
"PVC","14:29:12",15,0,100,680600,
"PVC","14:29:05",15,0,500,680500,
"PVC","14:27:47",15.1,0.1,1300,680000,
"PVC","14:27:44",15.1,0.1,500,678700,
"PVC","14:27:39",15.1,0.1,200,678200,
"PVC","14:27:30",15.1,0.1,500,678000,
"PVC","14:27:24",15.1,0.1,3000,677500,
"PVC","14:27:17",15.1,0.1,4000,674500,
"PVC","14:27:09",15.1,0.1,8100,670500,
"PVC","14:27:04",15.1,0.1,3000,662400,
"PVC","14:26:53",15.1,0.1,1000,659400,
"PVC","14:26:46",15.1,0.1,200,658400,
"PVC","14:26:19",15.1,0.1,500,658200,
"PVC","14:26:09",15.1,0.1,4700,657700,
"PVC","14:25:52",15.1,0.1,3000,653000,
"PVC","14:25:22",15.2,0.2,5000,650000,
"PVC","14:24:54",15.1,0.1,1000,645000,
"PVC","14:24:02",15.1,0.1,2400,644000,
"PVC","14:24:01",15.1,0.1,2000,641600,
"PVC","14:23:55",15.1,0.1,5800,639600,
"PVC","14:23:52",15.1,0.1,9000,633800,
"PVC","14:23:49",15.1,0.1,2000,624800,
"PVC","14:22:25",15.1,0.1,10200,622800,
"PVC","14:20:57",15,0,2300,612600,
"PVC","14:20:05",15,0,100,610300,
"PVC","14:19:50",15.1,0.1,200,610200,
"PVC","14:18:11",15,0,3000,610000,
"PVC","14:17:59",15,0,8000,607000,
"PVC","14:17:47",15,0,2500,599000,
"PVC","14:16:37",15,0,200,596500,
"PVC","14:15:31",15,0,100,596300,
"PVC","14:14:13",15,0,100,596200,
"PVC","14:14:06",15,0,500,596100,
"PVC","14:11:16",15.1,0.1,35700,595600,
"PVC","14:11:10",15.1,0.1,2000,559900,
"PVC","14:10:44",15.1,0.1,1000,557900,
"PVC","14:10:41",15,0,2000,556900,
"PVC","14:09:32",15.1,0.1,1500,554900,
"PVC","14:08:43",15.1,0.1,100,553400,
"PVC","14:08:25",15.1,0.1,100,553300,
"PVC","14:07:59",15.1,0.1,400,553200,
"PVC","14:07:51",15.1,0.1,2000,552800,
"PVC","14:07:39",15.1,0.1,200,550800,
"PVC","14:07:34",15.1,0.1,200,550600,
"PVC","14:07:22",15.1,0.1,1500,550400,
"PVC","14:06:36",15.1,0.1,5000,548900,
"PVC","14:06:18",15.1,0.1,400,543900,
"PVC","14:06:17",15.1,0.1,200,543500,
"PVC","14:05:12",15.1,0.1,5000,543300,
"PVC","14:04:47",15.1,0.1,1000,538300,
"PVC","14:02:57",15,0,1000,537300,
"PVC","14:01:41",15,0,3000,536300,
"PVC","14:01:24",15,0,500,533300,
"PVC","14:01:04",15,0,100,532800,
"PVC","14:00:26",15,0,2600,532700,
"PVC","14:00:14",15,0,500,530100,
"PVC","14:00:12",15,0,500,529600,
