"symbol","time","price","change","vol","total","side"
"QTP","14:59:14",14.3,0.1,100,165800,
"QTP","14:58:53",14.1,-0.1,15000,165700,
"QTP","14:45:57",14.2,0,200,150700,
"QTP","14:44:37",14.1,-0.1,400,150500,
"QTP","14:43:48",14.2,0,1000,150100,
"QTP","14:42:25",14.2,0,2200,149100,
"QTP","14:41:50",14.2,0,1400,146900,
"QTP","14:35:27",14.2,0,5000,145500,
"QTP","14:35:11",14.2,0,700,140500,
"QTP","14:33:50",14.2,0,300,139800,
"QTP","14:32:58",14.2,0,400,139500,
"QTP","14:31:50",14.2,0,5000,139100,
"QTP","14:28:28",14.3,0.1,100,134100,
"QTP","14:18:43",14.2,0,300,134000,
"QTP","14:18:18",14.2,0,1000,133700,
"QTP","14:17:33",14.3,0.1,100,132700,
"QTP","14:17:04",14.2,0,600,132600,
"QTP","14:11:54",14.2,0,100,132000,
"QTP","14:10:17",14.2,0,3000,131900,
"QTP","14:08:08",14.2,0,3200,128900,
"QTP","14:05:34",14.2,0,500,125700,
"QTP","13:52:45",14.2,0,1000,125200,
"QTP","13:48:31",14.2,0,1000,124200,
"QTP","13:46:21",14.2,0,2000,123200,
"QTP","13:43:34",14.3,0.1,100,121200,
"QTP","13:41:54",14.2,0,500,121100,
"QTP","13:40:18",14.2,0,500,120600,
"QTP","13:33:10",14.2,0,100,120100,
"QTP","13:30:11",14.2,0,1400,120000,
"QTP","13:27:42",14.2,0,400,118600,
"QTP","13:27:14",14.2,0,2800,118200,
"QTP","13:23:56",14.2,0,6000,115400,
"QTP","13:19:21",14.2,0,100,109400,
"QTP","13:13:15",14.2,0,1000,109300,
"QTP","13:09:51",14.2,0,1700,108300,
"QTP","13:05:23",14.2,0,600,106600,
"QTP","13:02:27",14.3,0.1,2400,106000,
"QTP","13:00:01",14.3,0.1,2100,103600,
"QTP","11:29:56",14.3,0.1,100,101500,
"QTP","11:29:45",14.3,0.1,30000,101400,
"QTP","11:24:52",14.3,0.1,200,71400,
"QTP","11:22:21",14.3,0.1,100,71200,
"QTP","11:09:28",14.3,0.1,8800,71100,
"QTP","10:56:03",14.4,0.2,5000,62300,
"QTP","10:47:28",14.3,0.1,2900,57300,
"QTP","10:31:19",14.3,0.1,4100,54400,
"QTP","10:23:05",14.3,0.1,3800,50300,
"QTP","10:15:00",14.3,0.1,4500,46500,
"QTP","10:08:03",14.3,0.1,500,42000,
"QTP","10:07:00",14.4,0.2,5000,41500,
"QTP","10:04:56",14.3,0.1,700,36500,
"QTP","10:04:48",14.3,0.1,100,35800,
"QTP","10:03:35",14.3,0.1,500,35700,
"QTP","09:59:11",14.3,0.1,2000,35200,
"QTP","09:58:23",14.3,0.1,1900,33200,
"QTP","09:57:08",14.3,0.1,1000,31300,
"QTP","09:55:10",14.3,0.1,5000,30300,
"QTP","09:51:27",14.3,0.1,100,25300,
"QTP","09:46:45",14.3,0.1,100,25200,
"QTP","09:46:34",14.3,0.1,4900,25100,
"QTP","09:45:05",14.2,0,600,20200,
"QTP","09:39:49",14.2,0,600,19600,
"QTP","09:39:38",14.3,0.1,5000,19000,
"QTP","09:37:16",14.2,0,100,14000,
"QTP","09:36:40",14.2,0,300,13900,
"QTP","09:35:20",14.3,0.1,100,13600,
"QTP","09:34:03",14.3,0.1,200,13500,
"QTP","09:30:00",14.3,0.1,10000,13300,
"QTP","09:26:41",14.2,0,400,3300,
"QTP","09:26:21",14.2,0,400,2900,
"QTP","09:22:53",14.3,0.1,1800,2500,
"QTP","09:18:20",14.3,0.1,300,700,
"QTP","09:17:45",14.2,0,200,400,
"QTP","09:17:20",14.2,0,100,200,
"QTP","09:08:46",14.2,0,100,100,
