"symbol","time","price","change","vol","total","side"
"EIB","14:45:00",17.9,-0.35,1738200,16840900,
"EIB","14:29:58",17.95,-0.3,5000,15102700,"B"
"EIB","14:29:55",17.95,-0.3,800,15097700,"B"
"EIB","14:29:54",17.95,-0.3,20000,15096900,"B"
"EIB","14:29:49",17.95,-0.3,31000,15076900,"B"
"EIB","14:29:45",17.95,-0.3,500,15045900,"B"
"EIB","14:29:44",17.95,-0.3,100,15045400,"B"
"EIB","14:29:43",18,-0.25,10000,15045300,"S"
"EIB","14:29:41",17.95,-0.3,70000,15035300,"B"
"EIB","14:29:38",17.95,-0.3,400,14965300,"B"
"EIB","14:29:37",17.95,-0.3,12500,14964900,"B"
"EIB","14:29:34",18,-0.25,1500,14952400,"S"
"EIB","14:29:30",18,-0.25,100,14950900,"S"
"EIB","14:29:30",17.95,-0.3,3000,14950800,"B"
"EIB","14:29:29",17.95,-0.3,30000,14947800,"B"
"EIB","14:29:27",17.95,-0.3,5000,14917800,"B"
"EIB","14:29:22",17.95,-0.3,500,14912800,"B"
"EIB","14:29:21",18,-0.25,1000,14912300,"S"
"EIB","14:29:18",18,-0.25,100,14911300,"S"
"EIB","14:29:18",17.95,-0.3,1000,14911200,"B"
"EIB","14:29:16",17.95,-0.3,32000,14910200,"B"
"EIB","14:29:15",18,-0.25,1000,14878200,"S"
"EIB","14:29:12",17.95,-0.3,40000,14877200,"B"
"EIB","14:29:08",18,-0.25,73700,14837200,"B"
"EIB","14:29:05",18,-0.25,200000,14763500,"B"
"EIB","14:29:01",18.05,-0.2,1000,14563500,"S"
"EIB","14:28:55",18.05,-0.2,3500,14562500,"S"
"EIB","14:28:49",18,-0.25,13000,14559000,"B"
"EIB","14:28:46",18,-0.25,500,14546000,"B"
"EIB","14:28:45",18,-0.25,10000,14545500,"B"
"EIB","14:28:42",18,-0.25,300,14535500,"B"
"EIB","14:28:41",18,-0.25,17000,14535200,"B"
"EIB","14:28:36",18,-0.25,13000,14518200,"B"
"EIB","14:28:22",18,-0.25,6600,14505200,"B"
"EIB","14:28:21",18,-0.25,3900,14498600,"B"
"EIB","14:28:21",18.05,-0.2,2700,14494700,"B"
"EIB","14:28:18",18.05,-0.2,400,14492000,"B"
"EIB","14:28:14",18.05,-0.2,10000,14491600,"B"
"EIB","14:28:07",18.05,-0.2,200,14481600,"B"
"EIB","14:28:05",18.05,-0.2,36700,14481400,"S"
"EIB","14:28:01",18.05,-0.2,13400,14444700,"B"
