"symbol","time","price","change","vol","total","side"
"NED","14:59:57",4.8,0.1,100,58100,
"NED","14:59:36",4.7,0,100,58000,
"NED","14:59:17",4.8,0.1,100,57900,
"NED","14:52:05",4.7,0,1000,57800,
"NED","14:49:53",4.7,0,100,56800,
"NED","14:48:42",4.7,0,10000,56700,
"NED","14:48:39",4.7,0,1000,46700,
"NED","14:47:41",4.7,0,100,45700,
"NED","14:44:36",4.8,0.1,100,45600,
"NED","14:21:30",4.7,0,1000,45500,
"NED","14:19:39",4.7,0,100,44500,
"NED","14:19:11",4.7,0,2000,44400,
"NED","14:18:56",4.7,0,100,42400,
"NED","14:18:54",4.7,0,1200,42300,
"NED","14:18:21",4.7,0,5000,41100,
"NED","14:16:25",4.7,0,500,36100,
"NED","14:16:18",4.7,0,800,35600,
"NED","14:15:04",4.7,0,100,34800,
"NED","14:06:01",4.7,0,1000,34700,
"NED","14:02:35",4.7,0,2000,33700,
"NED","14:01:52",4.7,0,6000,31700,
"NED","13:57:41",4.7,0,200,25700,
"NED","13:52:09",4.7,0,700,25500,
"NED","13:48:42",4.7,0,100,24800,
"NED","13:40:21",4.7,0,100,24700,
"NED","13:21:18",4.7,0,100,24600,
"NED","13:05:53",4.7,0,100,24500,
"NED","11:21:07",4.7,0,2000,24400,
"NED","11:10:59",4.7,0,3300,22400,
"NED","11:05:41",4.7,0,700,19100,
"NED","10:45:28",4.7,0,200,18400,
"NED","10:42:29",4.7,0,2000,18200,
"NED","10:32:03",4.7,0,5000,16200,
"NED","10:22:37",4.7,0,6000,11200,
"NED","10:19:29",4.7,0,4600,5200,
"NED","10:02:48",4.8,0.1,100,600,
"NED","09:29:50",4.7,0,100,500,
"NED","09:29:43",4.7,0,100,400,
"NED","09:16:14",4.7,0,300,300,
