"symbol","time","price","change","vol","total","side"
"STK","14:45:01",25.8,-0.2,200,54500,
"STK","14:24:35",25.55,-0.45,300,54300,"B"
"STK","14:22:25",25.7,-0.3,200,54000,"B"
"STK","14:20:40",25.6,-0.4,100,53800,"S"
"STK","14:20:26",25.6,-0.4,19200,53700,"B"
"STK","14:20:26",25.65,-0.35,200,34500,"B"
"STK","14:20:26",25.7,-0.3,500,34300,"B"
"STK","14:20:14",25.7,-0.3,200,33800,"B"
"STK","14:17:08",25.7,-0.3,100,33600,"B"
"STK","14:16:52",25.7,-0.3,200,33500,"B"
"STK","14:15:24",25.6,-0.4,7000,33300,"B"
"STK","14:15:17",25.6,-0.4,200,26300,"B"
"STK","14:15:12",25.6,-0.4,8000,26100,"B"
"STK","14:11:02",25.55,-0.45,200,18100,"B"
"STK","14:09:25",25.6,-0.4,300,17900,"B"
"STK","14:07:30",25.6,-0.4,300,17600,"B"
"STK","14:05:39",25.6,-0.4,200,17300,"S"
"STK","14:05:30",25.55,-0.45,200,17100,"B"
"STK","14:02:10",25.55,-0.45,200,16900,"B"
"STK","13:58:14",25.55,-0.45,200,16700,"B"
"STK","13:56:03",25.6,-0.4,200,16500,"B"
"STK","13:53:44",25.6,-0.4,200,16300,"B"
"STK","13:49:27",25.6,-0.4,200,16100,"B"
"STK","13:47:33",25.6,-0.4,200,15900,"B"
"STK","13:47:09",25.6,-0.4,200,15700,"S"
"STK","13:47:09",25.55,-0.45,200,15500,"S"
"STK","13:46:59",25.5,-0.5,200,15300,"B"
"STK","13:46:18",25.6,-0.4,1000,15100,"B"
"STK","13:46:18",25.6,-0.4,600,14100,"B"
"STK","13:46:18",25.65,-0.35,1400,13500,"B"
"STK","13:46:18",25.7,-0.3,1000,12100,"B"
"STK","13:39:53",25.7,-0.3,200,11100,"B"
"STK","13:37:29",25.7,-0.3,3100,10900,"B"
"STK","13:37:29",25.75,-0.25,700,7800,"B"
"STK","13:32:56",25.8,-0.2,500,7100,"S"
"STK","13:32:41",25.75,-0.25,300,6600,"B"
"STK","13:24:15",25.75,-0.25,400,6300,"B"
"STK","13:16:56",25.75,-0.25,100,5900,"B"
"STK","13:14:39",25.8,-0.2,100,5800,"S"
"STK","13:14:13",25.8,-0.2,100,5700,"S"
"STK","13:11:53",25.75,-0.25,100,5600,"B"
"STK","13:06:43",25.75,-0.25,200,5500,"B"
"STK","11:29:36",25.75,-0.25,200,5300,"B"
"STK","11:27:46",25.75,-0.25,100,5100,"B"
"STK","11:26:43",25.75,-0.25,200,5000,"B"
"STK","11:23:28",25.75,-0.25,200,4800,"B"
"STK","11:18:59",25.8,-0.2,100,4600,"B"
"STK","11:13:17",25.8,-0.2,200,4500,"B"
"STK","11:11:21",25.8,-0.2,200,4300,"B"
"STK","11:02:19",25.8,-0.2,200,4100,"B"
"STK","10:55:12",25.8,-0.2,200,3900,"B"
"STK","10:53:52",25.95,-0.05,200,3700,"S"
"STK","10:53:37",25.9,-0.1,500,3500,"B"
"STK","10:51:38",25.9,-0.1,200,3000,"B"
"STK","10:46:20",25.95,-0.05,200,2800,"S"
"STK","10:44:09",25.9,-0.1,200,2600,"B"
"STK","10:38:36",25.9,-0.1,200,2400,"B"
"STK","10:36:58",25.95,-0.05,100,2200,"S"
"STK","10:33:59",25.9,-0.1,100,2100,"B"
"STK","10:30:25",25.95,-0.05,100,2000,"S"
"STK","10:28:18",25.9,-0.1,100,1900,"B"
"STK","10:24:32",25.9,-0.1,500,1800,"B"
"STK","10:17:07",26,0,100,1300,"S"
"STK","10:17:07",25.95,-0.05,100,1200,"S"
"STK","10:16:39",25.95,-0.05,100,1100,"S"
"STK","09:50:42",25.9,-0.1,100,1000,"B"
"STK","09:47:03",25.9,-0.1,100,900,"B"
"STK","09:40:55",25.9,-0.1,200,800,"B"
"STK","09:32:58",25.8,-0.2,200,600,"S"
"STK","09:30:20",25.75,-0.25,200,400,"B"
"STK","09:29:58",25.75,-0.25,100,200,"S"
"STK","09:27:18",25.7,-0.3,100,100,"B"
