"symbol","time","price","change","vol","total","side"
"VLB","14:59:56",35,0.2,100,24500,
"VLB","14:59:39",35,0.2,200,24400,
"VLB","14:59:13",34.7,-0.1,1000,24200,
"VLB","14:58:56",34.8,0,300,23200,
"VLB","14:57:58",34.8,0,500,22900,
"VLB","14:57:04",34.8,0,1000,22400,
"VLB","14:57:01",34.7,-0.1,300,21400,
"VLB","14:53:46",34.8,0,200,21100,
"VLB","14:45:06",34.8,0,100,20900,
"VLB","14:44:28",34.8,0,100,20800,
"VLB","14:43:32",34.8,0,2000,20700,
"VLB","14:42:57",34.8,0,800,18700,
"VLB","14:36:40",34.8,0,500,17900,
"VLB","14:32:55",35,0.2,300,17400,
"VLB","14:19:10",35,0.2,100,17100,
"VLB","14:17:32",34.7,-0.1,200,17000,
"VLB","14:16:51",34.7,-0.1,500,16800,
"VLB","14:15:25",34.8,0,1200,16300,
"VLB","14:14:58",34.9,0.1,1100,15100,
"VLB","14:00:45",34.9,0.1,3000,14000,
"VLB","14:00:30",34.9,0.1,1000,11000,
"VLB","13:40:24",34.8,0,800,10000,
"VLB","13:02:40",34.8,0,100,9200,
"VLB","11:27:58",34.8,0,2900,9100,
"VLB","11:22:08",34.8,0,1500,6200,
"VLB","10:39:41",34.8,0,100,4700,
"VLB","10:34:47",34.8,0,1000,4600,
"VLB","10:12:18",35,0.2,100,3600,
"VLB","09:35:26",35,0.2,500,3500,
"VLB","09:19:29",35,0.2,1000,3000,
"VLB","09:19:17",35,0.2,2000,2000,
