"symbol","time","price","change","vol","total","side"
"TDG","14:45:04",3.7,-0.01,100,27400,
"TDG","14:28:23",3.71,0,100,27300,"S"
"TDG","14:27:49",3.71,0,400,27200,"S"
"TDG","14:12:39",3.71,0,100,26800,"S"
"TDG","14:06:24",3.69,-0.02,500,26700,"B"
"TDG","14:04:30",3.69,-0.02,100,26200,"B"
"TDG","13:33:15",3.69,-0.02,500,26100,"B"
"TDG","13:27:18",3.7,-0.01,100,25600,"S"
"TDG","13:26:03",3.7,-0.01,1000,25500,"S"
"TDG","13:25:41",3.7,-0.01,2000,24500,"S"
"TDG","13:20:32",3.68,-0.03,200,22500,"B"
"TDG","13:19:17",3.69,-0.02,200,22300,"S"
"TDG","13:17:40",3.69,-0.02,600,22100,"S"
"TDG","13:17:05",3.69,-0.02,400,21500,"B"
"TDG","13:15:52",3.69,-0.02,2600,21100,"S"
"TDG","13:15:21",3.68,-0.03,3500,18500,"B"
"TDG","13:14:38",3.69,-0.02,2900,15000,"B"
"TDG","13:00:10",3.7,-0.01,100,12100,"S"
"TDG","11:28:39",3.7,-0.01,300,12000,"S"
"TDG","10:56:35",3.69,-0.02,100,11700,"B"
"TDG","10:51:22",3.71,0,100,11600,"S"
"TDG","10:49:46",3.7,-0.01,200,11500,"S"
"TDG","10:46:46",3.7,-0.01,200,11300,"S"
"TDG","10:46:36",3.7,-0.01,500,11100,"S"
"TDG","10:45:39",3.7,-0.01,100,10600,"S"
"TDG","10:04:02",3.68,-0.03,1000,10500,"S"
"TDG","10:02:55",3.68,-0.03,100,9500,"S"
"TDG","10:00:59",3.67,-0.04,1000,9400,"B"
"TDG","10:00:02",3.68,-0.03,2900,8400,"B"
"TDG","09:59:26",3.68,-0.03,300,5500,"B"
"TDG","09:54:32",3.68,-0.03,800,5200,"S"
"TDG","09:50:29",3.68,-0.03,1000,4400,"B"
"TDG","09:50:28",3.68,-0.03,200,3400,"B"
"TDG","09:47:25",3.68,-0.03,800,3200,"S"
"TDG","09:46:06",3.68,-0.03,200,2400,"S"
"TDG","09:45:35",3.68,-0.03,1000,2200,"B"
"TDG","09:36:31",3.66,-0.05,200,1200,"B"
"TDG","09:18:22",3.71,0,1000,1000,"B"
