"symbol","time","price","change","vol","total","side"
"ACB","14:45:00",23.75,0.45,357000,10513000,
"ACB","14:29:55",23.75,0.45,300,10156000,"B"
"ACB","14:29:48",23.75,0.45,300,10155700,"B"
"ACB","14:29:46",23.75,0.45,1000,10155400,"B"
"ACB","14:29:44",23.75,0.45,900,10154400,"B"
"ACB","14:29:41",23.8,0.5,5800,10153500,"S"
"ACB","14:29:34",23.75,0.45,400,10147700,"B"
"ACB","14:29:28",23.75,0.45,400,10147300,"B"
"ACB","14:29:21",23.75,0.45,200,10146900,"B"
"ACB","14:29:19",23.8,0.5,200,10146700,"S"
"ACB","14:29:17",23.75,0.45,500,10146500,"B"
"ACB","14:29:09",23.75,0.45,400,10146000,"B"
"ACB","14:28:50",23.75,0.45,200,10145600,"B"
"ACB","14:28:38",23.75,0.45,1000,10145400,"B"
"ACB","14:28:21",23.75,0.45,100,10144400,"B"
"ACB","14:27:26",23.8,0.5,10000,10144300,"S"
"ACB","14:27:25",23.75,0.45,800,10134300,"B"
"ACB","14:27:04",23.8,0.5,3000,10133500,"S"
"ACB","14:27:04",23.75,0.45,100,10130500,"B"
"ACB","14:26:59",23.75,0.45,1700,10130400,"B"
"ACB","14:26:54",23.75,0.45,1000,10128700,"B"
"ACB","14:26:39",23.75,0.45,100,10127700,"B"
"ACB","14:26:38",23.75,0.45,1000,10127600,"B"
"ACB","14:26:25",23.75,0.45,2000,10126600,"B"
"ACB","14:26:18",23.8,0.5,100,10124600,"S"
"ACB","14:26:17",23.75,0.45,700,10124500,"B"
"ACB","14:26:14",23.75,0.45,500,10123800,"B"
"ACB","14:26:12",23.75,0.45,3200,10123300,"B"
"ACB","14:26:09",23.75,0.45,500,10120100,"B"
"ACB","14:26:08",23.75,0.45,100,10119600,"B"
"ACB","14:26:06",23.75,0.45,1800,10119500,"B"
"ACB","14:25:51",23.75,0.45,100,10117700,"B"
"ACB","14:25:30",23.75,0.45,17500,10117600,"B"
"ACB","14:25:14",23.8,0.5,2000,10100100,"S"
"ACB","14:24:58",23.75,0.45,1000,10098100,"B"
"ACB","14:24:27",23.75,0.45,5000,10097100,"B"
"ACB","14:24:16",23.8,0.5,9500,10092100,"S"
"ACB","14:24:15",23.75,0.45,200,10082600,"B"
"ACB","14:24:10",23.75,0.45,100,10082400,"B"
"ACB","14:24:09",23.8,0.5,7500,10082300,"S"
"ACB","14:23:53",23.8,0.5,9500,10074800,"S"
"ACB","14:23:47",23.8,0.5,4300,10065300,"S"
"ACB","14:23:34",23.8,0.5,9500,10061000,"S"
"ACB","14:23:29",23.8,0.5,16900,10051500,"S"
"ACB","14:23:29",23.75,0.45,100,10034600,"B"
"ACB","14:23:12",23.8,0.5,12700,10034500,"S"
"ACB","14:23:05",23.75,0.45,100,10021800,"B"
"ACB","14:23:03",23.8,0.5,11400,10021700,"S"
"ACB","14:22:50",23.75,0.45,400,10010300,"B"
"ACB","14:22:47",23.8,0.5,6000,10009900,"S"
"ACB","14:22:44",23.8,0.5,11800,10003900,"S"
"ACB","14:22:40",23.75,0.45,3900,9992100,"B"
"ACB","14:22:31",23.75,0.45,1000,9988200,"B"
"ACB","14:22:31",23.8,0.5,11400,9987200,"S"
"ACB","14:22:21",23.75,0.45,1000,9975800,"B"
"ACB","14:22:06",23.8,0.5,100,9974800,"S"
"ACB","14:21:42",23.8,0.5,44600,9974700,"B"
"ACB","14:21:24",23.85,0.55,2000,9930100,"S"
"ACB","14:21:22",23.8,0.5,20000,9928100,"B"
"ACB","14:21:21",23.8,0.5,2400,9908100,"B"
"ACB","14:21:19",23.8,0.5,3500,9905700,"B"
"ACB","14:21:10",23.8,0.5,5000,9902200,"B"
"ACB","14:20:58",23.8,0.5,30000,9897200,"B"
"ACB","14:20:52",23.85,0.55,100,9867200,"S"
"ACB","14:20:51",23.8,0.5,2000,9867100,"B"
"ACB","14:20:51",23.8,0.5,500,9865100,"B"
"ACB","14:20:48",23.85,0.55,400,9864600,"S"
"ACB","14:20:16",23.8,0.5,5000,9864200,"B"
"ACB","14:19:47",23.8,0.5,20000,9859200,"B"
"ACB","14:19:34",23.8,0.5,4300,9839200,"B"
"ACB","14:19:22",23.85,0.55,200,9834900,"S"
"ACB","14:19:19",23.8,0.5,500,9834700,"B"
"ACB","14:18:57",23.85,0.55,1000,9834200,"S"
"ACB","14:18:55",23.8,0.5,300,9833200,"B"
"ACB","14:18:51",23.85,0.55,10000,9832900,"S"
"ACB","14:18:50",23.8,0.5,6000,9822900,"B"
"ACB","14:18:48",23.8,0.5,1000,9816900,"B"
"ACB","14:18:34",23.8,0.5,10000,9815900,"B"
"ACB","14:18:30",23.85,0.55,200,9805900,"S"
"ACB","14:18:02",23.85,0.55,5000,9805700,"S"
"ACB","14:18:02",23.8,0.5,200,9800700,"B"
"ACB","14:17:53",23.8,0.5,5000,9800500,"B"
"ACB","14:17:52",23.8,0.5,1900,9795500,"B"
"ACB","14:17:44",23.8,0.5,200,9793600,"B"
"ACB","14:17:44",23.85,0.55,100,9793400,"S"
"ACB","14:17:41",23.8,0.5,2000,9793300,"B"
"ACB","14:17:39",23.8,0.5,9100,9791300,"B"
"ACB","14:17:27",23.8,0.5,700,9782200,"B"
"ACB","14:17:17",23.8,0.5,200,9781500,"B"
"ACB","14:17:04",23.8,0.5,100,9781300,"B"
"ACB","14:16:39",23.85,0.55,9500,9781200,"S"
"ACB","14:16:36",23.85,0.55,200,9771700,"S"
"ACB","14:16:34",23.85,0.55,200,9771500,"S"
"ACB","14:16:27",23.85,0.55,200,9771300,"S"
"ACB","14:15:22",23.85,0.55,300,9771100,"S"
"ACB","14:15:12",23.85,0.55,100,9770800,"S"
"ACB","14:15:08",23.8,0.5,1700,9770700,"B"
"ACB","14:14:52",23.85,0.55,1800,9769000,"S"
"ACB","14:14:50",23.85,0.55,100,9767200,"S"
"ACB","14:14:43",23.8,0.5,500,9767100,"B"
"ACB","14:14:36",23.85,0.55,200,9766600,"S"
"ACB","14:14:19",23.85,0.55,200,9766400,"S"
"ACB","14:13:23",23.85,0.55,1000,9766200,"S"
"ACB","14:13:04",23.85,0.55,200,9765200,"S"
"ACB","14:13:00",23.8,0.5,50000,9765000,"B"
"ACB","14:12:55",23.8,0.5,100,9715000,"B"
"ACB","14:12:30",23.8,0.5,100000,9714900,"B"
"ACB","14:12:23",23.85,0.55,1800,9614900,"S"
"ACB","14:12:21",23.85,0.55,100,9613100,"S"
"ACB","14:12:20",23.85,0.55,500,9613000,"S"
"ACB","14:12:13",23.85,0.55,1000,9612500,"S"
"ACB","14:12:10",23.85,0.55,500,9611500,"S"
"ACB","14:12:02",23.85,0.55,8900,9611000,"S"
"ACB","14:12:01",23.85,0.55,300,9602100,"S"
"ACB","14:11:32",23.85,0.55,16200,9601800,"B"
"ACB","14:11:23",23.85,0.55,600,9585600,"B"
"ACB","14:11:16",23.85,0.55,4000,9585000,"B"
"ACB","14:11:09",23.85,0.55,2100,9581000,"B"
"ACB","14:11:08",23.85,0.55,500,9578900,"B"
"ACB","14:11:05",23.85,0.55,20000,9578400,"B"
"ACB","14:11:03",23.85,0.55,8000,9558400,"B"
"ACB","14:10:50",23.85,0.55,2000,9550400,"B"
"ACB","14:10:46",23.85,0.55,10000,9548400,"B"
"ACB","14:10:33",23.85,0.55,3900,9537400,"B"
"ACB","14:10:30",23.85,0.55,19700,9533500,"S"
"ACB","14:10:15",23.85,0.55,200,9513800,"S"
"ACB","14:10:09",23.85,0.55,500,9513600,"S"
"ACB","14:09:58",23.85,0.55,52900,9513100,"S"
"ACB","14:09:57",23.85,0.55,1000,9460200,"S"
"ACB","14:08:58",23.85,0.55,600,9459200,"S"
"ACB","14:08:46",23.8,0.5,200,9458600,"B"
"ACB","14:08:30",23.85,0.55,100,9458400,"S"
"ACB","14:08:09",23.8,0.5,400,9458300,"B"
"ACB","14:08:00",23.85,0.55,5000,9457900,"S"
"ACB","14:07:51",23.85,0.55,2000,9452900,"S"
"ACB","14:07:50",23.85,0.55,84600,9450900,"B"
"ACB","14:07:43",23.85,0.55,200,9366300,"B"
"ACB","14:07:42",23.9,0.6,5000,9366100,"S"
"ACB","14:07:35",23.9,0.6,100,9361100,"S"
"ACB","14:07:31",23.85,0.55,10000,9361000,"B"
"ACB","14:07:29",23.9,0.6,100,9351000,"S"
"ACB","14:07:28",23.9,0.6,5000,9350900,"S"
"ACB","14:07:24",23.9,0.6,5500,9345900,"S"
"ACB","14:07:13",23.9,0.6,10100,9340400,"S"
"ACB","14:07:07",23.85,0.55,9600,9330300,"B"
"ACB","14:06:57",23.9,0.6,10500,9320700,"S"
"ACB","14:06:55",23.85,0.55,1000,9310200,"B"
"ACB","14:06:54",23.85,0.55,1000,9309200,"B"
"ACB","14:06:49",23.9,0.6,5000,9308200,"S"
"ACB","14:06:48",23.85,0.55,100,9303200,"B"
"ACB","14:06:46",23.9,0.6,9700,9303100,"S"
"ACB","14:06:42",23.85,0.55,100,9293400,"B"
"ACB","14:06:39",23.85,0.55,500,9293300,"B"
"ACB","14:06:28",23.85,0.55,100,9292800,"B"
"ACB","14:06:25",23.85,0.55,400,9292700,"B"
"ACB","14:06:15",23.85,0.55,3000,9292300,"B"
"ACB","14:06:08",23.85,0.55,200,9289300,"B"
"ACB","14:06:07",23.85,0.55,600,9289100,"B"
"ACB","14:06:04",23.85,0.55,500,9288500,"B"
"ACB","14:05:56",23.85,0.55,300,9288000,"B"
"ACB","14:05:55",23.85,0.55,1000,9287700,"B"
"ACB","14:05:52",23.9,0.6,40500,9286700,"S"
"ACB","14:05:44",23.85,0.55,100,9246200,"B"
"ACB","14:05:40",23.85,0.55,100,9246100,"B"
"ACB","14:05:37",23.85,0.55,400,9246000,"B"
"ACB","14:05:36",23.85,0.55,2000,9245600,"B"
"ACB","14:05:22",23.85,0.55,1000,9243600,"B"
"ACB","14:05:21",23.85,0.55,1000,9242600,"B"
"ACB","14:05:20",23.85,0.55,2000,9241600,"B"
"ACB","14:05:19",23.85,0.55,1000,9239600,"B"
"ACB","14:05:16",23.85,0.55,3000,9238600,"B"
"ACB","14:04:53",23.85,0.55,2000,9235600,"B"
"ACB","14:04:44",23.85,0.55,500,9233600,"B"
"ACB","14:04:19",23.9,0.6,2800,9233100,"S"
"ACB","14:04:19",23.9,0.6,2200,9230300,"S"
"ACB","14:04:12",23.9,0.6,1500,9228100,"S"
"ACB","14:04:11",23.9,0.6,300,9226600,"S"
"ACB","14:04:09",23.85,0.55,3000,9226300,"B"
"ACB","14:03:30",23.9,0.6,5000,9223300,"S"
"ACB","14:03:27",23.85,0.55,300,9218300,"B"
"ACB","14:03:13",23.9,0.6,400,9218000,"S"
"ACB","14:03:13",23.9,0.6,5000,9217600,"S"
"ACB","14:02:46",23.9,0.6,300,9212600,"S"
"ACB","14:02:41",23.85,0.55,500,9212300,"B"
"ACB","14:02:35",23.9,0.6,1000,9211800,"S"
"ACB","14:02:35",23.9,0.6,2000,9210800,"S"
"ACB","14:02:32",23.85,0.55,900,9208800,"B"
"ACB","14:02:25",23.85,0.55,100,9207900,"B"
"ACB","14:02:07",23.85,0.55,1000,9207800,"B"
"ACB","14:02:06",23.85,0.55,100,9206800,"B"
"ACB","14:02:01",23.85,0.55,100,9206700,"B"
"ACB","14:01:59",23.85,0.55,500,9206600,"B"
"ACB","14:01:43",23.9,0.6,100,9206100,"S"
"ACB","14:01:40",23.9,0.6,200,9206000,"S"
"ACB","14:01:36",23.85,0.55,10000,9205800,"B"
"ACB","14:01:33",23.9,0.6,1200,9195800,"S"
"ACB","14:01:32",23.85,0.55,1000,9194600,"B"
"ACB","14:01:28",23.9,0.6,300,9193600,"S"
"ACB","14:01:23",23.85,0.55,100,9193300,"B"
"ACB","14:01:19",23.85,0.55,500,9193200,"B"
"ACB","14:01:09",23.85,0.55,100,9192700,"B"
"ACB","14:00:58",23.9,0.6,100,9192600,"S"
"ACB","14:00:42",23.9,0.6,200,9192500,"S"
"ACB","14:00:31",23.9,0.6,100,9192300,"S"
"ACB","14:00:07",23.9,0.6,400,9192200,"S"
"ACB","14:00:03",23.85,0.55,200,9191800,"B"
"ACB","14:00:00",23.9,0.6,200,9191600,"S"
"ACB","13:59:52",23.9,0.6,5500,9191400,"S"
"ACB","13:59:52",23.85,0.55,1000,9185900,"B"
"ACB","13:59:16",23.9,0.6,900,9184900,"S"
"ACB","13:59:13",23.85,0.55,1000,9184000,"B"
"ACB","13:59:04",23.85,0.55,1400,9183000,"B"
"ACB","13:58:56",23.85,0.55,400,9181600,"B"
"ACB","13:58:55",23.9,0.6,10000,9181200,"S"
"ACB","13:58:40",23.85,0.55,700,9171200,"B"
"ACB","13:58:38",23.85,0.55,100,9170500,"B"
"ACB","13:58:17",23.85,0.55,500,9170400,"B"
"ACB","13:58:12",23.9,0.6,200,9169900,"S"
"ACB","13:58:03",23.85,0.55,40000,9169700,"B"
"ACB","13:57:55",23.85,0.55,2500,9129700,"B"
"ACB","13:57:45",23.9,0.6,100,9127200,"S"
"ACB","13:57:43",23.85,0.55,500,9127100,"B"
"ACB","13:57:40",23.85,0.55,800,9126600,"B"
"ACB","13:57:38",23.85,0.55,200,9125800,"B"
"ACB","13:57:32",23.85,0.55,1100,9125600,"B"
"ACB","13:57:31",23.85,0.55,100,9124500,"B"
"ACB","13:57:26",23.85,0.55,500,9124400,"B"
"ACB","13:57:25",23.85,0.55,35000,9123900,"B"
"ACB","13:57:18",23.85,0.55,500,9088900,"B"
"ACB","13:57:16",23.85,0.55,200,9088400,"B"
"ACB","13:57:00",23.85,0.55,100,9088200,"B"
"ACB","13:56:55",23.85,0.55,6100,9088100,"B"
"ACB","13:56:52",23.85,0.55,100,9082000,"B"
"ACB","13:56:38",23.85,0.55,100,9081900,"B"
"ACB","13:56:19",23.85,0.55,200,9081800,"B"
"ACB","13:56:11",23.85,0.55,100,9081600,"B"
"ACB","13:56:09",23.85,0.55,500,9081500,"B"
"ACB","13:56:09",23.9,0.6,100,9081000,"S"
"ACB","13:56:03",23.85,0.55,100,9080900,"B"
"ACB","13:56:00",23.85,0.55,10000,9080800,"B"
"ACB","13:55:59",23.85,0.55,1300,9070800,"B"
"ACB","13:55:50",23.85,0.55,100,9069500,"B"
"ACB","13:55:39",23.9,0.6,500,9069400,"S"
"ACB","13:55:32",23.85,0.55,100,9068900,"B"
"ACB","13:55:25",23.9,0.6,1000,9068800,"S"
"ACB","13:55:18",23.9,0.6,4000,9067800,"S"
"ACB","13:55:14",23.9,0.6,200,9063800,"S"
"ACB","13:55:03",23.9,0.6,200,9063600,"S"
"ACB","13:54:55",23.9,0.6,2000,9063400,"S"
"ACB","13:54:26",23.85,0.55,100,9061400,"B"
"ACB","13:54:25",23.9,0.6,500,9061300,"S"
"ACB","13:54:19",23.85,0.55,200,9060800,"B"
"ACB","13:53:30",23.9,0.6,1500,9060600,"S"
