"symbol","time","price","change","vol","total","side"
"TCT","14:28:44",22.45,0,100,7200,"S"
"TCT","14:25:01",22.45,0,300,7100,"S"
"TCT","14:12:35",22.45,0,500,6800,"S"
"TCT","14:12:27",22.45,0,1000,6300,"S"
"TCT","14:06:00",22.45,0,1000,5300,"S"
"TCT","13:55:20",22.45,0,500,4300,"S"
"TCT","13:19:40",22.4,-0.05,100,3800,"B"
"TCT","13:09:13",22.45,0,100,3700,"S"
"TCT","13:07:03",22.45,0,500,3600,"S"
"TCT","10:35:21",22.45,0,100,3100,"S"
"TCT","10:27:48",22.45,0,800,3000,"S"
"TCT","10:01:37",22.45,0,200,2200,"B"
"TCT","09:56:08",22.45,0,200,2000,"S"
"TCT","09:45:15",22.5,0.05,200,1800,"B"
"TCT","09:44:23",22.6,0.15,100,1600,"S"
"TCT","09:38:23",22.6,0.15,1000,1500,"S"
"TCT","09:15:00",22.6,0.15,500,500,
