"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
156661434,"SFG","1702021488","unknown","100","8310","2600","2023-12-08T07:45:03.067Z","2023-12-08T07:45:03.067Z"
156604752,"SFG","1702020109","b","200","8490","2500","2023-12-08T07:22:04.046Z","2023-12-08T07:22:04.046Z"
156469412,"SFG","1702016784","b","100","8500","2300","2023-12-08T06:26:37.929Z","2023-12-08T06:26:37.929Z"
156469411,"SFG","1702016784","b","100","8500","2300","2023-12-08T06:26:37.929Z","2023-12-08T06:26:37.929Z"
156468280,"SFG","1702016755","b","900","8400","2100","2023-12-08T06:26:09.989Z","2023-12-08T06:26:09.989Z"
156467317,"SFG","1702016734","b","100","8300","1200","2023-12-08T06:25:48.939Z","2023-12-08T06:25:48.939Z"
156434710,"SFG","1702015601","s","100","8100","1100","2023-12-08T06:06:56.936Z","2023-12-08T06:06:56.936Z"
156312444,"SFG","1702004248","b","500","8000","1000","2023-12-08T02:57:42.768Z","2023-12-08T02:57:42.768Z"
156306360,"SFG","1702004064","b","200","8000","500","2023-12-08T02:54:38.775Z","2023-12-08T02:54:38.775Z"
156305986,"SFG","1702004054","s","100","8000","300","2023-12-08T02:54:28.785Z","2023-12-08T02:54:28.785Z"
156305985,"SFG","1702004054","s","100","8100","300","2023-12-08T02:54:28.785Z","2023-12-08T02:54:28.785Z"
156305984,"SFG","1702004054","s","100","8110","300","2023-12-08T02:54:28.785Z","2023-12-08T02:54:28.785Z"
