"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
157343653,"DIG","1702367092","unknown","676100","26350","11030400","2023-12-12T07:45:05.464Z","2023-12-12T07:45:05.464Z"
157342722,"DIG","1702366185","s","2000","26350","10352300","2023-12-12T07:29:58.427Z","2023-12-12T07:29:58.427Z"
157342520,"DIG","1702366182","s","300","26350","10350300","2023-12-12T07:29:56.416Z","2023-12-12T07:29:56.416Z"
157342519,"DIG","1702366182","s","200","26350","10350300","2023-12-12T07:29:56.416Z","2023-12-12T07:29:56.416Z"
157342518,"DIG","1702366182","s","1000","26350","10350300","2023-12-12T07:29:56.416Z","2023-12-12T07:29:56.416Z"
157342517,"DIG","1702366182","s","500","26350","10350300","2023-12-12T07:29:56.416Z","2023-12-12T07:29:56.416Z"
157342386,"DIG","1702366180","s","2000","26350","10350300","2023-12-12T07:29:53.401Z","2023-12-12T07:29:53.401Z"
157342224,"DIG","1702366177","s","1200","26350","10346300","2023-12-12T07:29:49.397Z","2023-12-12T07:29:49.397Z"
157342223,"DIG","1702366177","s","300","26350","10346300","2023-12-12T07:29:49.397Z","2023-12-12T07:29:49.397Z"
157342222,"DIG","1702366177","s","300","26350","10346300","2023-12-12T07:29:49.397Z","2023-12-12T07:29:49.397Z"
157342221,"DIG","1702366177","s","200","26350","10346300","2023-12-12T07:29:49.397Z","2023-12-12T07:29:49.397Z"
157342133,"DIG","1702366175","s","100","26350","10345300","2023-12-12T07:29:47.422Z","2023-12-12T07:29:47.422Z"
157342132,"DIG","1702366175","s","900","26350","10345300","2023-12-12T07:29:47.422Z","2023-12-12T07:29:47.422Z"
157342122,"DIG","1702366175","s","1800","26350","10343500","2023-12-12T07:29:47.422Z","2023-12-12T07:29:47.422Z"
157342055,"DIG","1702366174","s","200","26350","10343300","2023-12-12T07:29:46.447Z","2023-12-12T07:29:46.447Z"
157341910,"DIG","1702366172","b","2100","26350","10341200","2023-12-12T07:29:45.404Z","2023-12-12T07:29:45.404Z"
157341873,"DIG","1702366171","b","1000","26350","10341200","2023-12-12T07:29:44.399Z","2023-12-12T07:29:44.399Z"
157341685,"DIG","1702366168","s","5000","26350","10333300","2023-12-12T07:29:41.418Z","2023-12-12T07:29:41.418Z"
157341684,"DIG","1702366168","s","1000","26350","10333300","2023-12-12T07:29:41.418Z","2023-12-12T07:29:41.418Z"
157341683,"DIG","1702366168","s","900","26350","10333300","2023-12-12T07:29:41.418Z","2023-12-12T07:29:41.418Z"
157341491,"DIG","1702366166","s","100","26350","10333000","2023-12-12T07:29:38.403Z","2023-12-12T07:29:38.403Z"
157341490,"DIG","1702366166","s","200","26350","10333000","2023-12-12T07:29:38.403Z","2023-12-12T07:29:38.403Z"
157341322,"DIG","1702366163","b","300","26350","10332300","2023-12-12T07:29:35.407Z","2023-12-12T07:29:35.407Z"
157341321,"DIG","1702366163","b","400","26350","10332300","2023-12-12T07:29:35.407Z","2023-12-12T07:29:35.407Z"
157341298,"DIG","1702366162","s","800","26350","10331500","2023-12-12T07:29:35.407Z","2023-12-12T07:29:35.407Z"
157341212,"DIG","1702366160","b","200","26350","10331300","2023-12-12T07:29:33.418Z","2023-12-12T07:29:33.418Z"
157341131,"DIG","1702366160","s","100","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341130,"DIG","1702366160","s","1000","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341129,"DIG","1702366160","s","300","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341128,"DIG","1702366160","s","1000","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341127,"DIG","1702366160","s","100","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341126,"DIG","1702366160","s","900","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341125,"DIG","1702366160","s","200","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341124,"DIG","1702366160","s","1000","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341123,"DIG","1702366160","s","200","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341122,"DIG","1702366160","s","200","26300","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341121,"DIG","1702366160","s","1000","26350","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341120,"DIG","1702366160","s","1000","26350","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157341119,"DIG","1702366160","s","94800","26350","10229500","2023-12-12T07:29:32.428Z","2023-12-12T07:29:32.428Z"
157340988,"DIG","1702366158","s","5000","26350","10224500","2023-12-12T07:29:31.435Z","2023-12-12T07:29:31.435Z"
157340849,"DIG","1702366158","b","200","26350","10224500","2023-12-12T07:29:31.435Z","2023-12-12T07:29:31.435Z"
157340848,"DIG","1702366158","b","1000","26350","10224500","2023-12-12T07:29:31.435Z","2023-12-12T07:29:31.435Z"
157340808,"DIG","1702366157","b","500","26350","10222800","2023-12-12T07:29:30.442Z","2023-12-12T07:29:30.442Z"
157340781,"DIG","1702366156","b","500","26350","10222800","2023-12-12T07:29:29.404Z","2023-12-12T07:29:29.404Z"
157340771,"DIG","1702366156","b","500","26350","10221800","2023-12-12T07:29:29.404Z","2023-12-12T07:29:29.404Z"
157340753,"DIG","1702366156","b","10000","26350","10211800","2023-12-12T07:29:29.404Z","2023-12-12T07:29:29.404Z"
157340743,"DIG","1702366156","b","7300","26350","10211800","2023-12-12T07:29:28.430Z","2023-12-12T07:29:28.430Z"
157340742,"DIG","1702366156","b","300","26350","10211800","2023-12-12T07:29:28.430Z","2023-12-12T07:29:28.430Z"
157340741,"DIG","1702366156","b","100","26350","10211800","2023-12-12T07:29:28.430Z","2023-12-12T07:29:28.430Z"
157340740,"DIG","1702366156","b","1300","26350","10211800","2023-12-12T07:29:28.430Z","2023-12-12T07:29:28.430Z"
157340739,"DIG","1702366156","b","1000","26350","10211800","2023-12-12T07:29:28.430Z","2023-12-12T07:29:28.430Z"
157340695,"DIG","1702366154","b","600","26350","10201000","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340694,"DIG","1702366154","b","100","26350","10201000","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340693,"DIG","1702366154","b","100","26350","10201000","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340688,"DIG","1702366154","b","100","26350","10200400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340687,"DIG","1702366154","b","400","26350","10200400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340686,"DIG","1702366154","s","100","26300","10200400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340681,"DIG","1702366154","b","100","26350","10198400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340680,"DIG","1702366154","b","400","26350","10198400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340679,"DIG","1702366154","b","400","26350","10198400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340678,"DIG","1702366154","b","1100","26350","10198400","2023-12-12T07:29:27.399Z","2023-12-12T07:29:27.399Z"
157340654,"DIG","1702366153","s","2700","26300","10198400","2023-12-12T07:29:26.402Z","2023-12-12T07:29:26.402Z"
157340653,"DIG","1702366153","s","300","26300","10198400","2023-12-12T07:29:26.402Z","2023-12-12T07:29:26.402Z"
157340622,"DIG","1702366152","b","5000","26350","10190400","2023-12-12T07:29:25.418Z","2023-12-12T07:29:25.418Z"
157340566,"DIG","1702366152","b","1000","26350","10189400","2023-12-12T07:29:25.418Z","2023-12-12T07:29:25.418Z"
157340498,"DIG","1702366151","b","5000","26350","10184400","2023-12-12T07:29:24.425Z","2023-12-12T07:29:24.425Z"
157340482,"DIG","1702366150","b","300","26350","10184100","2023-12-12T07:29:23.408Z","2023-12-12T07:29:23.408Z"
157340397,"DIG","1702366149","b","100","26350","10184000","2023-12-12T07:29:22.418Z","2023-12-12T07:29:22.418Z"
157340374,"DIG","1702366148","b","100","26350","10183900","2023-12-12T07:29:21.446Z","2023-12-12T07:29:21.446Z"
157340349,"DIG","1702366148","b","1000","26350","10182900","2023-12-12T07:29:21.446Z","2023-12-12T07:29:21.446Z"
157340309,"DIG","1702366148","b","1000","26350","10182900","2023-12-12T07:29:21.446Z","2023-12-12T07:29:21.446Z"
157340259,"DIG","1702366147","b","200","26350","10181700","2023-12-12T07:29:20.425Z","2023-12-12T07:29:20.425Z"
157339792,"DIG","1702366140","b","2000","26350","10179700","2023-12-12T07:29:14.458Z","2023-12-12T07:29:14.458Z"
157339713,"DIG","1702366139","b","1200","26350","10179700","2023-12-12T07:29:13.424Z","2023-12-12T07:29:13.424Z"
157339556,"DIG","1702366136","s","200","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339555,"DIG","1702366136","s","1800","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339554,"DIG","1702366136","s","2000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339553,"DIG","1702366136","s","2000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339552,"DIG","1702366136","s","2400","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339551,"DIG","1702366136","s","1000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339550,"DIG","1702366136","s","5000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339549,"DIG","1702366136","s","100","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339548,"DIG","1702366136","s","2900","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339547,"DIG","1702366136","s","100","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339546,"DIG","1702366136","s","100","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339545,"DIG","1702366136","s","100","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339544,"DIG","1702366136","s","5000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339543,"DIG","1702366136","s","100","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339542,"DIG","1702366136","s","200","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339541,"DIG","1702366136","s","1000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339540,"DIG","1702366136","s","200","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339539,"DIG","1702366136","s","500","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339538,"DIG","1702366136","s","2000","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339537,"DIG","1702366136","s","400","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339536,"DIG","1702366136","s","4900","26350","10146500","2023-12-12T07:29:10.408Z","2023-12-12T07:29:10.408Z"
157339392,"DIG","1702366134","s","100","26350","10144500","2023-12-12T07:29:07.394Z","2023-12-12T07:29:07.394Z"
157339391,"DIG","1702366134","s","1900","26350","10144500","2023-12-12T07:29:07.394Z","2023-12-12T07:29:07.394Z"
157339352,"DIG","1702366134","s","1100","26350","10131000","2023-12-12T07:29:06.414Z","2023-12-12T07:29:06.414Z"
157339351,"DIG","1702366134","s","7000","26350","10131000","2023-12-12T07:29:06.414Z","2023-12-12T07:29:06.414Z"
