"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
158159799,"DGC","1702539890","unknown","95300","95000","1496800","2023-12-14T07:45:04.491Z","2023-12-14T07:45:04.491Z"
158158987,"DGC","1702538985","b","4600","95200","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158986,"DGC","1702538985","b","200","95200","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158985,"DGC","1702538985","b","1000","95200","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158984,"DGC","1702538985","b","2500","95200","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158983,"DGC","1702538985","b","500","95200","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158982,"DGC","1702538985","b","1000","95100","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158981,"DGC","1702538985","b","1000","95100","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158980,"DGC","1702538985","b","600","95100","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158979,"DGC","1702538985","b","8600","95000","1496800","2023-12-14T07:29:58.528Z","2023-12-14T07:29:58.528Z"
158158836,"DGC","1702538983","b","100","95000","1476700","2023-12-14T07:29:56.479Z","2023-12-14T07:29:56.479Z"
158158474,"DGC","1702538977","s","1600","94900","1476700","2023-12-14T07:29:51.496Z","2023-12-14T07:29:51.496Z"
158158473,"DGC","1702538977","s","200","94900","1476700","2023-12-14T07:29:51.496Z","2023-12-14T07:29:51.496Z"
158158472,"DGC","1702538977","s","100","94900","1476700","2023-12-14T07:29:51.496Z","2023-12-14T07:29:51.496Z"
158158471,"DGC","1702538977","s","500","94900","1476700","2023-12-14T07:29:51.496Z","2023-12-14T07:29:51.496Z"
158158470,"DGC","1702538977","s","100","94900","1476700","2023-12-14T07:29:51.496Z","2023-12-14T07:29:51.496Z"
158158384,"DGC","1702538977","b","100","95000","1474200","2023-12-14T07:29:50.486Z","2023-12-14T07:29:50.486Z"
